Element 1: (0, (9, 8), ['.', '.', '%', 'F'], [(1, 2), (2, 4), (2, 10)], [False, False, True, False], 98, False, [True, True, False, False], 0, 'East', (10, 8))
Element 2: (0, (10, 8), ['', '.', '%', '%'], [(2, 2), (3, 4), (3, 10)], [False, False, True, True], 96, False, [False, True, False, False], 1029, 'South', (10, 7))
Element 3: (0, (10, 7), ['.', '.', '', '.'], [(3, 2), (3, 5), (4, 10)], [False, False, False, False], 94, False, [True, True, False, True], 1068, 'East', (11, 7))
Element 4: (0, (11, 7), ['', '.', '%', '.'], [(4, 2), (4, 5), (5, 10)], [False, False, True, False], 92, False, [False, True, False, True], 1107, 'East', (12, 7))
Element 5: (0, (12, 7), ['', '.', '.', '.'], [(5, 2), (5, 5), (6, 10)], [False, False, False, False], 90, False, [False, True, True, True], 1146, 'East', (13, 7))
Element 6: (0, (13, 7), ['', '.', '.', '.'], [(6, 2), (6, 5), (7, 10)], [False, False, False, False], 88, False, [False, True, True, True], 1185, 'East', (14, 7))
Element 7: (0, (14, 7), ['', '.', '.', '.'], [(6, 3), (6, 4), (8, 10)], [False, False, False, False], 86, False, [False, True, True, True], 2214, 'East', (15, 7))
Element 8: (0, (15, 7), ['', '.', '%', '.'], [(5, 3), (6, 3), (8, 11)], [False, False, True, False], 84, False, [False, True, False, True], 3233, 'East', (16, 7))
Element 9: (0, (16, 7), ['', '.', '%', '.'], [(4, 3), (6, 2), (9, 11)], [False, False, True, False], 82, False, [False, True, False, True], 3262, 'East', (17, 7))
Element 10: (0, (17, 7), ['', '.', '%', '.'], [(3, 3), (6, 1), (9, 12)], [False, False, True, False], 80, False, [False, True, False, True], 4291, 'East', (18, 7))
Element 11: (0, (18, 7), ['', '%', '%', '%'], [(2, 3), (7, 1), (10, 12)], [False, True, True, True], 78, False, [False, False, False, False], 4330, 'West', (17, 7))
Element 12: (0, (17, 7), ['', '.', '%', ''], [(2, 4), (8, 1), (11, 12)], [False, False, True, False], 76, False, [False, True, False, False], 4349, 'South', (17, 6))
Element 13: (0, (17, 6), ['.', '%', '', '%'], [(2, 5), (7, 1), (12, 12)], [False, True, False, True], 74, False, [True, False, False, False], 4378, 'West', (16, 6))
Element 14: (0, (16, 6), ['.', '%', '', ''], [(2, 6), (6, 1), (13, 12)], [False, True, False, False], 72, False, [True, False, False, False], 4407, 'West', (15, 6))
Element 15: (0, (15, 6), ['.', '%', '', ''], [(3, 6), (5, 1), (14, 12)], [False, True, False, False], 70, False, [True, False, False, False], 4446, 'West', (14, 6))
Element 16: (0, (14, 6), ['.', '%', '', ''], [(4, 6), (4, 1), (15, 12)], [False, True, False, False], 68, False, [True, False, False, False], 4485, 'West', (13, 6))
Element 17: (0, (13, 6), ['.', '.', '', ''], [(5, 6), (3, 1), (16, 12)], [False, False, False, False], 66, False, [True, True, False, False], 4524, 'South', (13, 5))
Element 18: (0, (13, 5), ['.', '%', '', '%'], [(6, 6), (2, 1), (16, 13)], [False, True, False, True], 64, False, [True, False, False, False], 4563, 'West', (12, 5))
Element 19: (0, (12, 5), ['.', '%', '.', ''], [(7, 6), (1, 1), (15, 13)], [False, True, False, False], 62, False, [True, False, True, False], 4602, 'North', (12, 6))
Element 20: (0, (12, 6), ['.', '', '', ''], [(8, 6), (1, 2), (14, 13)], [False, False, False, False], 60, False, [True, False, False, False], 4631, 'West', (11, 6))
Element 21: (0, (11, 6), ['.', '.', '', ''], [(9, 6), (2, 2), (13, 13)], [False, False, False, False], 58, False, [True, True, False, False], 4660, 'South', (11, 5))
Element 22: (0, (11, 5), ['.', '%', '', ''], [(10, 6), (3, 2), (12, 13)], [False, True, False, False], 56, False, [True, False, False, False], 4689, 'West', (10, 5))
Element 23: (0, (10, 5), ['.', '%', '', ''], [(11, 6), (4, 2), (13, 13)], [False, True, False, False], 54, False, [True, False, False, False], 4698, 'West', (9, 5))
Element 24: (0, (9, 5), ['.', '%', '', ''], [(12, 6), (5, 2), (14, 13)], [False, True, False, False], 52, False, [True, False, False, False], 4707, 'West', (8, 5))
Element 25: (0, (8, 5), ['.', '%', '', ''], [(13, 6), (5, 3), (15, 13)], [False, True, False, False], 50, False, [True, False, False, False], 4716, 'West', (7, 5))
Element 26: (0, (7, 5), ['', '%', '', ''], [(14, 6), (4, 3), (16, 13)], [False, True, False, False], 48, False, [False, False, False, False], 4725, 'North', (7, 6))
Element 27: (0, (7, 6), ['', '', '%', ''], [(15, 6), (3, 3), (16, 12)], [False, False, True, False], 46, False, [False, False, False, False], 4724, 'East', (8, 6))
Element 28: (0, (8, 6), ['', '', '%', ''], [(16, 6), (2, 3), (16, 11)], [False, False, True, False], 44, False, [False, False, False, False], 4733, 'East', (9, 6))
Element 29: (0, (9, 6), ['', '', '.', ''], [(17, 6), (3, 3), (17, 11)], [False, False, False, False], 42, False, [False, False, True, False], 4742, 'North', (9, 7))
Element 30: (0, (9, 7), ['%', '', '', ''], [(17, 7), (4, 3), (18, 11)], [True, False, False, False], 40, False, [False, False, False, False], 4761, 'South', (9, 6))
Element 31: (0, (9, 6), ['', '', '', ''], [(18, 7), (5, 3), (17, 11)], [False, False, False, False], 38, False, [False, False, False, False], 4760, 'East', (10, 6))
Element 32: (0, (10, 6), ['', '', '', ''], [(17, 7), (5, 2), (17, 10)], [False, False, False, False], 36, False, [False, False, False, False], 4769, 'West', (9, 6))
Element 33: (0, (9, 6), ['', '', '', ''], [(16, 7), (4, 2), (17, 9)], [False, False, False, False], 34, False, [False, False, False, False], 4778, 'West', (8, 6))
Element 34: (0, (8, 6), ['', '', '%', ''], [(15, 7), (4, 3), (18, 9)], [False, False, True, False], 32, False, [False, False, False, False], 4787, 'West', (7, 6))
Element 35: (0, (7, 6), ['', '', '%', ''], [(14, 7), (4, 2), (17, 9)], [False, False, True, False], 30, False, [False, False, False, False], 4786, 'West', (6, 6))
Element 36: (0, (6, 6), ['', '', '%', ''], [(14, 8), (3, 2), (16, 9)], [False, False, True, False], 28, False, [False, False, False, False], 4805, 'South', (6, 5))
Element 37: (0, (6, 5), ['', '', '', ''], [(14, 9), (3, 3), (15, 9)], [False, False, False, False], 26, False, [False, False, False, False], 4824, 'South', (6, 4))
Element 38: (0, (6, 4), ['%', '', '', '%'], [(14, 10), (3, 2), (15, 10)], [True, False, False, True], 24, False, [False, False, False, False], 4843, 'South', (6, 3))
Element 39: (0, (6, 3), ['', '', '', '%'], [(13, 10), (2, 2), (14, 10)], [False, False, False, True], 22, False, [False, False, False, False], 4852, 'South', (6, 2))
