Element 1: (2, (5, 10), ['.', '.', '.', ''], [(7, 10), (2, 10), (10, 12)], [False, False, False, False], 98, False, [True, True, True, False], 19, 'North', (5, 11))
Element 2: (2, (5, 11), ['.', '', '.', '.'], [(8, 10), (3, 10), (9, 12)], [False, False, False, False], 96, False, [True, False, True, True], 1048, 'East', (6, 11))
Element 3: (2, (6, 11), ['', '', '.', '.'], [(8, 11), (4, 10), (9, 11)], [False, False, False, False], 94, False, [False, False, True, True], 2077, 'East', (7, 11))
Element 4: (2, (7, 11), ['', '', '%', ''], [(9, 11), (4, 11), (10, 11)], [False, False, True, False], 92, False, [False, False, False, False], 2106, 'East', (8, 11))
Element 5: (2, (8, 11), ['', '', '%', ''], [(9, 10), (3, 11), (11, 11)], [False, False, True, False], 90, False, [False, False, False, False], 2135, 'East', (9, 11))
Element 6: (2, (9, 11), ['', '', '', ''], [(10, 10), (2, 11), (12, 11)], [False, False, False, False], 88, False, [False, False, False, False], 2164, 'East', (10, 11))
Element 7: (2, (10, 11), ['', '', '', ''], [(11, 10), (3, 11), (13, 11)], [False, False, False, False], 86, False, [False, False, False, False], 2183, 'East', (11, 11))
Element 8: (2, (11, 11), ['', '', '.', ''], [(12, 10), (4, 11), (13, 12)], [False, False, False, False], 84, False, [False, False, True, False], 2202, 'North', (11, 12))
Element 9: (2, (11, 12), ['', '', '%', '.'], [(13, 10), (5, 11), (14, 12)], [False, False, True, False], 82, False, [False, False, False, True], 2231, 'East', (12, 12))
Element 10: (2, (12, 12), ['', '', '.', ''], [(14, 10), (5, 12), (15, 12)], [False, False, False, False], 80, False, [False, False, True, False], 2270, 'North', (12, 13))
Element 11: (2, (12, 13), ['%', '', '%', '.'], [(15, 10), (6, 12), (16, 12)], [True, False, True, False], 78, False, [False, False, False, True], 2309, 'East', (13, 13))
Element 12: (2, (13, 13), ['', '', '%', '.'], [(15, 9), (6, 11), (16, 13)], [False, False, True, False], 76, False, [False, False, False, True], 2338, 'East', (14, 13))
Element 13: (2, (14, 13), ['', '', '%', 'G'], [(16, 9), (7, 11), (15, 13)], [False, False, True, False], 74, False, [False, False, False, False], 2367, 'South', (14, 12))
Element 14: (2, (14, 12), ['', '%', 'G', ''], [(17, 9), (8, 11), (14, 13)], [False, True, False, False], 72, False, [False, False, False, False], 2376, 'East', (15, 12))
Element 15: (2, (15, 12), ['', '%', '', ''], [(18, 9), (9, 11), (13, 13)], [False, True, False, False], 70, False, [False, False, False, False], 2385, 'East', (16, 12))
Element 16: (2, (16, 12), ['', '.', '', '%'], [(17, 9), (10, 11), (12, 13)], [False, False, False, True], 68, False, [False, True, False, False], 2384, 'South', (16, 11))
Element 17: (2, (16, 11), ['%', '%', '', '.'], [(17, 10), (11, 11), (12, 12)], [True, True, False, False], 66, False, [False, False, False, True], 2403, 'East', (17, 11))
Element 18: (2, (17, 11), ['', '', '%', '.'], [(17, 9), (12, 11), (11, 12)], [False, False, True, False], 64, False, [False, False, False, True], 2412, 'East', (18, 11))
Element 19: (2, (18, 11), ['', '%', '%', '%'], [(16, 9), (13, 11), (12, 12)], [False, True, True, True], 62, False, [False, False, False, False], 2421, 'West', (17, 11))
Element 20: (2, (17, 11), ['', '', '%', ''], [(15, 9), (13, 12), (12, 13)], [False, False, True, False], 60, False, [False, False, False, False], 2420, 'South', (17, 10))
Element 21: (2, (17, 10), ['%', '', '', '%'], [(14, 9), (14, 12), (13, 13)], [True, False, False, True], 58, False, [False, False, False, False], 2429, 'South', (17, 9))
Element 22: (2, (17, 9), ['', '%', '', ''], [(14, 8), (15, 12), (14, 13)], [False, True, False, False], 56, False, [False, False, False, False], 2438, 'East', (18, 9))
Element 23: (2, (18, 9), ['', '%', '%', '%'], [(14, 7), (16, 12), (15, 13)], [False, True, True, True], 54, False, [False, False, False, False], 2447, 'West', (17, 9))
Element 24: (2, (17, 9), ['', '%', '', ''], [(15, 7), (16, 11), (16, 13)], [False, True, False, False], 52, False, [False, False, False, False], 2456, 'West', (16, 9))
Element 25: (2, (16, 9), ['', '%', '%', ''], [(16, 7), (17, 11), (16, 12)], [False, True, True, False], 50, False, [False, False, False, False], 2465, 'West', (15, 9))
Element 26: (2, (15, 9), ['', '%', '', ''], [(17, 7), (18, 11), (16, 11)], [False, True, False, False], 48, False, [False, False, False, False], 2474, 'North', (15, 10))
Element 27: (2, (15, 10), ['', '', '%', '%'], [(18, 7), (18, 11), (17, 11)], [False, False, True, True], 46, False, [False, False, False, False], 2483, 'West', (14, 10))
Element 28: (2, (14, 10), ['', '', '%', ''], [(17, 7), (17, 11), (17, 10)], [False, False, True, False], 44, False, [False, False, False, False], 2482, 'South', (14, 9))
Element 29: (2, (14, 9), ['.', '', '', ''], [(17, 6), (17, 11), (17, 9)], [False, False, False, False], 42, False, [True, False, False, False], 2491, 'West', (13, 9))
Element 30: (2, (13, 9), ['.', '.', '', ''], [(16, 6), (16, 11), (18, 9)], [False, False, False, False], 40, False, [True, True, False, False], 2510, 'South', (13, 8))
Element 31: (2, (13, 8), ['.', '.', '', ''], [(15, 6), (16, 12), (17, 9)], [False, False, False, False], 38, False, [True, True, False, False], 2529, 'South', (13, 7))
Element 32: (2, (13, 7), ['.', '.', '', ''], [(14, 6), (15, 12), (16, 9)], [False, False, False, False], 36, False, [True, True, False, False], 2548, 'South', (13, 6))
Element 33: (2, (13, 6), ['.', '.', '', ''], [(15, 6), (14, 12), (15, 9)], [False, False, False, False], 34, False, [True, True, False, False], 2557, 'South', (13, 5))
Element 34: (2, (13, 5), ['.', '%', '', '%'], [(16, 6), (13, 12), (15, 10)], [False, True, False, True], 32, False, [True, False, False, False], 2566, 'West', (12, 5))
Element 35: (2, (12, 5), ['.', '%', '.', ''], [(17, 6), (12, 12), (14, 10)], [False, True, False, False], 30, False, [True, False, True, False], 2575, 'North', (12, 6))
Element 36: (2, (12, 6), ['.', '', '.', ''], [(17, 7), (12, 13), (14, 9)], [False, False, False, False], 28, False, [True, False, True, False], 2584, 'North', (12, 7))
Element 37: (2, (12, 7), ['.', '', '.', ''], [(16, 7), (13, 13), (14, 8)], [False, False, False, False], 26, False, [True, False, True, False], 2593, 'North', (12, 8))
Element 38: (2, (12, 8), ['%', '', '.', ''], [(16, 6), (14, 13), (14, 7)], [True, False, False, False], 24, False, [False, False, True, False], 2602, 'North', (12, 9))
Element 39: (2, (12, 9), ['.', '', '', ''], [(16, 7), (15, 13), (15, 7)], [False, False, False, False], 22, False, [True, False, False, False], 2611, 'West', (11, 9))
Element 40: (2, (11, 9), ['%', '%', '', ''], [(15, 7), (16, 13), (15, 6)], [True, True, False, False], 20, False, [False, False, False, False], 2620, 'North', (11, 10))
Element 41: (2, (11, 10), ['', '', '', ''], [(15, 6), (15, 13), (16, 6)], [False, False, False, False], 18, False, [False, False, False, False], 2619, 'East', (12, 10))
Element 42: (2, (12, 10), ['', '', '', ''], [(15, 7), (14, 13), (17, 6)], [False, False, False, False], 16, False, [False, False, False, False], 2618, 'East', (13, 10))
Element 43: (2, (13, 10), ['', '', '', ''], [(14, 7), (13, 13), (17, 7)], [False, False, False, False], 14, False, [False, False, False, False], 2617, 'North', (13, 11))
Element 44: (2, (13, 11), ['', '', '', '%'], [(14, 6), (12, 13), (18, 7)], [False, False, False, True], 12, False, [False, False, False, False], 2616, 'North', (13, 12))
Element 45: (2, (13, 12), ['G', '', '', ''], [(14, 7), (12, 12), (17, 7)], [False, False, False, False], 10, False, [False, False, False, False], 2615, 'South', (13, 11))
Element 46: (2, (13, 11), ['', '', '', '%'], [(13, 7), (11, 12), (16, 7)], [False, False, False, True], 8, False, [False, False, False, False], 2614, 'West', (12, 11))
Element 47: (2, (12, 11), ['', '', '', ''], [(13, 8), (10, 12), (17, 7)], [False, False, False, False], 6, False, [False, False, False, False], 2613, 'East', (13, 11))
Element 48: (2, (13, 11), ['', '', '', '%'], [(13, 9), (9, 12), (17, 6)], [False, False, False, True], 4, False, [False, False, False, False], 2612, 'South', (13, 10))
Element 49: (2, (13, 10), ['', '', '', ''], [(12, 9), (10, 12), (16, 6)], [False, False, False, False], 2, False, [False, False, False, False], 2611, 'West', (12, 10))
Element 50: (2, (12, 10), ['', 'G', '', ''], [(12, 9), (10, 12), (16, 7)], [False, False, False, False], 0, False, [False, False, False, False], 2610, 'Stop', (12, 10))
Element 51: #0#
