Element 13: (2, (14, 12), ['', '%', '.', '.'], [(14, 10), (13, 11), (16, 9)], [False, True, False, False], 74, False, [False, False, True, True], 4417, 'East', (15, 12))
Element 14: (2, (15, 12), ['', '%', '.', '.'], [(15, 10), (13, 12), (17, 9)], [False, True, False, False], 72, False, [False, False, True, True], 4446, 'East', (16, 12))
Element 15: (2, (16, 12), ['', '.', '.', '%'], [(15, 9), (13, 13), (18, 9)], [False, False, False, True], 70, False, [False, True, True, False], 4475, 'North', (16, 13))
Element 16: (2, (16, 13), ['.', '', '%', '%'], [(16, 9), (14, 13), (17, 9)], [False, False, True, True], 68, False, [True, False, False, False], 4494, 'West', (15, 13))
Element 17: (2, (15, 13), ['', '', '%', ''], [(17, 9), (14, 12), (17, 10)], [False, False, True, False], 66, False, [False, False, False, False], 4513, 'West', (14, 13))
Element 18: (2, (14, 13), ['', '', '%', ''], [(18, 9), (15, 12), (17, 11)], [False, False, True, False], 64, False, [False, False, False, False], 4522, 'West', (13, 13))
Element 19: (2, (13, 13), ['.', '', '%', ''], [(17, 9), (16, 12), (18, 11)], [False, False, True, False], 62, False, [True, False, False, False], 4531, 'West', (12, 13))
Element 20: (2, (12, 13), ['%', '', '%', ''], [(17, 10), (16, 11), (17, 11)], [True, False, True, False], 60, False, [False, False, False, False], 4550, 'East', (13, 13))
Element 21: (2, (13, 13), ['', '', '%', ''], [(17, 11), (16, 12), (18, 11)], [False, False, True, False], 58, False, [False, False, False, False], 4549, 'East', (14, 13))
Element 22: (2, (14, 13), ['', '', '%', ''], [(16, 11), (16, 13), (18, 11)], [False, False, True, False], 56, False, [False, False, False, False], 4548, 'East', (15, 13))
Element 23: (2, (15, 13), ['', '', '%', 'G'], [(16, 12), (16, 13), (18, 11)], [False, False, True, False], 54, False, [False, False, False, False], 4547, 'West', (14, 13))
Element 24: (2, (14, 13), ['', '', '%', 'G'], [(15, 12), (15, 13), (18, 11)], [False, False, True, False], 52, False, [False, False, False, False], 4546, 'South', (14, 12))
Element 25: (2, (14, 12), ['', '%', '', ''], [(16, 12), (15, 13), (18, 11)], [False, True, False, False], 50, False, [False, False, False, False], 4545, 'Stop', (14, 12))
Element 26: (2, (14, 12), ['', '%', '', 'G'], [(16, 11), (15, 12), (18, 11)], [False, True, False, False], 48, False, [False, False, False, False], 4544, 'East', (15, 12))
Element 27: (2, (15, 12), ['G', '%', '', ''], [(17, 11), (14, 12), (18, 11)], [False, True, False, False], 46, False, [False, False, False, False], 4543, 'Stop', (15, 12))
Element 28: (2, (15, 12), ['', '%', '', ''], [(17, 10), (14, 13), (18, 11)], [False, True, False, False], 44, False, [False, False, False, False], 4542, 'North', (15, 13))
Element 29: (2, (15, 13), ['', '', '%', ''], [(17, 9), (13, 13), (18, 11)], [False, False, True, False], 42, False, [False, False, False, False], 4541, 'South', (15, 12))
