Element 1: (2, (11, 2), ['G', '.', '.', '.'], [(10, 2), (9, 6), (16, 6)], [False, False, False, False], 98, False, [False, True, True, True], 19, 'East', (12, 2))
Element 2: (2, (12, 2), ['', '.', '.', '.'], [(10, 3), (10, 6), (17, 6)], [False, False, False, False], 96, False, [False, True, True, True], 58, 'East', (13, 2))
Element 3: (2, (13, 2), ['', '.', '%', '.'], [(11, 3), (11, 6), (17, 7)], [False, False, True, False], 94, False, [False, True, False, True], 97, 'East', (14, 2))
Element 4: (2, (14, 2), ['', '.', '%', '.'], [(12, 3), (12, 6), (18, 7)], [False, False, True, False], 92, False, [False, True, False, True], 136, 'East', (15, 2))
Element 5: (2, (15, 2), ['', '.', '%', '%'], [(12, 2), (13, 6), (17, 7)], [False, False, True, True], 90, False, [False, True, False, False], 155, 'South', (15, 1))
Element 6: (2, (15, 1), ['.', '%', '', '%'], [(12, 1), (14, 6), (16, 7)], [False, True, False, True], 88, False, [True, False, False, False], 194, 'West', (14, 1))
Element 7: (2, (14, 1), ['G', '%', '', ''], [(13, 1), (15, 6), (15, 7)], [False, True, False, False], 86, False, [False, False, False, False], 233, 'East', (15, 1))
Element 8: (2, (15, 1), ['G', '%', '', '%'], [(14, 1), (16, 6), (14, 7)], [False, True, False, True], 84, False, [False, False, False, False], 242, 'North', (15, 2))
Element 9: (2, (15, 2), ['', 'G', '%', '%'], [(15, 1), (17, 6), (14, 8)], [False, False, True, True], 82, False, [False, False, False, False], 251, 'West', (14, 2))
Element 10: (2, (14, 2), ['', '', '%', 'G'], [(15, 2), (17, 7), (14, 9)], [False, False, True, False], 80, False, [False, False, False, False], 260, 'South', (14, 1))
Element 11: (2, (14, 1), ['', '%', 'G', ''], [(14, 2), (18, 7), (15, 9)], [False, True, False, False], 78, False, [False, False, False, False], 269, 'West', (13, 1))
Element 12: (2, (13, 1), ['', '%', 'G', ''], [(13, 2), (17, 7), (16, 9)], [False, True, False, False], 76, False, [False, False, False, False], 278, 'West', (12, 1))
Element 13: (2, (12, 1), ['.', '%', '', ''], [(14, 2), (16, 7), (17, 9)], [False, True, False, False], 74, False, [True, False, False, False], 287, 'West', (11, 1))
Element 14: (2, (11, 1), ['%', '%', '', ''], [(15, 2), (15, 7), (18, 9)], [True, True, False, False], 72, False, [False, False, False, False], 306, 'East', (12, 1))
Element 15: (2, (12, 1), ['', '%', '', ''], [(15, 1), (14, 7), (17, 9)], [False, True, False, False], 70, False, [False, False, False, False], 305, 'East', (13, 1))
Element 16: (2, (13, 1), ['', '%', '', 'G'], [(14, 1), (13, 7), (17, 10)], [False, True, False, False], 68, False, [False, False, False, False], 324, 'North', (13, 2))
Element 17: (2, (13, 2), ['', '', '%', 'G'], [(14, 2), (13, 8), (17, 11)], [False, False, True, False], 66, False, [False, False, False, False], 343, 'South', (13, 1))
Element 18: (2, (13, 1), ['', '%', '', 'G'], [(14, 1), (13, 9), (18, 11)], [False, True, False, False], 64, False, [False, False, False, False], 362, 'North', (13, 2))
Element 19: (2, (13, 2), ['', 'G', '%', ''], [(13, 1), (13, 10), (17, 11)], [False, False, True, False], 62, False, [False, False, False, False], 371, 'West', (12, 2))
Element 20: (2, (12, 2), ['', '', '', 'G'], [(13, 2), (14, 10), (16, 11)], [False, False, False, False], 60, False, [False, False, False, False], 390, 'North', (12, 3))
Element 21: (2, (12, 3), ['', '', '%', '%'], [(13, 1), (15, 10), (16, 12)], [False, False, True, True], 58, False, [False, False, False, False], 409, 'West', (11, 3))
Element 22: (2, (11, 3), ['', '', '%', ''], [(12, 1), (15, 9), (16, 13)], [False, False, True, False], 56, False, [False, False, False, False], 418, 'West', (10, 3))
Element 23: (2, (10, 3), ['.', '', '%', ''], [(11, 1), (16, 9), (15, 13)], [False, False, True, False], 54, False, [True, False, False, False], 427, 'West', (9, 3))
Element 24: (2, (9, 3), ['%', '', '%', ''], [(11, 2), (17, 9), (15, 12)], [True, False, True, False], 52, False, [False, False, False, False], 446, 'South', (9, 2))
Element 25: (2, (9, 2), ['%', '%', '', ''], [(11, 1), (18, 9), (14, 12)], [True, True, False, False], 50, False, [False, False, False, False], 455, 'East', (10, 2))
Element 26: (2, (10, 2), ['', '%', '', ''], [(12, 1), (17, 9), (14, 13)], [False, True, False, False], 48, False, [False, False, False, False], 464, 'West', (9, 2))
Element 27: (2, (9, 2), ['%', '%', '', ''], [(12, 2), (17, 10), (13, 13)], [True, True, False, False], 46, False, [False, False, False, False], 473, 'North', (9, 3))
Element 28: (2, (9, 3), ['%', '', '%', ''], [(13, 2), (17, 11), (13, 12)], [True, False, True, False], 44, False, [False, False, False, False], 482, 'East', (10, 3))
Element 29: (2, (10, 3), ['', '', '%', ''], [(12, 2), (18, 11), (13, 11)], [False, False, True, False], 42, False, [False, False, False, False], 491, 'South', (10, 2))
Element 30: (2, (10, 2), ['', '%', '', 'G'], [(11, 2), (17, 11), (12, 11)], [False, True, False, False], 40, False, [False, False, False, False], 500, 'North', (10, 3))
Element 31: (2, (10, 3), ['', '', '%', ''], [(12, 2), (16, 11), (12, 12)], [False, False, True, False], 38, False, [False, False, False, False], 509, 'East', (11, 3))
Element 32: (2, (11, 3), ['', '', '%', 'G'], [(12, 3), (16, 12), (12, 13)], [False, False, True, False], 36, False, [False, False, False, False], 518, 'West', (10, 3))
Element 33: (2, (10, 3), ['', '', '%', 'G'], [(11, 3), (16, 13), (12, 12)], [False, False, True, False], 34, False, [False, False, False, False], 517, 'South', (10, 2))
Element 34: (2, (10, 2), ['', '%', '', 'G'], [(11, 2), (15, 13), (11, 12)], [False, True, False, False], 32, False, [False, False, False, False], 526, 'Stop', (10, 2))
Element 35: (2, (10, 2), ['', '%', '', ''], [(11, 3), (15, 12), (11, 11)], [False, True, False, False], 30, False, [False, False, False, False], 535, 'East', (11, 2))
Element 36: (2, (11, 2), ['', '', '', ''], [(10, 3), (14, 12), (11, 10)], [False, False, False, False], 28, False, [False, False, False, False], 544, 'Stop', (11, 2))
Element 37: (2, (11, 2), ['', '', '', ''], [(9, 3), (14, 13), (12, 10)], [False, False, False, False], 26, False, [False, False, False, False], 553, 'North', (11, 3))
Element 38: (2, (11, 3), ['G', '', '%', ''], [(10, 3), (13, 13), (12, 9)], [False, False, True, False], 24, False, [False, False, False, False], 562, 'South', (11, 2))
Element 39: (2, (11, 2), ['G', '', '', ''], [(10, 2), (13, 12), (12, 8)], [False, False, False, False], 22, False, [False, False, False, False], 571, 'South', (11, 1))
Element 40: (2, (11, 1), ['%', '%', 'G', ''], [(11, 2), (13, 11), (12, 7)], [True, True, False, False], 20, False, [False, False, False, False], 580, 'East', (12, 1))
Element 41: (2, (12, 1), ['', '%', '', ''], [(10, 2), (12, 11), (11, 7)], [False, True, False, False], 18, False, [False, False, False, False], 589, 'Stop', (12, 1))
