Element 1: (1, (5, 8), ['.', '%', '.', 'F'], [(12, 2), (5, 11), (6, 11)], [False, True, False, False], 98, False, [True, False, True, False], 9, 'East', (6, 8))
Element 2: (1, (6, 8), ['', '%', '%', '.'], [(13, 2), (5, 12), (7, 11)], [False, True, True, False], 96, False, [False, False, False, True], 1038, 'East', (7, 8))
Element 3: (1, (7, 8), ['', '%', '%', '.'], [(14, 2), (6, 12), (8, 11)], [False, True, True, False], 94, False, [False, False, False, True], 2067, 'East', (8, 8))
Element 4: (1, (8, 8), ['', '%', '%', '.'], [(15, 2), (6, 11), (9, 11)], [False, True, True, False], 92, False, [False, False, False, True], 2096, 'East', (9, 8))
Element 5: (1, (9, 8), ['', '.', '%', 'F'], [(15, 1), (6, 10), (9, 12)], [False, False, True, False], 90, False, [False, True, False, False], 3125, 'East', (10, 8))
Element 6: (1, (10, 8), ['', '.', '%', '%'], [(14, 1), (7, 10), (10, 12)], [False, False, True, True], 88, False, [False, True, False, False], 4154, 'South', (10, 7))
Element 7: (1, (10, 7), ['.', '.', '', '.'], [(13, 1), (8, 10), (11, 12)], [False, False, False, False], 86, False, [True, True, False, True], 4193, 'East', (11, 7))
Element 8: (1, (11, 7), ['', '.', '%', '.'], [(12, 1), (9, 10), (12, 12)], [False, False, True, False], 84, False, [False, True, False, True], 4232, 'East', (12, 7))
Element 9: (1, (12, 7), ['', '.', '.', '.'], [(11, 1), (10, 10), (13, 12)], [False, False, False, False], 82, False, [False, True, True, True], 4271, 'East', (13, 7))
Element 10: (1, (13, 7), ['', '.', '.', '.'], [(12, 1), (11, 10), (14, 12)], [False, False, False, False], 80, False, [False, True, True, True], 4300, 'East', (14, 7))
Element 11: (1, (14, 7), ['', '.', '.', '.'], [(13, 1), (12, 10), (15, 12)], [False, False, False, False], 78, False, [False, True, True, True], 4329, 'East', (15, 7))
Element 12: (1, (15, 7), ['', '.', '%', '.'], [(14, 1), (13, 10), (16, 12)], [False, False, True, False], 76, False, [False, True, False, True], 4358, 'East', (16, 7))
Element 13: (1, (16, 7), ['', '.', '%', '.'], [(15, 1), (14, 10), (16, 13)], [False, False, True, False], 74, False, [False, True, False, True], 4387, 'East', (17, 7))
Element 14: (1, (17, 7), ['', '.', '%', '.'], [(15, 2), (15, 10), (15, 13)], [False, False, True, False], 72, False, [False, True, False, True], 4416, 'East', (18, 7))
Element 15: (1, (18, 7), ['', '%', '%', '%'], [(14, 2), (15, 9), (14, 13)], [False, True, True, True], 70, False, [False, False, False, False], 4445, 'West', (17, 7))
Element 16: (1, (17, 7), ['', '.', '%', ''], [(14, 1), (16, 9), (13, 13)], [False, False, True, False], 68, False, [False, True, False, False], 4464, 'South', (17, 6))
