Element 39: (1, (9, 10), ['', '%', '', ''], [(15, 12), (14, 10), (16, 12)], [False, True, False, False], 22, False, [False, False, False, False], 4681, 'West', (8, 10))
Element 40: (1, (8, 10), ['', '%', '', ''], [(15, 13), (14, 9), (16, 13)], [False, True, False, False], 20, False, [False, False, False, False], 4680, 'North', (8, 11))
Element 41: (1, (8, 11), ['.', '', '%', ''], [(14, 13), (14, 8), (16, 12)], [False, False, True, False], 18, False, [True, False, False, False], 4679, 'West', (7, 11))
Element 42: (1, (7, 11), ['.', '', '%', ''], [(14, 12), (14, 7), (16, 11)], [False, False, True, False], 16, False, [True, False, False, False], 4688, 'West', (6, 11))
Element 43: (1, (6, 11), ['.', '', '.', ''], [(14, 13), (15, 7), (17, 11)], [False, False, False, False], 14, False, [True, False, True, False], 4697, 'North', (6, 12))
Element 44: (1, (6, 12), ['.', '', '%', '%'], [(13, 13), (16, 7), (17, 10)], [False, False, True, True], 12, False, [True, False, False, False], 4706, 'West', (5, 12))
Element 45: (1, (5, 12), ['%', '.', '.', ''], [(13, 12), (17, 7), (17, 9)], [True, False, False, False], 10, False, [False, True, True, False], 4715, 'North', (5, 13))
Element 46: (1, (5, 13), ['.', '', '%', '%'], [(13, 13), (18, 7), (16, 9)], [False, False, True, True], 8, False, [True, False, False, False], 4724, 'West', (4, 13))
Element 47: (1, (4, 13), ['.', '%', '%', ''], [(12, 13), (17, 7), (15, 9)], [False, True, True, False], 6, False, [True, False, False, False], 4733, 'West', (3, 13))
Element 48: (1, (3, 13), ['.', '%', '%', ''], [(12, 12), (17, 6), (15, 10)], [False, True, True, False], 4, False, [True, False, False, False], 4742, 'West', (2, 13))
Element 49: (1, (2, 13), ['.', '%', '%', ''], [(11, 12), (16, 6), (14, 10)], [False, True, True, False], 2, False, [True, False, False, False], 4751, 'West', (1, 13))
Element 50: (1, (1, 13), ['%', '%', '%', ''], [(11, 12), (15, 6), (13, 10)], [True, True, True, False], 0, False, [False, False, False, False], 4760, 'Stop', (1, 13))
Element 51: #0#
