Element 1: (2, (9, 6), ['G', '.', '.', '.'], [(2, 13), (8, 6), (15, 7)], [False, False, False, False], 98, False, [False, True, True, True], 19, 'East', (10, 6))
Element 2: (2, (10, 6), ['', '.', '.', '.'], [(3, 13), (8, 5), (16, 7)], [False, False, False, False], 96, False, [False, True, True, True], 58, 'East', (11, 6))
Element 3: (2, (11, 6), ['', '.', '.', '.'], [(4, 13), (9, 5), (17, 7)], [False, False, False, False], 94, False, [False, True, True, True], 97, 'East', (12, 6))
Element 4: (2, (12, 6), ['', '.', '.', '.'], [(5, 13), (10, 5), (18, 7)], [False, False, False, False], 92, False, [False, True, True, True], 136, 'East', (13, 6))
Element 5: (2, (13, 6), ['', '.', '.', '.'], [(5, 12), (11, 5), (17, 7)], [False, False, False, False], 90, False, [False, True, True, True], 165, 'East', (14, 6))
Element 6: (2, (14, 6), ['', '%', '.', '.'], [(6, 12), (12, 5), (17, 6)], [False, True, False, False], 88, False, [False, False, True, True], 204, 'East', (15, 6))
Element 7: (2, (15, 6), ['', '%', '', 'G'], [(6, 11), (13, 5), (16, 6)], [False, True, False, False], 86, False, [False, False, False, False], 243, 'North', (15, 7))
Element 8: (2, (15, 7), ['.', 'G', '%', ''], [(7, 11), (13, 6), (15, 6)], [False, False, True, False], 84, False, [True, False, False, False], 252, 'West', (14, 7))
Element 9: (2, (14, 7), ['G', 'G', '.', ''], [(8, 11), (13, 7), (14, 6)], [False, False, False, False], 82, False, [False, False, True, False], 1271, 'North', (14, 8))
Element 10: (2, (14, 8), ['G', 'G', '.', '%'], [(9, 11), (13, 8), (14, 7)], [False, False, False, True], 80, False, [False, False, True, False], 1300, 'North', (14, 9))
Element 11: (2, (14, 9), ['G', 'G', '.', '.'], [(9, 12), (13, 9), (14, 8)], [False, False, False, False], 78, False, [False, False, True, True], 2319, 'East', (15, 9))
Element 12: (2, (15, 9), ['G', '%', '.', '.'], [(10, 12), (13, 10), (14, 9)], [False, True, False, False], 76, False, [False, False, True, True], 2348, 'East', (16, 9))
Element 13: (2, (16, 9), ['', '%', '%', '.'], [(11, 12), (13, 11), (14, 10)], [False, True, True, False], 74, False, [False, False, False, True], 2387, 'East', (17, 9))
Element 14: (2, (17, 9), ['', '%', '.', '.'], [(12, 12), (13, 12), (15, 10)], [False, True, False, False], 72, False, [False, False, True, True], 2426, 'East', (18, 9))
Element 15: (2, (18, 9), ['', '%', '%', '%'], [(12, 13), (14, 12), (15, 9)], [False, True, True, True], 70, False, [False, False, False, False], 2455, 'West', (17, 9))
Element 16: (2, (17, 9), ['G', '%', '.', ''], [(13, 13), (15, 12), (16, 9)], [False, True, False, False], 68, False, [False, False, True, False], 2474, 'North', (17, 10))
Element 17: (2, (17, 10), ['%', 'G', '.', '%'], [(14, 13), (16, 12), (17, 9)], [True, False, False, True], 66, False, [False, False, True, False], 2503, 'North', (17, 11))
Element 18: (2, (17, 11), ['.', '', '%', '.'], [(15, 13), (16, 13), (18, 9)], [False, False, True, False], 64, False, [True, False, False, True], 2532, 'East', (18, 11))
Element 19: (2, (18, 11), ['', '%', '%', '%'], [(15, 12), (15, 13), (17, 9)], [False, True, True, True], 62, False, [False, False, False, False], 2541, 'West', (17, 11))
Element 20: (2, (17, 11), ['.', 'G', '%', ''], [(16, 12), (14, 13), (17, 10)], [False, False, True, False], 60, False, [True, False, False, False], 2540, 'West', (16, 11))
Element 21: (2, (16, 11), ['%', '%', '', 'G'], [(16, 13), (13, 13), (17, 11)], [True, True, False, False], 58, False, [False, False, False, False], 2549, 'North', (16, 12))
Element 22: (2, (16, 12), ['', '', '', '%'], [(15, 13), (12, 13), (18, 11)], [False, False, False, True], 56, False, [False, False, False, False], 2548, 'North', (16, 13))
Element 23: (2, (16, 13), ['', '', '%', '%'], [(15, 12), (12, 12), (17, 11)], [False, False, True, True], 54, False, [False, False, False, False], 2547, 'West', (15, 13))
Element 24: (2, (15, 13), ['', '', '%', ''], [(14, 12), (12, 11), (16, 11)], [False, False, True, False], 52, False, [False, False, False, False], 2556, 'South', (15, 12))
Element 25: (2, (15, 12), ['', '%', '', 'G'], [(13, 12), (12, 10), (16, 12)], [False, True, False, False], 50, False, [False, False, False, False], 2565, 'West', (14, 12))
Element 26: (2, (14, 12), ['', '%', '', ''], [(13, 11), (12, 9), (16, 13)], [False, True, False, False], 48, False, [False, False, False, False], 2574, 'North', (14, 13))
