Element 39: (1, (18, 11), ['', '%', '%', '%'], [(13, 8), (14, 10), (12, 9)], [False, True, True, True], 22, False, [False, False, False, False], 3701, 'West', (17, 11))
Element 40: (1, (17, 11), ['', '', '%', ''], [(13, 7), (15, 10), (12, 10)], [False, False, True, False], 20, False, [False, False, False, False], 3700, 'South', (17, 10))
Element 41: (1, (17, 10), ['%', '', '', '%'], [(13, 6), (14, 10), (12, 11)], [True, False, False, True], 18, False, [False, False, False, False], 3699, 'South', (17, 9))
Element 42: (1, (17, 9), ['', '%', '', ''], [(13, 5), (13, 10), (12, 12)], [False, True, False, False], 16, False, [False, False, False, False], 3698, 'East', (18, 9))
Element 43: (1, (18, 9), ['', '%', '%', '%'], [(12, 5), (12, 10), (12, 13)], [False, True, True, True], 14, False, [False, False, False, False], 3697, 'West', (17, 9))
Element 44: (1, (17, 9), ['', '%', '', ''], [(12, 6), (12, 11), (12, 12)], [False, True, False, False], 12, False, [False, False, False, False], 3696, 'West', (16, 9))
Element 45: (1, (16, 9), ['', '%', '%', ''], [(12, 7), (11, 11), (11, 12)], [False, True, True, False], 10, False, [False, False, False, False], 3695, 'West', (15, 9))
Element 46: (1, (15, 9), ['', '%', '', ''], [(11, 7), (11, 10), (11, 11)], [False, True, False, False], 8, False, [False, False, False, False], 3704, 'North', (15, 10))
Element 47: (1, (15, 10), ['', '', '%', '%'], [(10, 7), (11, 9), (11, 10)], [False, False, True, True], 6, False, [False, False, False, False], 3713, 'West', (14, 10))
Element 48: (1, (14, 10), ['', '', '%', ''], [(10, 8), (12, 9), (11, 9)], [False, False, True, False], 4, False, [False, False, False, False], 4712, 'South', (14, 9))
Element 49: (1, (14, 9), ['', '', '', ''], [(9, 8), (12, 8), (11, 10)], [False, False, False, False], 2, False, [False, False, False, False], 4721, 'South', (14, 8))
Element 50: (1, (14, 8), ['', '', '', '%'], [(9, 8), (12, 7), (10, 10)], [False, False, False, True], 0, False, [False, False, False, False], 4720, 'Stop', (14, 8))
Element 51: #0#
