Element 1: (2, (10, 11), ['.', '.', '.', '.'], [(17, 9), (4, 6), (15, 12)], [False, False, False, False], 98, False, [True, True, True, True], 19, 'East', (11, 11))
Element 2: (2, (11, 11), ['', '.', '.', '.'], [(17, 10), (5, 6), (16, 12)], [False, False, False, False], 96, False, [False, True, True, True], 58, 'East', (12, 11))
Element 3: (2, (12, 11), ['', '.', '.', '.'], [(17, 11), (6, 6), (16, 13)], [False, False, False, False], 94, False, [False, True, True, True], 97, 'East', (13, 11))
Element 4: (2, (13, 11), ['', '.', '.', '%'], [(18, 11), (7, 6), (15, 13)], [False, False, False, True], 92, False, [False, True, True, False], 136, 'North', (13, 12))
Element 5: (2, (13, 12), ['.', '', '.', '.'], [(17, 11), (8, 6), (14, 13)], [False, False, False, False], 90, False, [True, False, True, True], 165, 'East', (14, 12))
Element 6: (2, (14, 12), ['', '%', '', ''], [(16, 11), (9, 6), (13, 13)], [False, True, False, False], 88, False, [False, False, False, False], 204, 'East', (15, 12))
Element 7: (2, (15, 12), ['', '%', '', 'G'], [(16, 12), (10, 6), (12, 13)], [False, True, False, False], 86, False, [False, False, False, False], 223, 'North', (15, 13))
Element 8: (2, (15, 13), ['', '', '%', 'G'], [(16, 13), (11, 6), (12, 12)], [False, False, True, False], 84, False, [False, False, False, False], 242, 'West', (14, 13))
Element 9: (2, (14, 13), ['', '', '%', 'G'], [(15, 13), (12, 6), (11, 12)], [False, False, True, False], 82, False, [False, False, False, False], 261, 'West', (13, 13))
Element 10: (2, (13, 13), ['', '', '%', ''], [(15, 12), (13, 6), (10, 12)], [False, False, True, False], 80, False, [False, False, False, False], 280, 'West', (12, 13))
Element 11: (2, (12, 13), ['%', '', '%', ''], [(14, 12), (14, 6), (9, 12)], [True, False, True, False], 78, False, [False, False, False, False], 1289, 'South', (12, 12))
Element 12: (2, (12, 12), ['', '', '', ''], [(14, 13), (15, 6), (9, 11)], [False, False, False, False], 76, False, [False, False, False, False], 1308, 'West', (11, 12))
Element 13: (2, (11, 12), ['', '', '%', ''], [(13, 13), (16, 6), (8, 11)], [False, False, True, False], 74, False, [False, False, False, False], 2317, 'West', (10, 12))
Element 14: (2, (10, 12), ['', '', '%', ''], [(13, 12), (17, 6), (8, 10)], [False, False, True, False], 72, False, [False, False, False, False], 2336, 'West', (9, 12))
Element 15: (2, (9, 12), ['%', '', '%', ''], [(13, 11), (17, 7), (9, 10)], [True, False, True, False], 70, False, [False, False, False, False], 2355, 'South', (9, 11))
Element 16: (2, (9, 11), ['', '', '', ''], [(13, 10), (18, 7), (10, 10)], [False, False, False, False], 68, False, [False, False, False, False], 2384, 'South', (9, 10))
Element 17: (2, (9, 10), ['', '%', '', ''], [(14, 10), (17, 7), (11, 10)], [False, True, False, False], 66, False, [False, False, False, False], 2403, 'East', (10, 10))
