Element 1: (3, (15, 13), ['.', 'G', '%', '.'], [(14, 8), (12, 11), (15, 12)], [False, False, True, False], 98, False, [True, False, False, True], 29, 'East', (16, 13))
Element 2: (3, (16, 13), ['', 'G', '%', '%'], [(14, 9), (13, 11), (16, 12)], [False, False, True, True], 96, False, [False, False, False, False], 68, 'West', (15, 13))
Element 3: (3, (15, 13), ['.', '', '%', ''], [(15, 9), (13, 12), (16, 11)], [False, False, True, False], 94, False, [True, False, False, False], 97, 'West', (14, 13))
Element 4: (3, (14, 13), ['G', '', '%', ''], [(16, 9), (13, 13), (17, 11)], [False, False, True, False], 92, False, [False, False, False, False], 136, 'South', (14, 12))
Element 5: (3, (14, 12), ['', '%', '', ''], [(17, 9), (12, 13), (18, 11)], [False, True, False, False], 90, False, [False, False, False, False], 165, 'East', (15, 12))
Element 6: (3, (15, 12), ['', '%', '', ''], [(18, 9), (12, 12), (17, 11)], [False, True, False, False], 88, False, [False, False, False, False], 184, 'East', (16, 12))
Element 7: (3, (16, 12), ['', '', '', '%'], [(17, 9), (11, 12), (17, 10)], [False, False, False, True], 86, False, [False, False, False, False], 203, 'South', (16, 11))
Element 8: (3, (16, 11), ['%', '%', '', ''], [(16, 9), (10, 12), (17, 9)], [True, True, False, False], 84, False, [False, False, False, False], 212, 'East', (17, 11))
Element 9: (3, (17, 11), ['', '', '%', ''], [(15, 9), (9, 12), (18, 9)], [False, False, True, False], 82, False, [False, False, False, False], 1211, 'East', (18, 11))
Element 10: (3, (18, 11), ['', '%', '%', '%'], [(16, 9), (9, 11), (17, 9)], [False, True, True, True], 80, False, [False, False, False, False], 1220, 'West', (17, 11))
Element 11: (3, (17, 11), ['', '', '%', ''], [(15, 9), (8, 11), (16, 9)], [False, False, True, False], 78, False, [False, False, False, False], 2219, 'South', (17, 10))
Element 12: (3, (17, 10), ['%', '', '', '%'], [(15, 10), (8, 10), (15, 9)], [True, False, False, True], 76, False, [False, False, False, False], 2238, 'South', (17, 9))
Element 13: (3, (17, 9), ['', '%', '', ''], [(14, 10), (9, 10), (15, 10)], [False, True, False, False], 74, False, [False, False, False, False], 2257, 'East', (18, 9))
Element 14: (3, (18, 9), ['', '%', '%', '%'], [(13, 10), (10, 10), (14, 10)], [False, True, True, True], 72, False, [False, False, False, False], 2276, 'West', (17, 9))
Element 15: (3, (17, 9), ['', '%', '', ''], [(13, 9), (11, 10), (14, 9)], [False, True, False, False], 70, False, [False, False, False, False], 2295, 'West', (16, 9))
Element 16: (3, (16, 9), ['', '%', '%', ''], [(12, 9), (12, 10), (14, 8)], [False, True, True, False], 68, False, [False, False, False, False], 2314, 'West', (15, 9))
Element 17: (3, (15, 9), ['', '%', '', ''], [(12, 8), (13, 10), (14, 7)], [False, True, False, False], 66, False, [False, False, False, False], 2333, 'North', (15, 10))
Element 18: (3, (15, 10), ['G', '', '%', '%'], [(12, 7), (14, 10), (15, 7)], [False, False, True, True], 64, False, [False, False, False, False], 2352, 'South', (15, 9))
Element 19: (3, (15, 9), ['', '%', 'G', ''], [(13, 7), (15, 10), (16, 7)], [False, True, False, False], 62, False, [False, False, False, False], 2371, 'West', (14, 9))
Element 20: (3, (14, 9), ['', '', '', 'G'], [(13, 6), (15, 9), (17, 7)], [False, False, False, False], 60, False, [False, False, False, False], 2390, 'North', (14, 10))
Element 21: (3, (14, 10), ['', '', '%', ''], [(14, 6), (16, 9), (18, 7)], [False, False, True, False], 58, False, [False, False, False, False], 2409, 'West', (13, 10))
Element 22: (3, (13, 10), ['', '', '', ''], [(15, 6), (17, 9), (17, 7)], [False, False, False, False], 56, False, [False, False, False, False], 2418, 'North', (13, 11))
Element 23: (3, (13, 11), ['', '', '', '%'], [(16, 6), (18, 9), (17, 6)], [False, False, False, True], 54, False, [False, False, False, False], 2437, 'North', (13, 12))
Element 24: (3, (13, 12), ['', '', '', ''], [(16, 7), (17, 9), (16, 6)], [False, False, False, False], 52, False, [False, False, False, False], 2436, 'North', (13, 13))
Element 25: (3, (13, 13), ['', '', '%', ''], [(17, 7), (17, 10), (15, 6)], [False, False, True, False], 50, False, [False, False, False, False], 2435, 'West', (12, 13))
Element 26: (3, (12, 13), ['%', '', '%', ''], [(18, 7), (17, 11), (14, 6)], [True, False, True, False], 48, False, [False, False, False, False], 2434, 'South', (12, 12))
Element 27: (3, (12, 12), ['', '', '', ''], [(17, 7), (18, 11), (13, 6)], [False, False, False, False], 46, False, [False, False, False, False], 2433, 'South', (12, 11))
Element 28: (3, (12, 11), ['', '', '', ''], [(17, 6), (17, 11), (13, 5)], [False, False, False, False], 44, False, [False, False, False, False], 2442, 'South', (12, 10))
Element 29: (3, (12, 10), ['', '', '', ''], [(17, 7), (16, 11), (12, 5)], [False, False, False, False], 42, False, [False, False, False, False], 2451, 'South', (12, 9))
Element 30: (3, (12, 9), ['.', '', '', ''], [(16, 7), (16, 12), (12, 6)], [False, False, False, False], 40, False, [True, False, False, False], 2460, 'West', (11, 9))
Element 31: (3, (11, 9), ['%', '%', '', ''], [(15, 7), (16, 13), (11, 6)], [True, True, False, False], 38, False, [False, False, False, False], 2479, 'North', (11, 10))
Element 32: (3, (11, 10), ['', '', '', ''], [(14, 7), (15, 13), (11, 7)], [False, False, False, False], 36, False, [False, False, False, False], 2488, 'North', (11, 11))
Element 33: (3, (11, 11), ['.', '', '', ''], [(15, 7), (15, 12), (10, 7)], [False, False, False, False], 34, False, [True, False, False, False], 2497, 'West', (10, 11))
Element 34: (3, (10, 11), ['', '', '', ''], [(16, 7), (14, 12), (10, 8)], [False, False, False, False], 32, False, [False, False, False, False], 3506, 'North', (10, 12))
Element 35: (3, (10, 12), ['', '', '%', ''], [(16, 6), (14, 13), (9, 8)], [False, False, True, False], 30, False, [False, False, False, False], 3515, 'East', (11, 12))
Element 36: (3, (11, 12), ['', '', '%', ''], [(15, 6), (14, 12), (9, 7)], [False, False, True, False], 28, False, [False, False, False, False], 3524, 'West', (10, 12))
Element 37: (3, (10, 12), ['', '', '%', ''], [(15, 7), (15, 12), (9, 6)], [False, False, True, False], 26, False, [False, False, False, False], 3533, 'West', (9, 12))
Element 38: (3, (9, 12), ['%', '', '%', ''], [(15, 6), (15, 13), (10, 6)], [True, False, True, False], 24, False, [False, False, False, False], 3542, 'South', (9, 11))
Element 39: (3, (9, 11), ['', '', '', ''], [(14, 6), (14, 13), (10, 5)], [False, False, False, False], 22, False, [False, False, False, False], 3551, 'South', (9, 10))
Element 40: (3, (9, 10), ['', '%', '', ''], [(14, 7), (15, 13), (11, 5)], [False, True, False, False], 20, False, [False, False, False, False], 3560, 'East', (10, 10))
Element 41: (3, (10, 10), ['', '%', '', ''], [(14, 6), (16, 13), (10, 5)], [False, True, False, False], 18, False, [False, False, False, False], 3559, 'West', (9, 10))
Element 42: (3, (9, 10), ['', '%', '', ''], [(13, 6), (16, 12), (9, 5)], [False, True, False, False], 16, False, [False, False, False, False], 3568, 'West', (8, 10))
Element 43: (3, (8, 10), ['.', '%', '', ''], [(13, 5), (15, 12), (8, 5)], [False, True, False, False], 14, False, [True, False, False, False], 3577, 'West', (7, 10))
Element 44: (3, (7, 10), ['.', '%', '.', ''], [(12, 5), (16, 12), (8, 6)], [False, True, False, False], 12, False, [True, False, True, False], 3596, 'North', (7, 11))
Element 45: (3, (7, 11), ['.', '', '%', ''], [(12, 6), (16, 11), (7, 6)], [False, False, True, False], 10, False, [True, False, False, False], 3615, 'West', (6, 11))
Element 46: (3, (6, 11), ['.', '.', '.', ''], [(11, 6), (17, 11), (7, 5)], [False, False, False, False], 8, False, [True, True, True, False], 3634, 'North', (6, 12))
