Element 1: (0, (6, 5), ['.', 'F', '.', '.'], [(5, 3), (11, 6), (14, 6)], [False, False, False, False], 98, False, [True, False, True, True], 0, 'South', (6, 4))
Element 2: (0, (6, 4), ['%', 'G', '', '%'], [(6, 3), (12, 6), (15, 6)], [True, False, False, True], 96, False, [False, False, False, False], 1029, 'North', (6, 5))
Element 3: (0, (6, 5), ['.', '', '.', '.'], [(6, 2), (13, 6), (16, 6)], [False, False, False, False], 94, False, [True, False, True, True], 1058, 'East', (7, 5))
Element 4: (0, (7, 5), ['', '%', '.', '.'], [(6, 1), (13, 7), (17, 6)], [False, True, False, False], 92, False, [False, False, True, True], 1097, 'East', (8, 5))
Element 5: (0, (8, 5), ['', '%', '.', '.'], [(7, 1), (14, 7), (17, 7)], [False, True, False, False], 90, False, [False, False, True, True], 1136, 'East', (9, 5))
Element 6: (0, (9, 5), ['', '%', '.', '.'], [(8, 1), (15, 7), (18, 7)], [False, True, False, False], 88, False, [False, False, True, True], 1175, 'East', (10, 5))
Element 7: (0, (10, 5), ['', '%', '.', '.'], [(7, 1), (16, 7), (17, 7)], [False, True, False, False], 86, False, [False, False, True, True], 1194, 'East', (11, 5))
Element 8: (0, (11, 5), ['', '%', '', '.'], [(6, 1), (16, 6), (16, 7)], [False, True, False, False], 84, False, [False, False, False, True], 1203, 'East', (12, 5))
Element 9: (0, (12, 5), ['', '%', '', '.'], [(5, 1), (17, 6), (15, 7)], [False, True, False, False], 82, False, [False, False, False, True], 1222, 'East', (13, 5))
Element 10: (0, (13, 5), ['', '%', '', '%'], [(5, 2), (17, 7), (14, 7)], [False, True, False, True], 80, False, [False, False, False, False], 1241, 'North', (13, 6))
Element 11: (0, (13, 6), ['', '', '', ''], [(4, 2), (18, 7), (14, 8)], [False, False, False, False], 78, False, [False, False, False, False], 1260, 'East', (14, 6))
Element 12: (0, (14, 6), ['', '%', '', ''], [(4, 3), (17, 7), (14, 9)], [False, True, False, False], 76, False, [False, False, False, False], 1279, 'East', (15, 6))
Element 13: (0, (15, 6), ['', '%', '', ''], [(3, 3), (17, 6), (15, 9)], [False, True, False, False], 74, False, [False, False, False, False], 1298, 'East', (16, 6))
Element 14: (0, (16, 6), ['', '%', '', ''], [(3, 4), (17, 7), (16, 9)], [False, True, False, False], 72, False, [False, False, False, False], 1317, 'East', (17, 6))
Element 15: (0, (17, 6), ['', '%', '', '%'], [(3, 5), (17, 6), (17, 9)], [False, True, False, True], 70, False, [False, False, False, False], 1336, 'North', (17, 7))
Element 16: (0, (17, 7), ['', '', '%', ''], [(4, 5), (16, 6), (18, 9)], [False, False, True, False], 68, False, [False, False, False, False], 1355, 'East', (18, 7))
Element 17: (0, (18, 7), ['', '%', '%', '%'], [(5, 5), (16, 7), (17, 9)], [False, True, True, True], 66, False, [False, False, False, False], 1364, 'West', (17, 7))
Element 18: (0, (17, 7), ['', '', '%', ''], [(5, 6), (15, 7), (17, 10)], [False, False, True, False], 64, False, [False, False, False, False], 1383, 'West', (16, 7))
Element 19: (0, (16, 7), ['', '', '%', ''], [(6, 6), (15, 6), (17, 11)], [False, False, True, False], 62, False, [False, False, False, False], 1402, 'West', (15, 7))
Element 20: (0, (15, 7), ['', '', '%', ''], [(7, 6), (14, 6), (18, 11)], [False, False, True, False], 60, False, [False, False, False, False], 1421, 'West', (14, 7))
Element 21: (0, (14, 7), ['', '', '', ''], [(8, 6), (15, 6), (17, 11)], [False, False, False, False], 58, False, [False, False, False, False], 1430, 'North', (14, 8))
Element 22: (0, (14, 8), ['.', '', '', '%'], [(9, 6), (15, 7), (16, 11)], [False, False, False, True], 56, False, [True, False, False, False], 1449, 'West', (13, 8))
Element 23: (0, (13, 8), ['.', '', '.', ''], [(10, 6), (14, 7), (16, 12)], [False, False, False, False], 54, False, [True, False, True, False], 1478, 'North', (13, 9))
Element 24: (0, (13, 9), ['.', '', '.', ''], [(10, 7), (14, 8), (16, 13)], [False, False, False, False], 52, False, [True, False, True, False], 1507, 'North', (13, 10))
Element 25: (0, (13, 10), ['.', '', '.', '.'], [(10, 8), (14, 9), (15, 13)], [False, False, False, False], 50, False, [True, False, True, True], 2526, 'East', (14, 10))
Element 26: (0, (14, 10), ['', '', '%', '.'], [(9, 8), (15, 9), (15, 12)], [False, False, True, False], 48, False, [False, False, False, True], 2555, 'East', (15, 10))
Element 27: (0, (15, 10), ['', '', '%', '%'], [(9, 7), (16, 9), (14, 12)], [False, False, True, True], 46, False, [False, False, False, False], 2584, 'South', (15, 9))
Element 28: (0, (15, 9), ['', '%', '', ''], [(9, 8), (17, 9), (14, 13)], [False, True, False, False], 44, False, [False, False, False, False], 2593, 'East', (16, 9))
Element 29: (0, (16, 9), ['', '%', '%', ''], [(8, 8), (18, 9), (13, 13)], [False, True, True, False], 42, False, [False, False, False, False], 2612, 'East', (17, 9))
Element 30: (0, (17, 9), ['', '%', '', 'G'], [(7, 8), (18, 9), (13, 12)], [False, True, False, False], 40, False, [False, False, False, False], 2631, 'North', (17, 10))
Element 31: (0, (17, 10), ['%', 'G', '', '%'], [(6, 8), (17, 9), (13, 11)], [True, False, False, True], 38, False, [False, False, False, False], 3640, 'North', (17, 11))
Element 32: (0, (17, 11), ['', '', '%', ''], [(5, 8), (17, 9), (12, 11)], [False, False, True, False], 36, False, [False, False, False, False], 3659, 'East', (18, 11))
