Element 1: (3, (17, 3), ['', '%', '%', '.'], [(16, 4), (7, 1), (14, 13)], [False, True, True, False], 98, False, [False, False, False, True], 29, 'East', (18, 3))
Element 2: (3, (18, 3), ['', '%', '%', '%'], [(15, 4), (8, 1), (15, 13)], [False, True, True, True], 96, False, [False, False, False, False], 68, 'West', (17, 3))
Element 3: (3, (17, 3), ['', '%', '%', ''], [(14, 4), (7, 1), (16, 13)], [False, True, True, False], 94, False, [False, False, False, False], 87, 'West', (16, 3))
Element 4: (3, (16, 3), ['%', '%', '', ''], [(15, 4), (6, 1), (16, 12)], [True, True, False, False], 92, False, [False, False, False, False], 96, 'North', (16, 4))
Element 5: (3, (16, 4), ['', '', '%', '%'], [(14, 4), (6, 2), (16, 11)], [False, False, True, True], 90, False, [False, False, False, False], 115, 'West', (15, 4))
Element 6: (3, (15, 4), ['G', '%', '%', ''], [(14, 4), (6, 3), (17, 11)], [False, True, True, False], 88, False, [False, False, False, False], 134, 'East', (16, 4))
Element 7: (3, (16, 4), ['', '', '%', '%'], [(14, 4), (6, 4), (18, 11)], [False, False, True, True], 86, False, [False, False, False, False], 1143, 'South', (16, 3))
Element 8: (3, (16, 3), ['%', '%', '', ''], [(15, 4), (6, 5), (17, 11)], [True, True, False, False], 84, False, [False, False, False, False], 1152, 'East', (17, 3))
Element 9: (3, (17, 3), ['', '%', '%', ''], [(16, 4), (7, 5), (17, 10)], [False, True, True, False], 82, False, [False, False, False, False], 1171, 'Stop', (17, 3))
Element 10: (3, (17, 3), ['G', '%', '%', ''], [(16, 3), (8, 5), (17, 9)], [False, True, True, False], 80, False, [False, False, False, False], 1190, 'East', (18, 3))
Element 11: (3, (18, 3), ['G', '%', '%', '%'], [(17, 3), (9, 5), (18, 9)], [False, True, True, True], 78, False, [False, False, False, False], 1209, 'Stop', (18, 3))
Element 12: (3, (18, 3), ['', '%', '%', '%'], [(16, 3), (10, 5), (17, 9)], [False, True, True, True], 76, False, [False, False, False, False], 1218, 'Stop', (18, 3))
Element 13: (3, (18, 3), ['', '%', '%', '%'], [(16, 4), (11, 5), (16, 9)], [False, True, True, True], 74, False, [False, False, False, False], 1237, 'West', (17, 3))
Element 14: (3, (17, 3), ['', '%', '%', ''], [(15, 4), (12, 5), (15, 9)], [False, True, True, False], 72, False, [False, False, False, False], 1256, 'West', (16, 3))
Element 15: (3, (16, 3), ['%', '%', '', ''], [(14, 4), (13, 5), (15, 10)], [True, True, False, False], 70, False, [False, False, False, False], 1275, 'North', (16, 4))
Element 16: (3, (16, 4), ['', '', '%', '%'], [(14, 4), (13, 6), (14, 10)], [False, False, True, True], 68, False, [False, False, False, False], 1294, 'West', (15, 4))
Element 17: (3, (15, 4), ['G', '%', '%', ''], [(14, 4), (14, 6), (14, 9)], [False, True, True, False], 66, False, [False, False, False, False], 1313, 'East', (16, 4))
Element 18: (3, (16, 4), ['G', '', '%', '%'], [(15, 4), (15, 6), (14, 8)], [False, False, True, True], 64, False, [False, False, False, False], 1332, 'South', (16, 3))
Element 19: (3, (16, 3), ['%', '%', 'G', ''], [(16, 4), (16, 6), (14, 7)], [True, True, False, False], 62, False, [False, False, False, False], 1351, 'East', (17, 3))
Element 20: (3, (17, 3), ['G', '%', '%', ''], [(16, 3), (17, 6), (15, 7)], [False, True, True, False], 60, False, [False, False, False, False], 1370, 'East', (18, 3))
Element 21: (3, (18, 3), ['G', '%', '%', '%'], [(17, 3), (17, 7), (16, 7)], [False, True, True, True], 58, False, [False, False, False, False], 1389, 'Stop', (18, 3))
Element 22: (3, (18, 3), ['', '%', '%', '%'], [(16, 3), (18, 7), (17, 7)], [False, True, True, True], 56, False, [False, False, False, False], 1398, 'West', (17, 3))
Element 23: (3, (17, 3), ['', '%', '%', ''], [(16, 4), (18, 7), (17, 6)], [False, True, True, False], 54, False, [False, False, False, False], 1397, 'West', (16, 3))
Element 24: (3, (16, 3), ['%', '%', '', ''], [(15, 4), (17, 7), (16, 6)], [True, True, False, False], 52, False, [False, False, False, False], 1396, 'North', (16, 4))
Element 25: (3, (16, 4), ['', '', '%', '%'], [(14, 4), (16, 7), (15, 6)], [False, False, True, True], 50, False, [False, False, False, False], 1395, 'West', (15, 4))
Element 26: (3, (15, 4), ['G', '%', '%', ''], [(14, 4), (15, 7), (14, 6)], [False, True, True, False], 48, False, [False, False, False, False], 1394, 'East', (16, 4))
Element 27: (3, (16, 4), ['G', '', '%', '%'], [(15, 4), (14, 7), (13, 6)], [False, False, True, True], 46, False, [False, False, False, False], 1393, 'South', (16, 3))
