Element 1: (2, (16, 7), ['.', '.', '%', 'G'], [(15, 12), (12, 2), (17, 7)], [False, False, True, False], 98, False, [True, True, False, False], 19, 'South', (16, 6))
Element 2: (2, (16, 6), ['.', '%', '', '.'], [(16, 12), (13, 2), (18, 7)], [False, True, False, False], 96, False, [True, False, False, True], 58, 'East', (17, 6))
Element 3: (2, (17, 6), ['', '%', 'G', '%'], [(16, 13), (14, 2), (17, 7)], [False, True, False, True], 94, False, [False, False, False, False], 87, 'West', (16, 6))
Element 4: (2, (16, 6), ['.', '%', '', 'G'], [(15, 13), (15, 2), (17, 6)], [False, True, False, False], 92, False, [True, False, False, False], 106, 'West', (15, 6))
Element 5: (2, (15, 6), ['.', '%', '.', 'G'], [(14, 13), (15, 1), (16, 6)], [False, True, False, False], 90, False, [True, False, True, False], 135, 'North', (15, 7))
Element 6: (2, (15, 7), ['.', '', '%', 'G'], [(13, 13), (14, 1), (16, 7)], [False, False, True, False], 88, False, [True, False, False, False], 164, 'West', (14, 7))
Element 7: (2, (14, 7), ['.', '.', '.', 'G'], [(13, 12), (13, 1), (15, 7)], [False, False, False, False], 86, False, [True, True, True, False], 193, 'North', (14, 8))
Element 8: (2, (14, 8), ['.', '', '.', '%'], [(13, 11), (12, 1), (15, 6)], [False, False, False, True], 84, False, [True, False, True, False], 222, 'North', (14, 9))
Element 9: (2, (14, 9), ['.', '', '.', '.'], [(13, 10), (11, 1), (14, 6)], [False, False, False, False], 82, False, [True, False, True, True], 261, 'East', (15, 9))
Element 10: (2, (15, 9), ['', '%', '.', '.'], [(14, 10), (12, 1), (13, 6)], [False, True, False, False], 80, False, [False, False, True, True], 290, 'East', (16, 9))
Element 11: (2, (16, 9), ['', '%', '%', '.'], [(15, 10), (13, 1), (13, 7)], [False, True, True, False], 78, False, [False, False, False, True], 319, 'East', (17, 9))
Element 12: (2, (17, 9), ['', '%', '.', '.'], [(15, 9), (14, 1), (13, 8)], [False, True, False, False], 76, False, [False, False, True, True], 338, 'East', (18, 9))
Element 13: (2, (18, 9), ['', '%', '%', '%'], [(16, 9), (15, 1), (13, 9)], [False, True, True, True], 74, False, [False, False, False, False], 357, 'West', (17, 9))
Element 14: (2, (17, 9), ['', '%', '.', ''], [(15, 9), (15, 2), (12, 9)], [False, True, False, False], 72, False, [False, False, True, False], 366, 'North', (17, 10))
Element 15: (2, (17, 10), ['%', '', '.', '%'], [(14, 9), (14, 2), (12, 10)], [True, False, False, True], 70, False, [False, False, True, False], 385, 'North', (17, 11))
Element 16: (2, (17, 11), ['.', '', '%', '.'], [(14, 8), (14, 1), (12, 11)], [False, False, True, False], 68, False, [True, False, False, True], 404, 'East', (18, 11))
Element 17: (2, (18, 11), ['', '%', '%', '%'], [(14, 7), (14, 2), (12, 12)], [False, True, True, True], 66, False, [False, False, False, False], 423, 'West', (17, 11))
Element 18: (2, (17, 11), ['.', '', '%', ''], [(15, 7), (13, 2), (12, 13)], [False, False, True, False], 64, False, [True, False, False, False], 432, 'West', (16, 11))
Element 19: (2, (16, 11), ['%', '%', '', ''], [(16, 7), (13, 1), (13, 13)], [True, True, False, False], 62, False, [False, False, False, False], 441, 'North', (16, 12))
Element 20: (2, (16, 12), ['', '', '', '%'], [(17, 7), (13, 2), (14, 13)], [False, False, False, True], 60, False, [False, False, False, False], 440, 'North', (16, 13))
Element 21: (2, (16, 13), ['G', '', '%', '%'], [(18, 7), (12, 2), (15, 13)], [False, False, True, True], 58, False, [False, False, False, False], 439, 'South', (16, 12))
Element 22: (2, (16, 12), ['', '', 'G', '%'], [(17, 7), (12, 3), (16, 13)], [False, False, False, True], 56, False, [False, False, False, False], 448, 'West', (15, 12))
Element 23: (2, (15, 12), ['', '%', '', 'G'], [(17, 6), (11, 3), (16, 12)], [False, True, False, False], 54, False, [False, False, False, False], 457, 'North', (15, 13))
Element 24: (2, (15, 13), ['', '', '%', ''], [(16, 6), (10, 3), (16, 11)], [False, False, True, False], 52, False, [False, False, False, False], 466, 'West', (14, 13))
Element 25: (2, (14, 13), ['', '', '%', ''], [(15, 6), (10, 2), (17, 11)], [False, False, True, False], 50, False, [False, False, False, False], 475, 'South', (14, 12))
Element 26: (2, (14, 12), ['', '%', '', ''], [(14, 6), (9, 2), (18, 11)], [False, True, False, False], 48, False, [False, False, False, False], 484, 'West', (13, 12))
Element 27: (2, (13, 12), ['', '', '', ''], [(13, 6), (9, 3), (17, 11)], [False, False, False, False], 46, False, [False, False, False, False], 493, 'North', (13, 13))
Element 28: (2, (13, 13), ['', '', '%', ''], [(13, 5), (9, 2), (17, 10)], [False, False, True, False], 44, False, [False, False, False, False], 502, 'West', (12, 13))
Element 29: (2, (12, 13), ['%', '', '%', ''], [(12, 5), (10, 2), (17, 9)], [True, False, True, False], 42, False, [False, False, False, False], 511, 'South', (12, 12))
Element 30: (2, (12, 12), ['.', '', '', ''], [(12, 6), (10, 3), (18, 9)], [False, False, False, False], 40, False, [True, False, False, False], 520, 'West', (11, 12))
Element 31: (2, (11, 12), ['.', '.', '%', ''], [(12, 7), (9, 3), (17, 9)], [False, False, True, False], 38, False, [True, True, False, False], 539, 'South', (11, 11))
Element 32: (2, (11, 11), ['.', '.', '', ''], [(12, 8), (10, 3), (16, 9)], [False, False, False, False], 36, False, [True, True, False, False], 558, 'South', (11, 10))
