Element 1: (3, (13, 10), ['.', '.', 'G', '.'], [(17, 7), (5, 12), (13, 11)], [False, False, False, False], 98, False, [True, True, False, True], 29, 'East', (14, 10))
Element 2: (3, (14, 10), ['', '.', '%', '.'], [(17, 6), (6, 12), (13, 12)], [False, False, True, False], 96, False, [False, True, False, True], 68, 'East', (15, 10))
Element 3: (3, (15, 10), ['', '.', '%', '%'], [(16, 6), (6, 11), (14, 12)], [False, False, True, True], 94, False, [False, True, False, False], 107, 'South', (15, 9))
Element 4: (3, (15, 9), ['.', '%', '', '.'], [(16, 7), (7, 11), (15, 12)], [False, True, False, False], 92, False, [True, False, False, True], 146, 'East', (16, 9))
Element 5: (3, (16, 9), ['', '%', '%', '.'], [(15, 7), (8, 11), (16, 12)], [False, True, True, False], 90, False, [False, False, False, True], 1175, 'East', (17, 9))
Element 6: (3, (17, 9), ['', '%', '.', '.'], [(15, 6), (9, 11), (16, 13)], [False, True, False, False], 88, False, [False, False, True, True], 1214, 'East', (18, 9))
Element 7: (3, (18, 9), ['', '%', '%', '%'], [(14, 6), (9, 12), (15, 13)], [False, True, True, True], 86, False, [False, False, False, False], 2243, 'West', (17, 9))
Element 8: (3, (17, 9), ['', '%', '.', ''], [(14, 7), (10, 12), (14, 13)], [False, True, False, False], 84, False, [False, False, True, False], 2272, 'North', (17, 10))
Element 9: (3, (17, 10), ['%', '', '.', '%'], [(14, 8), (11, 12), (13, 13)], [True, False, False, True], 82, False, [False, False, True, False], 2311, 'North', (17, 11))
Element 10: (3, (17, 11), ['.', '', '%', '.'], [(14, 9), (12, 12), (12, 13)], [False, False, True, False], 80, False, [True, False, False, True], 2350, 'East', (18, 11))
Element 11: (3, (18, 11), ['', '%', '%', '%'], [(13, 9), (13, 12), (12, 12)], [False, True, True, True], 78, False, [False, False, False, False], 2369, 'West', (17, 11))
Element 12: (3, (17, 11), ['.', '', '%', ''], [(13, 8), (14, 12), (11, 12)], [False, False, True, False], 76, False, [True, False, False, False], 2378, 'West', (16, 11))
Element 13: (3, (16, 11), ['%', '%', '', ''], [(13, 7), (15, 12), (11, 11)], [True, True, False, False], 74, False, [False, False, False, False], 2407, 'North', (16, 12))
Element 14: (3, (16, 12), ['', '', '', '%'], [(13, 6), (15, 13), (11, 10)], [False, False, False, True], 72, False, [False, False, False, False], 2426, 'North', (16, 13))
Element 15: (3, (16, 13), ['', '', '%', '%'], [(13, 5), (14, 13), (12, 10)], [False, False, True, True], 70, False, [False, False, False, False], 2445, 'West', (15, 13))
Element 16: (3, (15, 13), ['', '', '%', ''], [(12, 5), (13, 13), (12, 9)], [False, False, True, False], 68, False, [False, False, False, False], 2464, 'South', (15, 12))
Element 17: (3, (15, 12), ['', '%', '', ''], [(12, 6), (12, 13), (12, 8)], [False, True, False, False], 66, False, [False, False, False, False], 2483, 'West', (14, 12))
Element 18: (3, (14, 12), ['', '%', '', ''], [(12, 7), (13, 13), (13, 8)], [False, True, False, False], 64, False, [False, False, False, False], 2492, 'North', (14, 13))
Element 19: (3, (14, 13), ['', '', '%', ''], [(11, 7), (12, 13), (14, 8)], [False, False, True, False], 62, False, [False, False, False, False], 2501, 'West', (13, 13))
Element 20: (3, (13, 13), ['', '', '%', ''], [(11, 6), (13, 13), (14, 9)], [False, False, True, False], 60, False, [False, False, False, False], 2510, 'South', (13, 12))
Element 21: (3, (13, 12), ['', '', '', ''], [(11, 5), (13, 12), (15, 9)], [False, False, False, False], 58, False, [False, False, False, False], 2519, 'South', (13, 11))
Element 22: (3, (13, 11), ['', '', '', '%'], [(10, 5), (14, 12), (16, 9)], [False, False, False, True], 56, False, [False, False, False, False], 2528, 'West', (12, 11))
Element 23: (3, (12, 11), ['', '', '', ''], [(10, 6), (14, 13), (17, 9)], [False, False, False, False], 54, False, [False, False, False, False], 2537, 'North', (12, 12))
Element 24: (3, (12, 12), ['', '', '', ''], [(10, 7), (14, 12), (18, 9)], [False, False, False, False], 52, False, [False, False, False, False], 2546, 'North', (12, 13))
Element 25: (3, (12, 13), ['%', '', '%', ''], [(10, 8), (13, 12), (17, 9)], [True, False, True, False], 50, False, [False, False, False, False], 3545, 'South', (12, 12))
Element 26: (3, (12, 12), ['', '', '', ''], [(9, 8), (13, 13), (17, 10)], [False, False, False, False], 48, False, [False, False, False, False], 3554, 'West', (11, 12))
Element 27: (3, (11, 12), ['', '', '%', ''], [(9, 7), (13, 12), (17, 11)], [False, False, True, False], 46, False, [False, False, False, False], 3563, 'South', (11, 11))
Element 28: (3, (11, 11), ['.', '', '', ''], [(9, 6), (13, 11), (18, 11)], [False, False, False, False], 44, False, [True, False, False, False], 3572, 'West', (10, 11))
Element 29: (3, (10, 11), ['', '.', '', ''], [(9, 5), (13, 10), (17, 11)], [False, False, False, False], 42, False, [False, True, False, False], 3591, 'South', (10, 10))
Element 30: (3, (10, 10), ['.', '%', '', ''], [(8, 5), (14, 10), (16, 11)], [False, True, False, False], 40, False, [True, False, False, False], 3610, 'West', (9, 10))
Element 31: (3, (9, 10), ['.', '%', '', ''], [(8, 6), (15, 10), (17, 11)], [False, True, False, False], 38, False, [True, False, False, False], 3629, 'West', (8, 10))
Element 32: (3, (8, 10), ['.', '%', '', ''], [(7, 6), (15, 9), (17, 10)], [False, True, False, False], 36, False, [True, False, False, False], 3648, 'West', (7, 10))
Element 33: (3, (7, 10), ['.', '%', '', ''], [(7, 5), (16, 9), (17, 9)], [False, True, False, False], 34, False, [True, False, False, False], 3667, 'West', (6, 10))
Element 34: (3, (6, 10), ['.', '%', '', ''], [(6, 5), (15, 9), (16, 9)], [False, True, False, False], 32, False, [True, False, False, False], 3686, 'West', (5, 10))
Element 35: (3, (5, 10), ['.', '.', '.', ''], [(6, 4), (14, 9), (15, 9)], [False, False, False, False], 30, False, [True, True, True, False], 4695, 'North', (5, 11))
Element 36: (3, (5, 11), ['.', '', '', ''], [(6, 3), (14, 8), (15, 10)], [False, False, False, False], 28, False, [True, False, False, False], 4714, 'West', (4, 11))
Element 37: (3, (4, 11), ['.', '.', '%', ''], [(6, 2), (14, 7), (14, 10)], [False, False, True, False], 26, False, [True, True, False, False], 4733, 'South', (4, 10))
Element 38: (3, (4, 10), ['.', '.', '', ''], [(6, 1), (15, 7), (13, 10)], [False, False, False, False], 24, False, [True, True, False, False], 4752, 'South', (4, 9))
Element 39: (3, (4, 9), ['.', '.', '', '.'], [(7, 1), (16, 7), (13, 9)], [False, False, False, False], 22, False, [True, True, False, True], 4771, 'East', (5, 9))
Element 40: (3, (5, 9), ['', '.', '', '%'], [(8, 1), (17, 7), (13, 10)], [False, False, False, True], 20, False, [False, True, False, False], 4790, 'South', (5, 8))
Element 41: (3, (5, 8), ['.', '%', '', 'F'], [(7, 1), (18, 7), (14, 10)], [False, True, False, False], 18, False, [True, False, False, False], 4799, 'East', (6, 8))
Element 42: #1#
