Element 1: (3, (8, 10), ['.', '%', 'F', '.'], [(17, 7), (3, 13), (4, 10)], [False, True, False, False], 98, False, [True, False, False, True], 29, 'North', (8, 11))
Element 2: (3, (8, 11), ['.', '', '%', '.'], [(18, 7), (4, 13), (5, 10)], [False, False, True, False], 96, False, [True, False, False, True], 1058, 'East', (9, 11))
Element 3: (3, (9, 11), ['', '.', 'F', '.'], [(17, 7), (5, 13), (6, 10)], [False, False, False, False], 94, False, [False, True, False, True], 1087, 'North', (9, 12))
Element 4: (3, (9, 12), ['%', '', '%', '.'], [(16, 7), (5, 12), (7, 10)], [True, False, True, False], 92, False, [False, False, False, True], 2116, 'East', (10, 12))
Element 5: (3, (10, 12), ['', '.', '%', '.'], [(16, 6), (6, 12), (7, 11)], [False, False, True, False], 90, False, [False, True, False, True], 2155, 'East', (11, 12))
Element 6: (3, (11, 12), ['', '.', '%', '.'], [(15, 6), (6, 11), (8, 11)], [False, False, True, False], 88, False, [False, True, False, True], 2184, 'East', (12, 12))
Element 7: (3, (12, 12), ['', '.', '.', '.'], [(15, 7), (5, 11), (9, 11)], [False, False, False, False], 86, False, [False, True, True, True], 2213, 'East', (13, 12))
Element 8: (3, (13, 12), ['', '.', '.', '.'], [(14, 7), (4, 11), (10, 11)], [False, False, False, False], 84, False, [False, True, True, True], 2252, 'East', (14, 12))
Element 9: (3, (14, 12), ['', '%', '.', '.'], [(14, 8), (3, 11), (11, 11)], [False, True, False, False], 82, False, [False, False, True, True], 2291, 'East', (15, 12))
Element 10: (3, (15, 12), ['', '%', '.', '.'], [(14, 9), (2, 11), (12, 11)], [False, True, False, False], 80, False, [False, False, True, True], 2330, 'East', (16, 12))
Element 11: (3, (16, 12), ['', '.', '.', '%'], [(15, 9), (2, 10), (13, 11)], [False, False, False, True], 78, False, [False, True, True, False], 2369, 'North', (16, 13))
Element 12: (3, (16, 13), ['.', '', '%', '%'], [(16, 9), (2, 9), (13, 10)], [False, False, True, True], 76, False, [True, False, False, False], 2408, 'West', (15, 13))
Element 13: (3, (15, 13), ['.', '', '%', ''], [(17, 9), (3, 9), (14, 10)], [False, False, True, False], 74, False, [True, False, False, False], 2447, 'West', (14, 13))
Element 14: (3, (14, 13), ['.', '', '%', ''], [(18, 9), (4, 9), (15, 10)], [False, False, True, False], 72, False, [True, False, False, False], 2486, 'West', (13, 13))
Element 15: (3, (13, 13), ['.', '', '%', ''], [(17, 9), (5, 9), (15, 9)], [False, False, True, False], 70, False, [True, False, False, False], 2505, 'West', (12, 13))
Element 16: (3, (12, 13), ['%', '', '%', ''], [(17, 10), (5, 8), (16, 9)], [True, False, True, False], 68, False, [False, False, False, False], 2534, 'East', (13, 13))
Element 17: (3, (13, 13), ['', '', '%', ''], [(17, 11), (6, 8), (17, 9)], [False, False, True, False], 66, False, [False, False, False, False], 3543, 'East', (14, 13))
Element 18: (3, (14, 13), ['', '', '%', ''], [(18, 11), (7, 8), (18, 9)], [False, False, True, False], 64, False, [False, False, False, False], 3562, 'East', (15, 13))
Element 19: (3, (15, 13), ['', '', '%', ''], [(17, 11), (8, 8), (17, 9)], [False, False, True, False], 62, False, [False, False, False, False], 3571, 'East', (16, 13))
Element 20: (3, (16, 13), ['', '', '%', '%'], [(16, 11), (9, 8), (17, 10)], [False, False, True, True], 60, False, [False, False, False, False], 3590, 'South', (16, 12))
Element 21: (3, (16, 12), ['', '', '', '%'], [(17, 11), (10, 8), (17, 9)], [False, False, False, True], 58, False, [False, False, False, False], 4589, 'South', (16, 11))
Element 22: (3, (16, 11), ['%', '%', '', ''], [(17, 10), (10, 7), (16, 9)], [True, True, False, False], 56, False, [False, False, False, False], 4598, 'East', (17, 11))
Element 23: (3, (17, 11), ['', '', '%', ''], [(17, 9), (11, 7), (15, 9)], [False, False, True, False], 54, False, [False, False, False, False], 4607, 'East', (18, 11))
Element 24: (3, (18, 11), ['', '%', '%', '%'], [(16, 9), (12, 7), (14, 9)], [False, True, True, True], 52, False, [False, False, False, False], 4616, 'West', (17, 11))
Element 25: (3, (17, 11), ['', '', '%', ''], [(15, 9), (13, 7), (13, 9)], [False, False, True, False], 50, False, [False, False, False, False], 4635, 'South', (17, 10))
Element 26: (3, (17, 10), ['%', '', '', '%'], [(15, 10), (13, 8), (12, 9)], [True, False, False, True], 48, False, [False, False, False, False], 4654, 'South', (17, 9))
Element 27: (3, (17, 9), ['', '%', '', ''], [(14, 10), (12, 8), (12, 10)], [False, True, False, False], 46, False, [False, False, False, False], 4673, 'East', (18, 9))
Element 28: (3, (18, 9), ['', '%', '%', '%'], [(13, 10), (12, 9), (11, 10)], [False, True, True, True], 44, False, [False, False, False, False], 4682, 'West', (17, 9))
Element 29: (3, (17, 9), ['', '%', '', ''], [(13, 11), (11, 9), (10, 10)], [False, True, False, False], 42, False, [False, False, False, False], 4701, 'West', (16, 9))
Element 30: (3, (16, 9), ['', '%', '%', ''], [(13, 12), (11, 10), (9, 10)], [False, True, True, False], 40, False, [False, False, False, False], 4710, 'West', (15, 9))
Element 31: (3, (15, 9), ['', '%', '', ''], [(14, 12), (12, 10), (8, 10)], [False, True, False, False], 38, False, [False, False, False, False], 4709, 'North', (15, 10))
Element 32: (3, (15, 10), ['', '', '%', '%'], [(15, 12), (13, 10), (9, 10)], [False, False, True, True], 36, False, [False, False, False, False], 4708, 'West', (14, 10))
Element 33: (3, (14, 10), ['', '', '%', ''], [(16, 12), (13, 11), (10, 10)], [False, False, True, False], 34, False, [False, False, False, False], 4707, 'South', (14, 9))
Element 34: (3, (14, 9), ['', '', '', ''], [(16, 13), (13, 12), (11, 10)], [False, False, False, False], 32, False, [False, False, False, False], 4706, 'South', (14, 8))
Element 35: (3, (14, 8), ['', '', '', '%'], [(15, 13), (14, 12), (12, 10)], [False, False, False, True], 30, False, [False, False, False, False], 4705, 'South', (14, 7))
Element 36: (3, (14, 7), ['', '.', '', ''], [(14, 13), (15, 12), (12, 9)], [False, False, False, False], 28, False, [False, True, False, False], 4704, 'South', (14, 6))
Element 37: (3, (14, 6), ['.', '%', '', ''], [(13, 13), (16, 12), (11, 9)], [False, True, False, False], 26, False, [True, False, False, False], 4713, 'West', (13, 6))
Element 38: (3, (13, 6), ['.', '.', '', ''], [(12, 13), (16, 13), (12, 9)], [False, False, False, False], 24, False, [True, True, False, False], 4722, 'South', (13, 5))
Element 39: (3, (13, 5), ['.', '%', '', '%'], [(12, 12), (15, 13), (13, 9)], [False, True, False, True], 22, False, [True, False, False, False], 4731, 'West', (12, 5))
Element 40: (3, (12, 5), ['.', '%', '.', ''], [(12, 11), (14, 13), (14, 9)], [False, True, False, False], 20, False, [True, False, True, False], 4740, 'North', (12, 6))
Element 41: (3, (12, 6), ['.', '', '', ''], [(12, 10), (13, 13), (14, 8)], [False, False, False, False], 18, False, [True, False, False, False], 4749, 'West', (11, 6))
Element 42: (3, (11, 6), ['.', '.', '', ''], [(12, 9), (12, 13), (14, 7)], [False, False, False, False], 16, False, [True, True, False, False], 4758, 'South', (11, 5))
Element 43: (3, (11, 5), ['.', '%', '', ''], [(13, 9), (12, 12), (15, 7)], [False, True, False, False], 14, False, [True, False, False, False], 4767, 'West', (10, 5))
Element 44: (3, (10, 5), ['.', '%', '.', ''], [(13, 8), (12, 11), (16, 7)], [False, True, False, False], 12, False, [True, False, True, False], 4776, 'North', (10, 6))
