Element 39: (3, (12, 13), ['%', '', '%', ''], [(16, 13), (12, 1), (18, 9)], [True, False, True, False], 22, False, [False, False, False, False], 4791, 'South', (12, 12))
Element 40: (3, (12, 12), ['', '', '', ''], [(15, 13), (12, 2), (17, 9)], [False, False, False, False], 20, False, [False, False, False, False], 4790, 'West', (11, 12))
Element 41: (3, (11, 12), ['', '', '%', ''], [(14, 13), (12, 1), (16, 9)], [False, False, True, False], 18, False, [False, False, False, False], 4789, 'West', (10, 12))
Element 42: (3, (10, 12), ['', '', '%', ''], [(13, 13), (11, 1), (15, 9)], [False, False, True, False], 16, False, [False, False, False, False], 4788, 'West', (9, 12))
Element 43: (3, (9, 12), ['%', '', '%', ''], [(12, 13), (11, 2), (15, 10)], [True, False, True, False], 14, False, [False, False, False, False], 4787, 'East', (10, 12))
Element 44: (3, (10, 12), ['', '', '%', ''], [(13, 13), (11, 1), (14, 10)], [False, False, True, False], 12, False, [False, False, False, False], 4786, 'East', (11, 12))
Element 45: (3, (11, 12), ['', '', '%', ''], [(14, 13), (11, 1), (14, 9)], [False, False, True, False], 10, False, [False, False, False, False], 4785, 'East', (12, 12))
Element 46: (3, (12, 12), ['', '', '', ''], [(15, 13), (12, 1), (14, 8)], [False, False, False, False], 8, False, [False, False, False, False], 4784, 'South', (12, 11))
Element 47: (3, (12, 11), ['', '', '', ''], [(16, 13), (13, 1), (14, 7)], [False, False, False, False], 6, False, [False, False, False, False], 4783, 'South', (12, 10))
Element 48: (3, (12, 10), ['', '', '', ''], [(16, 12), (14, 1), (15, 7)], [False, False, False, False], 4, False, [False, False, False, False], 4782, 'North', (12, 11))
Element 49: (3, (12, 11), ['', '', '', ''], [(16, 11), (15, 1), (16, 7)], [False, False, False, False], 2, False, [False, False, False, False], 4781, 'West', (11, 11))
Element 50: (3, (11, 11), ['', '', '', ''], [(16, 11), (15, 1), (16, 7)], [False, False, False, False], 0, False, [False, False, False, False], 4780, 'Stop', (11, 11))
Element 51: #0#
