Element 38: (0, (16, 12), ['', '', '', '%'], [(9, 7), (13, 2), (16, 7)], [False, False, False, True], 24, False, [False, False, False, False], 4703, 'North', (16, 13))
Element 39: (0, (16, 13), ['', '', '%', '%'], [(9, 6), (12, 2), (17, 7)], [False, False, True, True], 22, False, [False, False, False, False], 4712, 'West', (15, 13))
Element 40: (0, (15, 13), ['', '', '%', ''], [(10, 6), (12, 3), (18, 7)], [False, False, True, False], 20, False, [False, False, False, False], 4721, 'South', (15, 12))
Element 41: (0, (15, 12), ['', '%', '', ''], [(10, 5), (12, 2), (17, 7)], [False, True, False, False], 18, False, [False, False, False, False], 4730, 'North', (15, 13))
Element 42: (0, (15, 13), ['', '', '%', ''], [(9, 5), (12, 1), (17, 6)], [False, False, True, False], 16, False, [False, False, False, False], 4739, 'West', (14, 13))
Element 43: (0, (14, 13), ['', '', '%', ''], [(8, 5), (12, 2), (16, 6)], [False, False, True, False], 14, False, [False, False, False, False], 4748, 'South', (14, 12))
Element 44: (0, (14, 12), ['', '%', '', ''], [(8, 6), (11, 2), (15, 6)], [False, True, False, False], 12, False, [False, False, False, False], 4757, 'East', (15, 12))
Element 45: (0, (15, 12), ['', '%', '', ''], [(7, 6), (12, 2), (14, 6)], [False, True, False, False], 10, False, [False, False, False, False], 4766, 'West', (14, 12))
Element 46: (0, (14, 12), ['', '%', '', ''], [(7, 5), (12, 2), (13, 6)], [False, True, False, False], 8, False, [False, False, False, False], 4775, 'West', (13, 12))
Element 47: (0, (13, 12), ['', '.', '', ''], [(6, 5), (13, 2), (13, 7)], [False, False, False, False], 6, False, [False, True, False, False], 4784, 'North', (13, 13))
Element 48: #1#
