Element 13: (1, (7, 1), ['', '%', '%', ''], [(11, 6), (11, 12), (11, 1)], [False, True, True, False], 74, False, [False, False, False, False], 3417, 'West', (6, 1))
Element 14: (1, (6, 1), ['.', '%', '', ''], [(12, 6), (12, 12), (11, 2)], [False, True, False, False], 72, False, [True, False, False, False], 3446, 'West', (5, 1))
Element 15: (1, (5, 1), ['.', '%', '.', ''], [(13, 6), (13, 12), (10, 2)], [False, True, False, False], 70, False, [True, False, True, False], 3485, 'North', (5, 2))
Element 16: (1, (5, 2), ['.', '', '.', ''], [(14, 6), (14, 12), (9, 2)], [False, False, False, False], 68, False, [True, False, True, False], 3524, 'North', (5, 3))
Element 17: (1, (5, 3), ['.', '', '%', ''], [(15, 6), (15, 12), (10, 2)], [False, False, True, False], 66, False, [True, False, False, False], 3553, 'West', (4, 3))
Element 18: (1, (4, 3), ['.', '.', '%', ''], [(16, 6), (16, 12), (11, 2)], [False, False, True, False], 64, False, [True, True, False, False], 3582, 'South', (4, 2))
Element 19: (1, (4, 2), ['.', '.', '', ''], [(17, 6), (16, 13), (11, 1)], [False, False, False, False], 62, False, [True, True, False, False], 3611, 'South', (4, 1))
Element 20: (1, (4, 1), ['.', '%', '', ''], [(17, 7), (15, 13), (12, 1)], [False, True, False, False], 60, False, [True, False, False, False], 3640, 'West', (3, 1))
Element 21: (1, (3, 1), ['.', '%', '.', ''], [(18, 7), (14, 13), (13, 1)], [False, True, False, False], 58, False, [True, False, True, False], 3669, 'North', (3, 2))
Element 22: (1, (3, 2), ['.', '', '.', ''], [(17, 7), (13, 13), (14, 1)], [False, False, False, False], 56, False, [True, False, True, False], 3688, 'North', (3, 3))
Element 23: (1, (3, 3), ['.', '', '', ''], [(16, 7), (12, 13), (15, 1)], [False, False, False, False], 54, False, [True, False, False, False], 3717, 'West', (2, 3))
Element 24: (1, (2, 3), ['%', '.', '', ''], [(15, 7), (13, 13), (15, 2)], [True, False, False, False], 52, False, [False, True, False, False], 3736, 'South', (2, 2))
Element 25: (1, (2, 2), ['.', '.', '', ''], [(14, 7), (14, 13), (14, 2)], [False, False, False, False], 50, False, [True, True, False, False], 3755, 'South', (2, 1))
Element 26: (1, (2, 1), ['.', '%', '', ''], [(14, 8), (15, 13), (14, 1)], [False, True, False, False], 48, False, [True, False, False, False], 3774, 'West', (1, 1))
Element 27: (1, (1, 1), ['%', '%', '.', ''], [(14, 9), (16, 13), (14, 2)], [True, True, False, False], 46, False, [False, False, True, False], 3793, 'North', (1, 2))
Element 28: (1, (1, 2), ['%', '', '%', ''], [(15, 9), (16, 12), (13, 2)], [True, False, True, False], 44, False, [False, False, False, False], 3812, 'South', (1, 1))
Element 29: (1, (1, 1), ['%', '%', '', ''], [(16, 9), (16, 11), (13, 1)], [True, True, False, False], 42, False, [False, False, False, False], 3831, 'East', (2, 1))
Element 30: (1, (2, 1), ['', '%', '', ''], [(17, 9), (17, 11), (13, 2)], [False, True, False, False], 40, False, [False, False, False, False], 3850, 'North', (2, 2))
Element 31: (1, (2, 2), ['', '', '', ''], [(18, 9), (18, 11), (12, 2)], [False, False, False, False], 38, False, [False, False, False, False], 3869, 'West', (1, 2))
Element 32: (1, (1, 2), ['%', '', '%', ''], [(17, 9), (17, 11), (12, 1)], [True, False, True, False], 36, False, [False, False, False, False], 3868, 'East', (2, 2))
