Element 1: (0, (6, 10), ['G', '%', '.', '.'], [(1, 10), (5, 10), (10, 12)], [False, True, False, False], 98, False, [False, False, True, True], 0, 'East', (7, 10))
Element 2: (0, (7, 10), ['', '%', '.', '.'], [(2, 10), (5, 11), (9, 12)], [False, True, False, False], 96, False, [False, False, True, True], 1029, 'East', (8, 10))
Element 3: (0, (8, 10), ['', '%', 'F', '.'], [(3, 10), (6, 11), (9, 11)], [False, True, False, False], 94, False, [False, False, False, True], 1068, 'North', (8, 11))
Element 4: (0, (8, 11), ['G', '', '%', ''], [(4, 10), (7, 11), (10, 11)], [False, False, True, False], 92, False, [False, False, False, False], 2097, 'East', (9, 11))
Element 5: (0, (9, 11), ['G', '.', '', ''], [(4, 11), (8, 11), (11, 11)], [False, False, False, False], 90, False, [False, True, False, False], 2116, 'South', (9, 10))
Element 6: (0, (9, 10), ['', '%', 'G', '.'], [(3, 11), (9, 11), (12, 11)], [False, True, False, False], 88, False, [False, False, False, True], 2145, 'East', (10, 10))
Element 7: (0, (10, 10), ['', '%', 'G', '.'], [(2, 11), (10, 11), (13, 11)], [False, True, False, False], 86, False, [False, False, False, True], 2174, 'East', (11, 10))
Element 8: (0, (11, 10), ['', '.', 'G', '.'], [(3, 11), (11, 11), (13, 12)], [False, False, False, False], 84, False, [False, True, False, True], 2193, 'East', (12, 10))
Element 9: (0, (12, 10), ['', '.', '', '.'], [(4, 11), (11, 12), (14, 12)], [False, False, False, False], 82, False, [False, True, False, True], 2222, 'East', (13, 10))
Element 10: (0, (13, 10), ['', '.', '', '.'], [(5, 11), (12, 12), (15, 12)], [False, False, False, False], 80, False, [False, True, False, True], 2251, 'East', (14, 10))
Element 11: (0, (14, 10), ['', '.', '%', '.'], [(5, 12), (12, 13), (16, 12)], [False, False, True, False], 78, False, [False, True, False, True], 2290, 'East', (15, 10))
Element 12: (0, (15, 10), ['', '.', '%', '%'], [(6, 12), (13, 13), (16, 13)], [False, False, True, True], 76, False, [False, True, False, False], 2329, 'South', (15, 9))
Element 13: (0, (15, 9), ['.', '%', '', '.'], [(6, 11), (14, 13), (15, 13)], [False, True, False, False], 74, False, [True, False, False, True], 2358, 'East', (16, 9))
Element 14: (0, (16, 9), ['', '%', '%', '.'], [(7, 11), (14, 12), (14, 13)], [False, True, True, False], 72, False, [False, False, False, True], 2367, 'East', (17, 9))
Element 15: (0, (17, 9), ['', '%', '.', '.'], [(8, 11), (15, 12), (13, 13)], [False, True, False, False], 70, False, [False, False, True, True], 2376, 'East', (18, 9))
Element 16: (0, (18, 9), ['', '%', '%', '%'], [(9, 11), (16, 12), (12, 13)], [False, True, True, True], 68, False, [False, False, False, False], 2385, 'West', (17, 9))
Element 17: (0, (17, 9), ['', '%', '.', ''], [(10, 11), (16, 11), (12, 12)], [False, True, False, False], 66, False, [False, False, True, False], 2394, 'North', (17, 10))
Element 18: (0, (17, 10), ['%', '', 'G', '%'], [(11, 11), (17, 11), (11, 12)], [True, False, False, True], 64, False, [False, False, False, False], 2413, 'South', (17, 9))
Element 19: (0, (17, 9), ['', '%', '', ''], [(12, 11), (18, 11), (12, 12)], [False, True, False, False], 62, False, [False, False, False, False], 2422, 'West', (16, 9))
Element 20: (0, (16, 9), ['', '%', '%', ''], [(13, 11), (17, 11), (12, 13)], [False, True, True, False], 60, False, [False, False, False, False], 2421, 'West', (15, 9))
Element 21: (0, (15, 9), ['.', '%', '', ''], [(13, 12), (17, 10), (13, 13)], [False, True, False, False], 58, False, [True, False, False, False], 2420, 'West', (14, 9))
Element 22: (0, (14, 9), ['.', '.', '', ''], [(14, 12), (17, 9), (14, 13)], [False, False, False, False], 56, False, [True, True, False, False], 2429, 'South', (14, 8))
Element 23: (0, (14, 8), ['.', '.', '', '%'], [(15, 12), (18, 9), (15, 13)], [False, False, False, True], 54, False, [True, True, False, False], 2438, 'South', (14, 7))
Element 24: (0, (14, 7), ['.', '.', '', '.'], [(16, 12), (17, 9), (16, 13)], [False, False, False, False], 52, False, [True, True, False, True], 2447, 'East', (15, 7))
Element 25: (0, (15, 7), ['', '.', '%', '.'], [(16, 11), (16, 9), (16, 12)], [False, False, True, False], 50, False, [False, True, False, True], 2456, 'East', (16, 7))
Element 26: (0, (16, 7), ['', '.', '%', '.'], [(17, 11), (15, 9), (16, 11)], [False, False, True, False], 48, False, [False, True, False, True], 2465, 'East', (17, 7))
Element 27: (0, (17, 7), ['', '.', '%', '.'], [(18, 11), (15, 10), (17, 11)], [False, False, True, False], 46, False, [False, True, False, True], 2474, 'East', (18, 7))
Element 28: (0, (18, 7), ['', '%', '%', '%'], [(18, 11), (14, 10), (17, 10)], [False, True, True, True], 44, False, [False, False, False, False], 2483, 'West', (17, 7))
Element 29: (0, (17, 7), ['', '.', '%', ''], [(17, 11), (14, 9), (17, 9)], [False, False, True, False], 42, False, [False, True, False, False], 2482, 'South', (17, 6))
Element 30: (0, (17, 6), ['.', '%', '', '%'], [(17, 11), (13, 9), (18, 9)], [False, True, False, True], 40, False, [True, False, False, False], 2501, 'West', (16, 6))
Element 31: (0, (16, 6), ['.', '%', '', ''], [(16, 11), (13, 8), (17, 9)], [False, True, False, False], 38, False, [True, False, False, False], 2520, 'West', (15, 6))
Element 32: (0, (15, 6), ['.', '%', '', ''], [(16, 12), (13, 7), (16, 9)], [False, True, False, False], 36, False, [True, False, False, False], 2539, 'West', (14, 6))
Element 33: (0, (14, 6), ['G', '%', '', ''], [(15, 12), (13, 6), (15, 9)], [False, True, False, False], 34, False, [False, False, False, False], 2558, 'East', (15, 6))
Element 34: (0, (15, 6), ['', '%', '', ''], [(14, 12), (13, 5), (15, 10)], [False, True, False, False], 32, False, [False, False, False, False], 2567, 'East', (16, 6))
Element 35: (0, (16, 6), ['', '%', '', ''], [(13, 12), (12, 5), (14, 10)], [False, True, False, False], 30, False, [False, False, False, False], 2576, 'East', (17, 6))
Element 36: (0, (17, 6), ['', '%', '', '%'], [(12, 12), (12, 6), (14, 9)], [False, True, False, True], 28, False, [False, False, False, False], 2585, 'North', (17, 7))
Element 37: (0, (17, 7), ['', '', '%', ''], [(12, 13), (12, 7), (14, 8)], [False, False, True, False], 26, False, [False, False, False, False], 2594, 'West', (16, 7))
Element 38: (0, (16, 7), ['', '', '%', ''], [(13, 13), (12, 8), (14, 7)], [False, False, True, False], 24, False, [False, False, False, False], 2603, 'South', (16, 6))
Element 39: (0, (16, 6), ['', '%', '', ''], [(14, 13), (12, 9), (15, 7)], [False, True, False, False], 22, False, [False, False, False, False], 2612, 'North', (16, 7))
Element 40: (0, (16, 7), ['', '', '%', ''], [(15, 13), (11, 9), (15, 6)], [False, False, True, False], 20, False, [False, False, False, False], 2621, 'West', (15, 7))
Element 41: (0, (15, 7), ['', '', '%', ''], [(16, 13), (11, 10), (16, 6)], [False, False, True, False], 18, False, [False, False, False, False], 2620, 'South', (15, 6))
Element 42: (0, (15, 6), ['', '%', '', ''], [(15, 13), (12, 10), (17, 6)], [False, True, False, False], 16, False, [False, False, False, False], 2619, 'North', (15, 7))
Element 43: (0, (15, 7), ['', '', '%', ''], [(14, 13), (13, 10), (17, 7)], [False, False, True, False], 14, False, [False, False, False, False], 2618, 'West', (14, 7))
Element 44: (0, (14, 7), ['', '', '', ''], [(13, 13), (13, 11), (18, 7)], [False, False, False, False], 12, False, [False, False, False, False], 2617, 'South', (14, 6))
Element 45: (0, (14, 6), ['', '%', '', ''], [(12, 13), (13, 12), (17, 7)], [False, True, False, False], 10, False, [False, False, False, False], 2616, 'North', (14, 7))
Element 46: (0, (14, 7), ['', '', '', ''], [(12, 12), (13, 11), (16, 7)], [False, False, False, False], 8, False, [False, False, False, False], 2615, 'West', (13, 7))
Element 47: (0, (13, 7), ['', '', '', ''], [(11, 12), (12, 11), (17, 7)], [False, False, False, False], 6, False, [False, False, False, False], 2614, 'North', (13, 8))
Element 48: (0, (13, 8), ['', '', '', ''], [(10, 12), (13, 11), (17, 6)], [False, False, False, False], 4, False, [False, False, False, False], 2613, 'North', (13, 9))
Element 49: (0, (13, 9), ['', '', 'G', ''], [(9, 12), (13, 10), (16, 6)], [False, False, False, False], 2, False, [False, False, False, False], 2612, 'West', (12, 9))
Element 50: (0, (12, 9), ['', '', 'G', ''], [(10, 12), (12, 10), (16, 7)], [False, False, False, False], 0, False, [False, False, False, False], 2611, 'Stop', (12, 9))
Element 51: #0#
