Element 39: (1, (17, 7), ['', '', '%', ''], [(13, 13), (14, 12), (11, 6)], [False, False, True, False], 22, False, [False, False, False, False], 3641, 'East', (18, 7))
Element 40: (1, (18, 7), ['', '%', '%', '%'], [(13, 12), (15, 12), (11, 5)], [False, True, True, True], 20, False, [False, False, False, False], 3640, 'West', (17, 7))
Element 41: (1, (17, 7), ['', '', '%', ''], [(13, 11), (16, 12), (10, 5)], [False, False, True, False], 18, False, [False, False, False, False], 3639, 'South', (17, 6))
Element 42: (1, (17, 6), ['', '%', '', '%'], [(12, 11), (16, 13), (10, 6)], [False, True, False, True], 16, False, [False, False, False, False], 3638, 'West', (16, 6))
Element 43: (1, (16, 6), ['', '%', '', ''], [(12, 12), (15, 13), (10, 5)], [False, True, False, False], 14, False, [False, False, False, False], 3637, 'West', (15, 6))
Element 44: (1, (15, 6), ['', '%', '', ''], [(12, 13), (14, 13), (9, 5)], [False, True, False, False], 12, False, [False, False, False, False], 3636, 'West', (14, 6))
Element 45: (1, (14, 6), ['', '%', '', ''], [(12, 12), (13, 13), (8, 5)], [False, True, False, False], 10, False, [False, False, False, False], 3645, 'West', (13, 6))
Element 46: (1, (13, 6), ['', '', '', ''], [(11, 12), (12, 13), (8, 6)], [False, False, False, False], 8, False, [False, False, False, False], 3654, 'North', (13, 7))
Element 47: (1, (13, 7), ['', '', '', ''], [(11, 11), (13, 13), (7, 6)], [False, False, False, False], 6, False, [False, False, False, False], 3663, 'North', (13, 8))
Element 48: (1, (13, 8), ['', '', '', ''], [(10, 11), (14, 13), (7, 5)], [False, False, False, False], 4, False, [False, False, False, False], 3672, 'North', (13, 9))
Element 49: (1, (13, 9), ['', '', '', ''], [(10, 12), (15, 13), (6, 5)], [False, False, False, False], 2, False, [False, False, False, False], 3681, 'North', (13, 10))
Element 50: (1, (13, 10), ['', '', '', ''], [(10, 12), (16, 13), (6, 4)], [False, False, False, False], 0, False, [False, False, False, False], 4680, 'Stop', (13, 10))
Element 51: #0#
