Element 1: (0, (6, 10), ['G', '%', '.', '.'], [(1, 10), (5, 10), (5, 12)], [False, True, False, False], 98, False, [False, False, True, True], 0, 'East', (7, 10))
Element 2: (0, (7, 10), ['', '%', '.', '.'], [(2, 10), (5, 11), (6, 12)], [False, True, False, False], 96, False, [False, False, True, True], 39, 'East', (8, 10))
Element 3: (0, (8, 10), ['', '%', 'F', '.'], [(3, 10), (6, 11), (5, 12)], [False, True, False, False], 94, False, [False, False, False, True], 68, 'North', (8, 11))
Element 4: (0, (8, 11), ['G', '', '%', '.'], [(4, 10), (7, 11), (5, 13)], [False, False, True, False], 92, False, [False, False, False, True], 1097, 'East', (9, 11))
Element 5: (0, (9, 11), ['G', '.', 'F', '.'], [(4, 11), (8, 11), (4, 13)], [False, False, False, False], 90, False, [False, True, False, True], 1126, 'North', (9, 12))
Element 6: (0, (9, 12), ['%', 'G', '%', '.'], [(3, 11), (9, 11), (3, 13)], [True, False, True, False], 88, False, [False, False, False, True], 2145, 'East', (10, 12))
Element 7: (0, (10, 12), ['', 'G', '%', '.'], [(2, 11), (10, 11), (2, 13)], [False, False, True, False], 86, False, [False, False, False, True], 2184, 'East', (11, 12))
Element 8: (0, (11, 12), ['', 'G', '%', '.'], [(3, 11), (11, 11), (1, 13)], [False, False, True, False], 84, False, [False, False, False, True], 2213, 'East', (12, 12))
Element 9: (0, (12, 12), ['', 'G', '.', '.'], [(4, 11), (12, 11), (2, 13)], [False, False, False, False], 82, False, [False, False, True, True], 2232, 'East', (13, 12))
Element 10: (0, (13, 12), ['', 'G', '.', '.'], [(5, 11), (13, 11), (3, 13)], [False, False, False, False], 80, False, [False, False, True, True], 2251, 'East', (14, 12))
Element 11: (0, (14, 12), ['', '%', '.', '.'], [(6, 11), (13, 10), (4, 13)], [False, True, False, False], 78, False, [False, False, True, True], 2270, 'East', (15, 12))
Element 12: (0, (15, 12), ['', '%', '.', '.'], [(7, 11), (14, 10), (5, 13)], [False, True, False, False], 76, False, [False, False, True, True], 2289, 'East', (16, 12))
