Element 1: (1, (8, 10), ['.', '%', 'F', '.'], [(2, 13), (9, 6), (10, 2)], [False, True, False, False], 98, False, [True, False, False, True], 9, 'North', (8, 11))
Element 2: (1, (8, 11), ['.', '', '%', '.'], [(3, 13), (10, 6), (11, 2)], [False, False, True, False], 96, False, [True, False, False, True], 1038, 'East', (9, 11))
Element 3: (1, (9, 11), ['', '.', 'F', '.'], [(4, 13), (11, 6), (12, 2)], [False, False, False, False], 94, False, [False, True, False, True], 1077, 'North', (9, 12))
Element 4: (1, (9, 12), ['%', '', '%', '.'], [(5, 13), (12, 6), (13, 2)], [True, False, True, False], 92, False, [False, False, False, True], 2106, 'East', (10, 12))
Element 5: (1, (10, 12), ['', '.', '%', '.'], [(5, 12), (13, 6), (14, 2)], [False, False, True, False], 90, False, [False, True, False, True], 2145, 'East', (11, 12))
Element 6: (1, (11, 12), ['', '.', '%', '.'], [(6, 12), (14, 6), (15, 2)], [False, False, True, False], 88, False, [False, True, False, True], 2184, 'East', (12, 12))
Element 7: (1, (12, 12), ['', '.', '.', '.'], [(6, 11), (15, 6), (15, 1)], [False, False, False, False], 86, False, [False, True, True, True], 2223, 'East', (13, 12))
Element 8: (1, (13, 12), ['', '.', '.', '.'], [(7, 11), (16, 6), (14, 1)], [False, False, False, False], 84, False, [False, True, True, True], 2262, 'East', (14, 12))
Element 9: (1, (14, 12), ['', '%', '.', '.'], [(7, 10), (17, 6), (13, 1)], [False, True, False, False], 82, False, [False, False, True, True], 2301, 'East', (15, 12))
Element 10: (1, (15, 12), ['', '%', '.', '.'], [(6, 10), (17, 7), (12, 1)], [False, True, False, False], 80, False, [False, False, True, True], 2340, 'East', (16, 12))
Element 11: (1, (16, 12), ['', '.', '.', '%'], [(5, 10), (18, 7), (11, 1)], [False, False, False, True], 78, False, [False, True, True, False], 2379, 'North', (16, 13))
Element 12: (1, (16, 13), ['.', '', '%', '%'], [(5, 11), (17, 7), (12, 1)], [False, False, True, True], 76, False, [True, False, False, False], 2398, 'West', (15, 13))
Element 13: (1, (15, 13), ['.', '', '%', ''], [(4, 11), (16, 7), (13, 1)], [False, False, True, False], 74, False, [True, False, False, False], 2427, 'West', (14, 13))
Element 14: (1, (14, 13), ['.', '', '%', ''], [(4, 10), (15, 7), (14, 1)], [False, False, True, False], 72, False, [True, False, False, False], 2456, 'West', (13, 13))
Element 15: (1, (13, 13), ['.', '', '%', ''], [(4, 9), (14, 7), (15, 1)], [False, False, True, False], 70, False, [True, False, False, False], 2485, 'West', (12, 13))
Element 16: (1, (12, 13), ['%', '', '%', ''], [(5, 9), (14, 8), (15, 2)], [True, False, True, False], 68, False, [False, False, False, False], 2514, 'East', (13, 13))
Element 17: (1, (13, 13), ['', '', '%', ''], [(5, 8), (14, 9), (14, 2)], [False, False, True, False], 66, False, [False, False, False, False], 2533, 'East', (14, 13))
Element 18: (1, (14, 13), ['', '', '%', ''], [(6, 8), (15, 9), (14, 1)], [False, False, True, False], 64, False, [False, False, False, False], 3542, 'East', (15, 13))
Element 19: (1, (15, 13), ['', '', '%', ''], [(7, 8), (16, 9), (14, 2)], [False, False, True, False], 62, False, [False, False, False, False], 3561, 'East', (16, 13))
Element 20: (1, (16, 13), ['', '', '%', '%'], [(8, 8), (17, 9), (13, 2)], [False, False, True, True], 60, False, [False, False, False, False], 3580, 'South', (16, 12))
Element 21: (1, (16, 12), ['', '.', '', '%'], [(9, 8), (18, 9), (13, 1)], [False, False, False, True], 58, False, [False, True, False, False], 3599, 'South', (16, 11))
Element 22: (1, (16, 11), ['%', '%', '', '.'], [(10, 8), (17, 9), (13, 2)], [True, True, False, False], 56, False, [False, False, False, True], 4608, 'East', (17, 11))
Element 23: (1, (17, 11), ['', 'G', '%', '.'], [(10, 7), (17, 10), (12, 2)], [False, False, True, False], 54, False, [False, False, False, True], 4637, 'East', (18, 11))
Element 24: (1, (18, 11), ['G', '%', '%', '%'], [(11, 7), (17, 11), (12, 3)], [False, True, True, True], 52, False, [False, False, False, False], 4666, 'Stop', (18, 11))
Element 25: (1, (18, 11), ['', '%', '%', '%'], [(12, 7), (16, 11), (11, 3)], [False, True, True, True], 50, False, [False, False, False, False], 4685, 'West', (17, 11))
Element 26: (1, (17, 11), ['', '', '%', ''], [(13, 7), (16, 12), (10, 3)], [False, False, True, False], 48, False, [False, False, False, False], 4704, 'West', (16, 11))
Element 27: (1, (16, 11), ['%', '%', '', ''], [(13, 8), (16, 13), (9, 3)], [True, True, False, False], 46, False, [False, False, False, False], 4723, 'North', (16, 12))
Element 28: (1, (16, 12), ['', '', '', '%'], [(13, 9), (15, 13), (9, 2)], [False, False, False, True], 44, False, [False, False, False, False], 4742, 'West', (15, 12))
Element 29: (1, (15, 12), ['', '%', '', ''], [(13, 10), (14, 13), (9, 3)], [False, True, False, False], 42, False, [False, False, False, False], 4751, 'Stop', (15, 12))
Element 30: (1, (15, 12), ['G', '%', '', ''], [(14, 10), (14, 12), (10, 3)], [False, True, False, False], 40, False, [False, False, False, False], 4760, 'North', (15, 13))
Element 31: (1, (15, 13), ['', 'G', '%', ''], [(15, 10), (15, 12), (11, 3)], [False, False, True, False], 38, False, [False, False, False, False], 4769, 'West', (14, 13))
Element 32: (1, (14, 13), ['', 'G', '%', ''], [(15, 9), (14, 12), (12, 3)], [False, False, True, False], 36, False, [False, False, False, False], 4768, 'West', (13, 13))
Element 33: (1, (13, 13), ['', 'G', '%', ''], [(16, 9), (13, 12), (12, 2)], [False, False, True, False], 34, False, [False, False, False, False], 4767, 'West', (12, 13))
Element 34: (1, (12, 13), ['%', '', '%', ''], [(17, 9), (13, 11), (12, 1)], [True, False, True, False], 32, False, [False, False, False, False], 4776, 'East', (13, 13))
Element 35: (1, (13, 13), ['', '', '%', ''], [(18, 9), (12, 11), (12, 2)], [False, False, True, False], 30, False, [False, False, False, False], 4785, 'South', (13, 12))
Element 36: (1, (13, 12), ['', '', '', ''], [(17, 9), (12, 10), (11, 2)], [False, False, False, False], 28, False, [False, False, False, False], 4794, 'South', (13, 11))
Element 37: (1, (13, 11), ['', '', '', '%'], [(17, 10), (12, 9), (11, 3)], [False, False, False, True], 26, False, [False, False, False, False], 4803, 'South', (13, 10))
Element 38: (1, (13, 10), ['', '', '', ''], [(17, 11), (12, 8), (11, 2)], [False, False, False, False], 24, False, [False, False, False, False], 4812, 'East', (14, 10))
Element 39: (1, (14, 10), ['', '', '%', ''], [(18, 11), (13, 8), (11, 1)], [False, False, True, False], 22, False, [False, False, False, False], 4811, 'East', (15, 10))
Element 40: (1, (15, 10), ['', '', '%', '%'], [(17, 11), (13, 9), (11, 2)], [False, False, True, True], 20, False, [False, False, False, False], 4810, 'South', (15, 9))
Element 41: (1, (15, 9), ['', '%', '', ''], [(16, 11), (13, 10), (10, 2)], [False, True, False, False], 18, False, [False, False, False, False], 4809, 'East', (16, 9))
Element 42: (1, (16, 9), ['', '%', '%', ''], [(16, 12), (14, 10), (10, 3)], [False, True, True, False], 16, False, [False, False, False, False], 4808, 'East', (17, 9))
Element 43: (1, (17, 9), ['', '%', '', ''], [(16, 13), (15, 10), (10, 2)], [False, True, False, False], 14, False, [False, False, False, False], 4807, 'East', (18, 9))
Element 44: (1, (18, 9), ['', '%', '%', '%'], [(15, 13), (14, 10), (9, 2)], [False, True, True, True], 12, False, [False, False, False, False], 4806, 'West', (17, 9))
Element 45: (1, (17, 9), ['', '%', '', ''], [(15, 12), (13, 10), (10, 2)], [False, True, False, False], 10, False, [False, False, False, False], 4805, 'North', (17, 10))
Element 46: (1, (17, 10), ['%', '', '', '%'], [(14, 12), (13, 9), (10, 2)], [True, False, False, True], 8, False, [False, False, False, False], 4804, 'South', (17, 9))
Element 47: (1, (17, 9), ['', '%', '', ''], [(14, 13), (13, 8), (11, 2)], [False, True, False, False], 6, False, [False, False, False, False], 4803, 'West', (16, 9))
Element 48: (1, (16, 9), ['', '%', '%', ''], [(13, 13), (13, 7), (12, 2)], [False, True, True, False], 4, False, [False, False, False, False], 4802, 'West', (15, 9))
Element 49: (1, (15, 9), ['', '%', '', ''], [(13, 12), (12, 7), (13, 2)], [False, True, False, False], 2, False, [False, False, False, False], 4801, 'West', (14, 9))
Element 50: (1, (14, 9), ['', '', '', ''], [(13, 12), (11, 7), (14, 2)], [False, False, False, False], 0, False, [False, False, False, False], 4800, 'Stop', (14, 9))
Element 51: #0#
