Element 1: (0, (5, 8), ['.', '%', '.', 'F'], [(5, 5), (13, 9), (18, 3)], [False, True, False, False], 98, False, [True, False, True, False], 0, 'East', (6, 8))
Element 2: (0, (6, 8), ['', '%', '%', '.'], [(6, 5), (14, 9), (17, 3)], [False, True, True, False], 96, False, [False, False, False, True], 1029, 'East', (7, 8))
Element 3: (0, (7, 8), ['', '%', '%', '.'], [(6, 4), (15, 9), (16, 3)], [False, True, True, False], 94, False, [False, False, False, True], 2058, 'East', (8, 8))
Element 4: (0, (8, 8), ['', '%', '%', '.'], [(6, 3), (16, 9), (16, 4)], [False, True, True, False], 92, False, [False, False, False, True], 2097, 'East', (9, 8))
Element 5: (0, (9, 8), ['', '.', '%', 'F'], [(6, 2), (17, 9), (15, 4)], [False, False, True, False], 90, False, [False, True, False, False], 2136, 'East', (10, 8))
Element 6: (0, (10, 8), ['', '.', '%', '%'], [(6, 1), (18, 9), (14, 4)], [False, False, True, True], 88, False, [False, True, False, False], 3165, 'South', (10, 7))
Element 7: (0, (10, 7), ['.', '.', '', '.'], [(7, 1), (17, 9), (15, 4)], [False, False, False, False], 86, False, [True, True, False, True], 3184, 'East', (11, 7))
Element 8: (0, (11, 7), ['', '.', '%', '.'], [(8, 1), (17, 10), (16, 4)], [False, False, True, False], 84, False, [False, True, False, True], 3213, 'East', (12, 7))
Element 9: (0, (12, 7), ['', '.', '.', '.'], [(7, 1), (17, 11), (16, 3)], [False, False, False, False], 82, False, [False, True, True, True], 3232, 'East', (13, 7))
Element 10: (0, (13, 7), ['', '.', '.', '.'], [(6, 1), (18, 11), (17, 3)], [False, False, False, False], 80, False, [False, True, True, True], 3251, 'East', (14, 7))
Element 11: (0, (14, 7), ['', '.', '.', '.'], [(5, 1), (17, 11), (18, 3)], [False, False, False, False], 78, False, [False, True, True, True], 3270, 'East', (15, 7))
Element 12: (0, (15, 7), ['', '.', '%', '.'], [(5, 2), (16, 11), (18, 3)], [False, False, True, False], 76, False, [False, True, False, True], 3299, 'East', (16, 7))
Element 13: (0, (16, 7), ['', '.', '%', '.'], [(5, 3), (16, 12), (17, 3)], [False, False, True, False], 74, False, [False, True, False, True], 3328, 'East', (17, 7))
Element 14: (0, (17, 7), ['', '.', '%', '.'], [(4, 3), (16, 13), (16, 3)], [False, False, True, False], 72, False, [False, True, False, True], 3357, 'East', (18, 7))
Element 15: (0, (18, 7), ['', '%', '%', '%'], [(4, 2), (15, 13), (16, 4)], [False, True, True, True], 70, False, [False, False, False, False], 3386, 'West', (17, 7))
Element 16: (0, (17, 7), ['', '.', '%', ''], [(4, 1), (15, 12), (15, 4)], [False, False, True, False], 68, False, [False, True, False, False], 3405, 'South', (17, 6))
Element 17: (0, (17, 6), ['.', '%', '', '%'], [(3, 1), (14, 12), (14, 4)], [False, True, False, True], 66, False, [True, False, False, False], 3434, 'West', (16, 6))
