Element 38: (0, (14, 9), ['', '', 'G', ''], [(14, 6), (8, 10), (14, 10)], [False, False, False, False], 24, False, [False, False, False, False], 4653, 'East', (15, 9))
Element 39: (0, (15, 9), ['', '%', 'G', ''], [(13, 6), (7, 10), (15, 10)], [False, True, False, False], 22, False, [False, False, False, False], 4662, 'East', (16, 9))
Element 40: (0, (16, 9), ['', '%', '%', ''], [(13, 5), (7, 11), (14, 10)], [False, True, True, False], 20, False, [False, False, False, False], 4671, 'East', (17, 9))
Element 41: (0, (17, 9), ['', '%', '', ''], [(12, 5), (6, 11), (13, 10)], [False, True, False, False], 18, False, [False, False, False, False], 4680, 'East', (18, 9))
Element 42: (0, (18, 9), ['', '%', '%', '%'], [(12, 6), (6, 12), (12, 10)], [False, True, True, True], 16, False, [False, False, False, False], 4689, 'West', (17, 9))
Element 43: (0, (17, 9), ['', '%', '', ''], [(11, 6), (5, 12), (13, 10)], [False, True, False, False], 14, False, [False, False, False, False], 4698, 'North', (17, 10))
Element 44: (0, (17, 10), ['%', '', '', '%'], [(11, 5), (5, 13), (13, 9)], [True, False, False, True], 12, False, [False, False, False, False], 4707, 'North', (17, 11))
Element 45: (0, (17, 11), ['', '', '%', ''], [(10, 5), (4, 13), (12, 9)], [False, False, True, False], 10, False, [False, False, False, False], 4716, 'East', (18, 11))
Element 46: (0, (18, 11), ['', '%', '%', '%'], [(10, 6), (3, 13), (12, 10)], [False, True, True, True], 8, False, [False, False, False, False], 4725, 'West', (17, 11))
Element 47: (0, (17, 11), ['', '', '%', ''], [(9, 6), (2, 13), (12, 9)], [False, False, True, False], 6, False, [False, False, False, False], 4734, 'West', (16, 11))
Element 48: (0, (16, 11), ['%', '%', '', ''], [(9, 7), (1, 13), (12, 8)], [True, True, False, False], 4, False, [False, False, False, False], 4753, 'East', (17, 11))
Element 49: (0, (17, 11), ['', '', '%', ''], [(9, 6), (2, 13), (12, 7)], [False, False, True, False], 2, False, [False, False, False, False], 4752, 'South', (17, 10))
Element 50: (0, (17, 10), ['%', '', '', '%'], [(9, 5), (3, 13), (13, 7)], [True, False, False, True], 0, False, [False, False, False, False], 4761, 'Stop', (17, 10))
Element 51: #0#
