Element 1: (3, (12, 13), ['%', '.', '%', '.'], [(17, 9), (5, 11), (13, 2)], [True, False, True, False], 98, False, [False, True, False, True], 29, 'East', (13, 13))
Element 2: (3, (13, 13), ['', '.', '%', '.'], [(17, 10), (6, 11), (14, 2)], [False, False, True, False], 96, False, [False, True, False, True], 68, 'East', (14, 13))
Element 3: (3, (14, 13), ['', '.', '%', '.'], [(17, 11), (7, 11), (15, 2)], [False, False, True, False], 94, False, [False, True, False, True], 107, 'East', (15, 13))
Element 4: (3, (15, 13), ['', '.', '%', '.'], [(18, 11), (8, 11), (15, 1)], [False, False, True, False], 92, False, [False, True, False, True], 1136, 'East', (16, 13))
Element 5: (3, (16, 13), ['', '.', '%', '%'], [(17, 11), (9, 11), (14, 1)], [False, False, True, True], 90, False, [False, True, False, False], 1165, 'South', (16, 12))
Element 6: (3, (16, 12), ['.', 'G', '', '%'], [(16, 11), (9, 12), (13, 1)], [False, False, False, True], 88, False, [True, False, False, False], 2194, 'West', (15, 12))
Element 7: (3, (15, 12), ['.', '%', '', 'G'], [(16, 12), (10, 12), (12, 1)], [False, True, False, False], 86, False, [True, False, False, False], 2223, 'West', (14, 12))
Element 8: (3, (14, 12), ['.', '%', '', ''], [(16, 13), (11, 12), (11, 1)], [False, True, False, False], 84, False, [True, False, False, False], 2252, 'West', (13, 12))
Element 9: (3, (13, 12), ['G', '.', '', ''], [(15, 13), (12, 12), (11, 2)], [False, False, False, False], 82, False, [False, True, False, False], 2281, 'South', (13, 11))
Element 10: (3, (13, 11), ['G', '.', '', '%'], [(15, 12), (12, 11), (11, 3)], [False, False, False, True], 80, False, [False, True, False, False], 2310, 'South', (13, 10))
Element 11: (3, (13, 10), ['G', '.', '', '.'], [(14, 12), (12, 10), (12, 3)], [False, False, False, False], 78, False, [False, True, False, True], 2339, 'East', (14, 10))
Element 12: (3, (14, 10), ['', '.', '%', '.'], [(14, 13), (12, 9), (11, 3)], [False, False, True, False], 76, False, [False, True, False, True], 2358, 'East', (15, 10))
Element 13: (3, (15, 10), ['', '.', '%', '%'], [(13, 13), (13, 9), (10, 3)], [False, False, True, True], 74, False, [False, True, False, False], 2387, 'South', (15, 9))
Element 14: (3, (15, 9), ['G', '%', '', '.'], [(13, 12), (14, 9), (10, 2)], [False, True, False, False], 72, False, [False, False, False, True], 2416, 'East', (16, 9))
Element 15: (3, (16, 9), ['', '%', '%', ''], [(13, 11), (14, 8), (9, 2)], [False, True, True, False], 70, False, [False, False, False, False], 2445, 'East', (17, 9))
Element 16: (3, (17, 9), ['', '%', '', ''], [(13, 10), (14, 7), (9, 3)], [False, True, False, False], 68, False, [False, False, False, False], 2464, 'East', (18, 9))
Element 17: (3, (18, 9), ['', '%', '%', '%'], [(14, 10), (15, 7), (9, 2)], [False, True, True, True], 66, False, [False, False, False, False], 2473, 'West', (17, 9))
Element 18: (3, (17, 9), ['', '%', '', ''], [(15, 10), (16, 7), (10, 2)], [False, True, False, False], 64, False, [False, False, False, False], 2482, 'North', (17, 10))
Element 19: (3, (17, 10), ['%', '', '', '%'], [(15, 9), (17, 7), (10, 3)], [True, False, False, True], 62, False, [False, False, False, False], 2491, 'North', (17, 11))
Element 20: (3, (17, 11), ['', '', '%', ''], [(16, 9), (18, 7), (9, 3)], [False, False, True, False], 60, False, [False, False, False, False], 2500, 'East', (18, 11))
Element 21: (3, (18, 11), ['', '%', '%', '%'], [(15, 9), (17, 7), (10, 3)], [False, True, True, True], 58, False, [False, False, False, False], 2499, 'West', (17, 11))
