Element 1: (2, (8, 10), ['.', '%', 'F', '.'], [(15, 12), (3, 10), (14, 1)], [False, True, False, False], 98, False, [True, False, False, True], 19, 'North', (8, 11))
Element 2: (2, (8, 11), ['.', '', '%', '.'], [(16, 12), (4, 10), (15, 1)], [False, False, True, False], 96, False, [True, False, False, True], 1048, 'East', (9, 11))
Element 3: (2, (9, 11), ['', '.', 'F', '.'], [(16, 13), (5, 10), (15, 2)], [False, False, False, False], 94, False, [False, True, False, True], 1087, 'North', (9, 12))
Element 4: (2, (9, 12), ['%', '', '%', '.'], [(15, 13), (6, 10), (14, 2)], [True, False, True, False], 92, False, [False, False, False, True], 2116, 'East', (10, 12))
Element 5: (2, (10, 12), ['', '.', '%', '.'], [(14, 13), (7, 10), (13, 2)], [False, False, True, False], 90, False, [False, True, False, True], 2155, 'East', (11, 12))
Element 6: (2, (11, 12), ['', '.', '%', '.'], [(13, 13), (7, 11), (13, 1)], [False, False, True, False], 88, False, [False, True, False, True], 2194, 'East', (12, 12))
Element 7: (2, (12, 12), ['', '.', '.', 'G'], [(13, 12), (6, 11), (12, 1)], [False, False, False, False], 86, False, [False, True, True, False], 2233, 'North', (12, 13))
Element 8: (2, (12, 13), ['%', '', '%', ''], [(13, 11), (6, 12), (12, 2)], [True, False, True, False], 84, False, [False, False, False, False], 2272, 'East', (13, 13))
Element 9: (2, (13, 13), ['', '', '%', ''], [(13, 10), (5, 12), (12, 3)], [False, False, True, False], 82, False, [False, False, False, False], 2301, 'East', (14, 13))
Element 10: (2, (14, 13), ['', '', '%', ''], [(14, 10), (5, 13), (11, 3)], [False, False, True, False], 80, False, [False, False, False, False], 2330, 'East', (15, 13))
Element 11: (2, (15, 13), ['', '', '%', ''], [(15, 10), (4, 13), (11, 2)], [False, False, True, False], 78, False, [False, False, False, False], 2359, 'East', (16, 13))
Element 12: (2, (16, 13), ['', '', '%', '%'], [(15, 9), (3, 13), (11, 1)], [False, False, True, True], 76, False, [False, False, False, False], 2388, 'South', (16, 12))
Element 13: (2, (16, 12), ['', '.', '', '%'], [(16, 9), (2, 13), (11, 2)], [False, False, False, True], 74, False, [False, True, False, False], 2407, 'South', (16, 11))
Element 14: (2, (16, 11), ['%', '%', '', '.'], [(17, 9), (1, 13), (10, 2)], [True, True, False, False], 72, False, [False, False, False, True], 2446, 'East', (17, 11))
