Element 1: (2, (10, 12), ['F', '.', '%', '.'], [(18, 3), (2, 7), (15, 7)], [False, False, True, False], 98, False, [False, True, False, True], 19, 'West', (9, 12))
Element 2: (2, (9, 12), ['%', '.', '%', ''], [(17, 3), (3, 7), (16, 7)], [True, False, True, False], 96, False, [False, True, False, False], 1038, 'South', (9, 11))
Element 3: (2, (9, 11), ['F', '.', '', '.'], [(16, 3), (4, 7), (17, 7)], [False, False, False, False], 94, False, [False, True, False, True], 1077, 'West', (8, 11))
Element 4: (2, (8, 11), ['.', '.', '%', ''], [(16, 4), (4, 8), (18, 7)], [False, False, True, False], 92, False, [True, True, False, False], 2106, 'South', (8, 10))
Element 5: (2, (8, 10), ['.', '%', '', '.'], [(15, 4), (5, 8), (17, 7)], [False, True, False, False], 90, False, [True, False, False, True], 2135, 'East', (9, 10))
Element 6: (2, (9, 10), ['', '%', '', '.'], [(14, 4), (6, 8), (17, 6)], [False, True, False, False], 88, False, [False, False, False, True], 3164, 'East', (10, 10))
Element 7: (2, (10, 10), ['', '%', '.', '.'], [(15, 4), (7, 8), (16, 6)], [False, True, False, False], 86, False, [False, False, True, True], 3193, 'East', (11, 10))
Element 8: (2, (11, 10), ['', '.', '.', '.'], [(16, 4), (8, 8), (15, 6)], [False, False, False, False], 84, False, [False, True, True, True], 3222, 'East', (12, 10))
Element 9: (2, (12, 10), ['', '.', '.', '.'], [(16, 3), (9, 8), (14, 6)], [False, False, False, False], 82, False, [False, True, True, True], 3251, 'East', (13, 10))
Element 10: (2, (13, 10), ['', '.', '.', '.'], [(17, 3), (10, 8), (14, 7)], [False, False, False, False], 80, False, [False, True, True, True], 4270, 'East', (14, 10))
Element 11: (2, (14, 10), ['', '.', '%', '.'], [(17, 3), (10, 7), (14, 8)], [False, False, True, False], 78, False, [False, True, False, True], 4299, 'East', (15, 10))
Element 12: (2, (15, 10), ['', '.', '%', '%'], [(18, 3), (11, 7), (14, 9)], [False, False, True, True], 76, False, [False, True, False, False], 4328, 'South', (15, 9))
Element 13: (2, (15, 9), ['', '%', '', '.'], [(17, 3), (12, 7), (13, 9)], [False, True, False, False], 74, False, [False, False, False, True], 4357, 'East', (16, 9))
Element 14: (2, (16, 9), ['', '%', '%', '.'], [(16, 3), (13, 7), (13, 8)], [False, True, True, False], 72, False, [False, False, False, True], 4386, 'East', (17, 9))
Element 15: (2, (17, 9), ['', '%', '.', '.'], [(16, 4), (13, 6), (12, 8)], [False, True, False, False], 70, False, [False, False, True, True], 4415, 'East', (18, 9))
Element 16: (2, (18, 9), ['', '%', '%', '%'], [(15, 4), (13, 5), (12, 9)], [False, True, True, True], 68, False, [False, False, False, False], 4444, 'West', (17, 9))
Element 17: (2, (17, 9), ['', '%', '.', ''], [(14, 4), (12, 5), (11, 9)], [False, True, False, False], 66, False, [False, False, True, False], 4463, 'North', (17, 10))
Element 18: (2, (17, 10), ['%', '', '.', '%'], [(15, 4), (12, 6), (11, 10)], [True, False, False, True], 64, False, [False, False, True, False], 4482, 'North', (17, 11))
Element 19: (2, (17, 11), ['.', '', '%', '.'], [(16, 4), (11, 6), (11, 11)], [False, False, True, False], 62, False, [True, False, False, True], 4511, 'East', (18, 11))
Element 20: (2, (18, 11), ['', '%', '%', '%'], [(16, 3), (11, 5), (12, 11)], [False, True, True, True], 60, False, [False, False, False, False], 4540, 'West', (17, 11))
Element 21: (2, (17, 11), ['.', '', '%', ''], [(17, 3), (10, 5), (13, 11)], [False, False, True, False], 58, False, [True, False, False, False], 4559, 'West', (16, 11))
Element 22: (2, (16, 11), ['%', '%', '.', ''], [(17, 3), (10, 6), (13, 12)], [True, True, False, False], 56, False, [False, False, True, False], 4588, 'North', (16, 12))
Element 23: (2, (16, 12), ['.', '', '.', '%'], [(18, 3), (9, 6), (14, 12)], [False, False, False, True], 54, False, [True, False, True, False], 4617, 'North', (16, 13))
Element 24: (2, (16, 13), ['.', '', '%', '%'], [(17, 3), (9, 7), (15, 12)], [False, False, True, True], 52, False, [True, False, False, False], 4646, 'West', (15, 13))
Element 25: (2, (15, 13), ['.', '', '%', ''], [(16, 3), (9, 6), (16, 12)], [False, False, True, False], 50, False, [True, False, False, False], 4655, 'West', (14, 13))
Element 26: (2, (14, 13), ['.', '', '%', ''], [(16, 4), (9, 5), (16, 13)], [False, False, True, False], 48, False, [True, False, False, False], 4674, 'West', (13, 13))
Element 27: (2, (13, 13), ['.', '', '%', ''], [(15, 4), (8, 5), (15, 13)], [False, False, True, False], 46, False, [True, False, False, False], 4693, 'West', (12, 13))
Element 28: (2, (12, 13), ['%', '.', '%', ''], [(14, 4), (8, 6), (14, 13)], [True, False, True, False], 44, False, [False, True, False, False], 4712, 'South', (12, 12))
Element 29: (2, (12, 12), ['.', '', '', ''], [(15, 4), (7, 6), (13, 13)], [False, False, False, False], 42, False, [True, False, False, False], 4731, 'West', (11, 12))
Element 30: (2, (11, 12), ['', '', '%', ''], [(16, 4), (7, 5), (12, 13)], [False, False, True, False], 40, False, [False, False, False, False], 4750, 'South', (11, 11))
Element 31: (2, (11, 11), ['.', '', '', ''], [(16, 3), (6, 5), (12, 12)], [False, False, False, False], 38, False, [True, False, False, False], 4759, 'West', (10, 11))
Element 32: #1#
