Element 39: (3, (15, 12), ['', '%', '', ''], [(15, 10), (17, 7), (13, 1)], [False, True, False, False], 22, False, [False, False, False, False], 2691, 'East', (16, 12))
Element 40: (3, (16, 12), ['', '', '', '%'], [(14, 10), (18, 7), (12, 1)], [False, False, False, True], 20, False, [False, False, False, False], 2690, 'North', (16, 13))
Element 41: (3, (16, 13), ['', '', '%', '%'], [(14, 9), (17, 7), (12, 2)], [False, False, True, True], 18, False, [False, False, False, False], 2689, 'West', (15, 13))
Element 42: (3, (15, 13), ['', '', '%', ''], [(14, 10), (17, 6), (12, 1)], [False, False, True, False], 16, False, [False, False, False, False], 2688, 'West', (14, 13))
Element 43: (3, (14, 13), ['', '', '%', ''], [(13, 10), (16, 6), (11, 1)], [False, False, True, False], 14, False, [False, False, False, False], 2687, 'West', (13, 13))
Element 44: (3, (13, 13), ['', '', '%', ''], [(13, 11), (15, 6), (12, 1)], [False, False, True, False], 12, False, [False, False, False, False], 2686, 'West', (12, 13))
Element 45: (3, (12, 13), ['%', '', '%', ''], [(13, 12), (14, 6), (12, 1)], [True, False, True, False], 10, False, [False, False, False, False], 2685, 'East', (13, 13))
Element 46: (3, (13, 13), ['', '', '%', ''], [(14, 12), (13, 6), (13, 1)], [False, False, True, False], 8, False, [False, False, False, False], 2684, 'East', (14, 13))
Element 47: (3, (14, 13), ['', '', '%', ''], [(15, 12), (13, 5), (14, 1)], [False, False, True, False], 6, False, [False, False, False, False], 2693, 'East', (15, 13))
Element 48: (3, (15, 13), ['', '', '%', ''], [(16, 12), (12, 5), (15, 1)], [False, False, True, False], 4, False, [False, False, False, False], 2702, 'East', (16, 13))
Element 49: (3, (16, 13), ['', '', '%', '%'], [(16, 11), (11, 5), (15, 2)], [False, False, True, True], 2, False, [False, False, False, False], 2711, 'South', (16, 12))
Element 50: (3, (16, 12), ['', 'G', '', '%'], [(16, 11), (11, 5), (15, 2)], [False, False, False, True], 0, False, [False, False, False, False], 2710, 'Stop', (16, 12))
Element 51: #0#
