Element 39: (2, (13, 11), ['', '', '', '%'], [(12, 12), (16, 13), (2, 4)], [False, False, False, True], 22, False, [False, False, False, False], 3961, 'West', (12, 11))
Element 40: (2, (12, 11), ['', '', '', ''], [(12, 13), (15, 13), (2, 5)], [False, False, False, False], 20, False, [False, False, False, False], 3970, 'North', (12, 12))
Element 41: (2, (12, 12), ['', '', '', ''], [(13, 13), (14, 13), (2, 6)], [False, False, False, False], 18, False, [False, False, False, False], 3969, 'North', (12, 13))
Element 42: (2, (12, 13), ['%', '', '%', 'G'], [(13, 12), (13, 13), (2, 7)], [True, False, True, False], 16, False, [False, False, False, False], 3978, 'South', (12, 12))
Element 43: (2, (12, 12), ['', '', 'G', ''], [(13, 11), (12, 13), (3, 7)], [False, False, False, False], 14, False, [False, False, False, False], 3987, 'West', (11, 12))
Element 44: (2, (11, 12), ['', '', '%', 'G'], [(13, 10), (12, 12), (4, 7)], [False, False, True, False], 12, False, [False, False, False, False], 3996, 'South', (11, 11))
Element 45: (2, (11, 11), ['.', '', 'G', ''], [(14, 10), (11, 12), (4, 8)], [False, False, False, False], 10, False, [True, False, False, False], 4005, 'West', (10, 11))
Element 46: (2, (10, 11), ['', '', 'G', ''], [(15, 10), (10, 12), (5, 8)], [False, False, False, False], 8, False, [False, False, False, False], 4024, 'West', (9, 11))
Element 47: (2, (9, 11), ['', '', '', 'G'], [(15, 9), (10, 11), (6, 8)], [False, False, False, False], 6, False, [False, False, False, False], 5023, 'North', (9, 12))
Element 48: (2, (9, 12), ['%', '', '%', ''], [(16, 9), (10, 10), (7, 8)], [True, False, True, False], 4, False, [False, False, False, False], 5032, 'East', (10, 12))
Element 49: (2, (10, 12), ['', '', '%', ''], [(17, 9), (9, 10), (8, 8)], [False, False, True, False], 2, False, [False, False, False, False], 5041, 'West', (9, 12))
Element 50: (2, (9, 12), ['%', '', '%', ''], [(17, 9), (9, 10), (9, 8)], [True, False, True, False], 0, False, [False, False, False, False], 5050, 'Stop', (9, 12))
Element 51: #0#
