Element 1: (0, (8, 5), ['.', '%', 'G', '.'], [(5, 9), (8, 6), (14, 10)], [False, True, False, False], 98, False, [True, False, False, True], 0, 'East', (9, 5))
Element 2: (0, (9, 5), ['', '%', 'G', '.'], [(5, 10), (9, 6), (15, 10)], [False, True, False, False], 96, False, [False, False, False, True], 39, 'East', (10, 5))
Element 3: (0, (10, 5), ['', '%', 'G', '.'], [(6, 10), (10, 6), (15, 9)], [False, True, False, False], 94, False, [False, False, False, True], 78, 'East', (11, 5))
Element 4: (0, (11, 5), ['', '%', 'G', '.'], [(7, 10), (11, 6), (16, 9)], [False, True, False, False], 92, False, [False, False, False, True], 117, 'East', (12, 5))
Element 5: (0, (12, 5), ['', '%', 'G', '.'], [(8, 10), (12, 6), (17, 9)], [False, True, False, False], 90, False, [False, False, False, True], 156, 'East', (13, 5))
Element 6: (0, (13, 5), ['', '%', 'G', '%'], [(8, 11), (13, 6), (18, 9)], [False, True, False, True], 88, False, [False, False, False, False], 1185, 'West', (12, 5))
Element 7: (0, (12, 5), ['', '%', '', ''], [(9, 11), (14, 6), (17, 9)], [False, True, False, False], 86, False, [False, False, False, False], 1204, 'West', (11, 5))
Element 8: (0, (11, 5), ['', '%', '', ''], [(9, 12), (15, 6), (17, 10)], [False, True, False, False], 84, False, [False, False, False, False], 2223, 'West', (10, 5))
Element 9: (0, (10, 5), ['', '%', '', ''], [(10, 12), (16, 6), (17, 11)], [False, True, False, False], 82, False, [False, False, False, False], 2252, 'West', (9, 5))
Element 10: (0, (9, 5), ['', '%', '', ''], [(11, 12), (17, 6), (18, 11)], [False, True, False, False], 80, False, [False, False, False, False], 2281, 'West', (8, 5))
Element 11: (0, (8, 5), ['.', '%', '', ''], [(12, 12), (17, 7), (17, 11)], [False, True, False, False], 78, False, [True, False, False, False], 2300, 'West', (7, 5))
Element 12: (0, (7, 5), ['.', '%', '.', ''], [(13, 12), (18, 7), (16, 11)], [False, True, False, False], 76, False, [True, False, True, False], 2339, 'North', (7, 6))
Element 13: (0, (7, 6), ['.', '', '%', ''], [(14, 12), (17, 7), (16, 12)], [False, False, True, False], 74, False, [True, False, False, False], 2368, 'West', (6, 6))
Element 14: (0, (6, 6), ['.', '.', '%', ''], [(15, 12), (16, 7), (16, 13)], [False, False, True, False], 72, False, [True, True, False, False], 2407, 'South', (6, 5))
Element 15: (0, (6, 5), ['.', 'F', '', ''], [(15, 13), (15, 7), (16, 12)], [False, False, False, False], 70, False, [True, False, False, False], 2436, 'South', (6, 4))
Element 16: (0, (6, 4), ['%', '.', '', '%'], [(14, 13), (14, 7), (16, 11)], [True, False, False, True], 68, False, [False, True, False, False], 3455, 'South', (6, 3))
Element 17: (0, (6, 3), ['.', '.', '', '%'], [(13, 13), (14, 8), (17, 11)], [False, False, False, True], 66, False, [True, True, False, False], 3484, 'South', (6, 2))
Element 18: (0, (6, 2), ['.', '.', '', '%'], [(12, 13), (14, 9), (17, 10)], [False, False, False, True], 64, False, [True, True, False, False], 3513, 'South', (6, 1))
Element 19: (0, (6, 1), ['.', '%', '', '.'], [(13, 13), (13, 9), (17, 9)], [False, True, False, False], 62, False, [True, False, False, True], 3532, 'East', (7, 1))
Element 20: (0, (7, 1), ['', '%', '%', '.'], [(14, 13), (13, 10), (16, 9)], [False, True, True, False], 60, False, [False, False, False, True], 3551, 'East', (8, 1))
Element 21: (0, (8, 1), ['', '%', '%', '%'], [(15, 13), (13, 11), (15, 9)], [False, True, True, True], 58, False, [False, False, False, False], 3570, 'West', (7, 1))
Element 22: (0, (7, 1), ['', '%', '%', ''], [(16, 13), (12, 11), (14, 9)], [False, True, True, False], 56, False, [False, False, False, False], 3579, 'West', (6, 1))
Element 23: (0, (6, 1), ['.', '%', '', ''], [(16, 12), (12, 10), (14, 8)], [False, True, False, False], 54, False, [True, False, False, False], 3588, 'West', (5, 1))
Element 24: (0, (5, 1), ['.', '%', '.', ''], [(16, 11), (12, 9), (13, 8)], [False, True, False, False], 52, False, [True, False, True, False], 3617, 'North', (5, 2))
Element 25: (0, (5, 2), ['.', '', '.', ''], [(17, 11), (12, 8), (13, 7)], [False, False, False, False], 50, False, [True, False, True, False], 3646, 'North', (5, 3))
Element 26: (0, (5, 3), ['.', '', '%', ''], [(18, 11), (12, 7), (14, 7)], [False, False, True, False], 48, False, [True, False, False, False], 3665, 'West', (4, 3))
Element 27: (0, (4, 3), ['.', '.', '%', ''], [(17, 11), (11, 7), (15, 7)], [False, False, True, False], 46, False, [True, True, False, False], 3684, 'South', (4, 2))
Element 28: (0, (4, 2), ['.', '.', '', ''], [(17, 10), (10, 7), (16, 7)], [False, False, False, False], 44, False, [True, True, False, False], 3703, 'South', (4, 1))
Element 29: (0, (4, 1), ['.', '%', '', ''], [(17, 9), (10, 8), (17, 7)], [False, True, False, False], 42, False, [True, False, False, False], 4712, 'West', (3, 1))
Element 30: (0, (3, 1), ['.', '%', '.', ''], [(18, 9), (9, 8), (18, 7)], [False, True, False, False], 40, False, [True, False, True, False], 4731, 'North', (3, 2))
Element 31: (0, (3, 2), ['.', '', '.', ''], [(17, 9), (9, 7), (17, 7)], [False, False, False, False], 38, False, [True, False, True, False], 4750, 'North', (3, 3))
Element 32: (0, (3, 3), ['.', '', '.', ''], [(16, 9), (9, 8), (17, 6)], [False, False, False, False], 36, False, [True, False, True, False], 4759, 'North', (3, 4))
Element 33: (0, (3, 4), ['.', '', '.', '%'], [(15, 9), (8, 8), (16, 6)], [False, False, False, True], 34, False, [True, False, True, False], 4778, 'North', (3, 5))
Element 34: (0, (3, 5), ['.', '', '.', '.'], [(15, 10), (7, 8), (15, 6)], [False, False, False, False], 32, False, [True, False, True, True], 4797, 'East', (4, 5))
Element 35: #1#
