Element 1: (2, (6, 11), ['.', '', '.', '.'], [(16, 12), (7, 10), (16, 9)], [False, False, False, False], 98, False, [True, False, True, True], 19, 'East', (7, 11))
Element 2: (2, (7, 11), ['', '', '%', 'F'], [(16, 13), (8, 10), (17, 9)], [False, False, True, False], 96, False, [False, False, False, False], 58, 'East', (8, 11))
Element 3: (2, (8, 11), ['', '', '%', '.'], [(15, 13), (9, 10), (18, 9)], [False, False, True, False], 94, False, [False, False, False, True], 1087, 'East', (9, 11))
Element 4: (2, (9, 11), ['', '', 'F', '.'], [(14, 13), (10, 10), (17, 9)], [False, False, False, False], 92, False, [False, False, False, True], 1116, 'North', (9, 12))
Element 5: (2, (9, 12), ['%', '', '%', '.'], [(14, 12), (11, 10), (17, 10)], [True, False, True, False], 90, False, [False, False, False, True], 2145, 'East', (10, 12))
Element 6: (2, (10, 12), ['', '.', '%', '.'], [(13, 12), (12, 10), (17, 11)], [False, False, True, False], 88, False, [False, True, False, True], 2184, 'East', (11, 12))
Element 7: (2, (11, 12), ['', '.', '%', '.'], [(13, 13), (13, 10), (18, 11)], [False, False, True, False], 86, False, [False, True, False, True], 2223, 'East', (12, 12))
Element 8: (2, (12, 12), ['', '.', 'G', ''], [(12, 13), (14, 10), (17, 11)], [False, False, False, False], 84, False, [False, True, False, False], 2252, 'South', (12, 11))
Element 9: (2, (12, 11), ['.', '', 'G', '.'], [(12, 12), (15, 10), (16, 11)], [False, False, False, False], 82, False, [True, False, False, True], 2281, 'East', (13, 11))
Element 10: (2, (13, 11), ['G', '', '', '%'], [(12, 11), (15, 9), (16, 12)], [False, False, False, True], 80, False, [False, False, False, False], 2300, 'North', (13, 12))
Element 11: (2, (13, 12), ['', '', '', ''], [(11, 11), (14, 9), (16, 13)], [False, False, False, False], 78, False, [False, False, False, False], 2319, 'East', (14, 12))
Element 12: (2, (14, 12), ['', '%', '', ''], [(10, 11), (14, 8), (15, 13)], [False, True, False, False], 76, False, [False, False, False, False], 2338, 'East', (15, 12))
Element 13: (2, (15, 12), ['', '%', '', ''], [(10, 12), (14, 7), (14, 13)], [False, True, False, False], 74, False, [False, False, False, False], 2347, 'East', (16, 12))
Element 14: (2, (16, 12), ['', '', '', '%'], [(11, 12), (15, 7), (14, 12)], [False, False, False, True], 72, False, [False, False, False, False], 2356, 'North', (16, 13))
Element 15: (2, (16, 13), ['', '', '%', '%'], [(10, 12), (16, 7), (15, 12)], [False, False, True, True], 70, False, [False, False, False, False], 2365, 'West', (15, 13))
Element 16: (2, (15, 13), ['', '', '%', ''], [(9, 12), (17, 7), (14, 12)], [False, False, True, False], 68, False, [False, False, False, False], 2374, 'West', (14, 13))
Element 17: (2, (14, 13), ['', '', '%', ''], [(9, 11), (18, 7), (13, 12)], [False, False, True, False], 66, False, [False, False, False, False], 2383, 'West', (13, 13))
