Element 1: (3, (13, 5), ['.', '%', '.', '%'], [(5, 3), (3, 1), (6, 6)], [False, True, False, True], 98, False, [True, False, True, False], 29, 'North', (13, 6))
Element 2: (3, (13, 6), ['.', '', '.', '.'], [(6, 3), (4, 1), (7, 6)], [False, False, False, False], 96, False, [True, False, True, True], 68, 'East', (14, 6))
Element 3: (3, (14, 6), ['', '%', '.', '.'], [(6, 4), (5, 1), (8, 6)], [False, True, False, False], 94, False, [False, False, True, True], 1097, 'East', (15, 6))
Element 4: (3, (15, 6), ['', '%', '.', '.'], [(6, 5), (6, 1), (9, 6)], [False, True, False, False], 92, False, [False, False, True, True], 1136, 'East', (16, 6))
Element 5: (3, (16, 6), ['', '%', '.', '.'], [(7, 5), (7, 1), (10, 6)], [False, True, False, False], 90, False, [False, False, True, True], 1175, 'East', (17, 6))
Element 6: (3, (17, 6), ['', '%', '.', '%'], [(8, 5), (8, 1), (11, 6)], [False, True, False, True], 88, False, [False, False, True, False], 1214, 'North', (17, 7))
Element 7: (3, (17, 7), ['.', '', '%', '.'], [(9, 5), (7, 1), (12, 6)], [False, False, True, False], 86, False, [True, False, False, True], 1243, 'East', (18, 7))
Element 8: (3, (18, 7), ['', '%', '%', '%'], [(10, 5), (6, 1), (12, 7)], [False, True, True, True], 84, False, [False, False, False, False], 1272, 'West', (17, 7))
Element 9: (3, (17, 7), ['.', '', '%', ''], [(11, 5), (6, 2), (13, 7)], [False, False, True, False], 82, False, [True, False, False, False], 1301, 'West', (16, 7))
Element 10: (3, (16, 7), ['.', '', '%', ''], [(12, 5), (5, 2), (14, 7)], [False, False, True, False], 80, False, [True, False, False, False], 1340, 'West', (15, 7))
Element 11: (3, (15, 7), ['', '', '%', ''], [(13, 5), (4, 2), (14, 8)], [False, False, True, False], 78, False, [False, False, False, False], 1369, 'West', (14, 7))
Element 12: (3, (14, 7), ['', '', '', ''], [(13, 6), (3, 2), (14, 9)], [False, False, False, False], 76, False, [False, False, False, False], 1388, 'North', (14, 8))
Element 13: (3, (14, 8), ['.', '', '', '%'], [(14, 6), (3, 3), (15, 9)], [False, False, False, True], 74, False, [True, False, False, False], 1407, 'West', (13, 8))
Element 14: (3, (13, 8), ['.', '', '.', ''], [(15, 6), (3, 4), (16, 9)], [False, False, False, False], 72, False, [True, False, True, False], 1436, 'North', (13, 9))
Element 15: (3, (13, 9), ['.', '', '.', ''], [(16, 6), (3, 5), (17, 9)], [False, False, False, False], 70, False, [True, False, True, False], 1465, 'North', (13, 10))
Element 16: (3, (13, 10), ['.', '', '.', '.'], [(17, 6), (4, 5), (18, 9)], [False, False, False, False], 68, False, [True, False, True, True], 1494, 'East', (14, 10))
Element 17: (3, (14, 10), ['', '', '%', '.'], [(17, 7), (5, 5), (17, 9)], [False, False, True, False], 66, False, [False, False, False, True], 1513, 'East', (15, 10))
Element 18: (3, (15, 10), ['', '', '%', '%'], [(18, 7), (6, 5), (17, 10)], [False, False, True, True], 64, False, [False, False, False, False], 1532, 'South', (15, 9))
Element 19: (3, (15, 9), ['', '%', '', ''], [(17, 7), (7, 5), (17, 11)], [False, True, False, False], 62, False, [False, False, False, False], 1541, 'East', (16, 9))
Element 20: (3, (16, 9), ['', '%', '%', ''], [(16, 7), (8, 5), (18, 11)], [False, True, True, False], 60, False, [False, False, False, False], 1550, 'East', (17, 9))
Element 21: (3, (17, 9), ['', '%', '', ''], [(15, 7), (9, 5), (17, 11)], [False, True, False, False], 58, False, [False, False, False, False], 1549, 'East', (18, 9))
Element 22: (3, (18, 9), ['', '%', '%', '%'], [(14, 7), (10, 5), (16, 11)], [False, True, True, True], 56, False, [False, False, False, False], 1558, 'West', (17, 9))
Element 23: (3, (17, 9), ['', '%', '', ''], [(14, 8), (11, 5), (16, 12)], [False, True, False, False], 54, False, [False, False, False, False], 1567, 'North', (17, 10))
Element 24: (3, (17, 10), ['%', '', '', '%'], [(14, 9), (12, 5), (16, 13)], [True, False, False, True], 52, False, [False, False, False, False], 1576, 'North', (17, 11))
Element 25: (3, (17, 11), ['', '', '%', ''], [(15, 9), (13, 5), (15, 13)], [False, False, True, False], 50, False, [False, False, False, False], 1585, 'East', (18, 11))
Element 26: (3, (18, 11), ['', '%', '%', '%'], [(16, 9), (13, 6), (15, 12)], [False, True, True, True], 48, False, [False, False, False, False], 1594, 'West', (17, 11))
Element 27: (3, (17, 11), ['', '', '%', ''], [(17, 9), (14, 6), (14, 12)], [False, False, True, False], 46, False, [False, False, False, False], 1603, 'West', (16, 11))
Element 28: (3, (16, 11), ['%', '%', '', ''], [(18, 9), (15, 6), (14, 13)], [True, True, False, False], 44, False, [False, False, False, False], 1612, 'North', (16, 12))
Element 29: (3, (16, 12), ['', '', '', '%'], [(17, 9), (16, 6), (13, 13)], [False, False, False, True], 42, False, [False, False, False, False], 1621, 'North', (16, 13))
Element 30: (3, (16, 13), ['', '', '%', '%'], [(17, 10), (17, 6), (13, 12)], [False, False, True, True], 40, False, [False, False, False, False], 1630, 'West', (15, 13))
Element 31: (3, (15, 13), ['', '', '%', ''], [(17, 11), (17, 7), (13, 11)], [False, False, True, False], 38, False, [False, False, False, False], 1639, 'South', (15, 12))
Element 32: (3, (15, 12), ['', '%', '', ''], [(18, 11), (18, 7), (12, 11)], [False, True, False, False], 36, False, [False, False, False, False], 1648, 'West', (14, 12))
Element 33: (3, (14, 12), ['', '%', '', ''], [(17, 11), (17, 7), (12, 12)], [False, True, False, False], 34, False, [False, False, False, False], 1657, 'North', (14, 13))
Element 34: (3, (14, 13), ['', '', '%', ''], [(16, 11), (16, 7), (12, 13)], [False, False, True, False], 32, False, [False, False, False, False], 1666, 'West', (13, 13))
Element 35: (3, (13, 13), ['', '', '%', ''], [(16, 12), (15, 7), (12, 12)], [False, False, True, False], 30, False, [False, False, False, False], 1665, 'South', (13, 12))
Element 36: (3, (13, 12), ['', '', '', ''], [(16, 13), (14, 7), (11, 12)], [False, False, False, False], 28, False, [False, False, False, False], 1674, 'South', (13, 11))
Element 37: (3, (13, 11), ['', '', '', '%'], [(15, 13), (14, 8), (11, 11)], [False, False, False, True], 26, False, [False, False, False, False], 1683, 'West', (12, 11))
Element 38: (3, (12, 11), ['', '.', '', ''], [(15, 12), (14, 9), (11, 10)], [False, False, False, False], 24, False, [False, True, False, False], 1692, 'South', (12, 10))
Element 39: (3, (12, 10), ['', '.', '', ''], [(14, 12), (15, 9), (11, 9)], [False, False, False, False], 22, False, [False, True, False, False], 1711, 'South', (12, 9))
Element 40: (3, (12, 9), ['', '.', '', ''], [(14, 13), (16, 9), (11, 10)], [False, False, False, False], 20, False, [False, True, False, False], 1720, 'South', (12, 8))
Element 41: (3, (12, 8), ['%', '', '', ''], [(13, 13), (17, 9), (10, 10)], [True, False, False, False], 18, False, [False, False, False, False], 1739, 'South', (12, 7))
Element 42: (3, (12, 7), ['.', '', '', ''], [(13, 12), (18, 9), (10, 11)], [False, False, False, False], 16, False, [True, False, False, False], 1748, 'West', (11, 7))
Element 43: (3, (11, 7), ['.', '', '%', ''], [(13, 11), (17, 9), (10, 12)], [False, False, True, False], 14, False, [True, False, False, False], 1767, 'West', (10, 7))
Element 44: (3, (10, 7), ['.', '', 'F', ''], [(13, 10), (17, 10), (9, 12)], [False, False, False, False], 12, False, [True, False, False, False], 2776, 'North', (10, 8))
Element 45: (3, (10, 8), ['.', '', '%', '%'], [(14, 10), (17, 11), (9, 11)], [False, False, True, True], 10, False, [True, False, False, False], 3785, 'West', (9, 8))
Element 46: (3, (9, 8), ['.', '.', '%', ''], [(15, 10), (18, 11), (8, 11)], [False, False, True, False], 8, False, [True, True, False, False], 4794, 'South', (9, 7))
Element 47: (3, (9, 7), ['%', '', '', ''], [(14, 10), (17, 11), (8, 10)], [True, False, False, False], 6, False, [False, False, False, False], 4813, 'South', (9, 6))
Element 48: (3, (9, 6), ['', '', '', ''], [(13, 10), (16, 11), (9, 10)], [False, False, False, False], 4, False, [False, False, False, False], 4822, 'East', (10, 6))
