Element 1: (3, (15, 12), ['.', '%', 'G', '.'], [(8, 5), (12, 6), (15, 13)], [False, True, False, False], 98, False, [True, False, False, True], 29, 'East', (16, 12))
Element 2: (3, (16, 12), ['', '.', 'G', '%'], [(9, 5), (13, 6), (16, 13)], [False, False, False, True], 96, False, [False, True, False, False], 68, 'South', (16, 11))
Element 3: (3, (16, 11), ['%', '%', 'G', '.'], [(10, 5), (14, 6), (16, 12)], [True, True, False, False], 94, False, [False, False, False, True], 97, 'East', (17, 11))
Element 4: (3, (17, 11), ['G', '.', '%', '.'], [(11, 5), (15, 6), (16, 11)], [False, False, True, False], 92, False, [False, True, False, True], 126, 'East', (18, 11))
Element 5: (3, (18, 11), ['G', '%', '%', '%'], [(12, 5), (16, 6), (17, 11)], [False, True, True, True], 90, False, [False, False, False, False], 155, 'Stop', (18, 11))
Element 6: (3, (18, 11), ['', '%', '%', '%'], [(13, 5), (17, 6), (17, 10)], [False, True, True, True], 88, False, [False, False, False, False], 184, 'West', (17, 11))
Element 7: (3, (17, 11), ['', '', '%', ''], [(13, 6), (17, 7), (17, 9)], [False, False, True, False], 86, False, [False, False, False, False], 203, 'Stop', (17, 11))
Element 8: (3, (17, 11), ['', '', '%', ''], [(13, 7), (18, 7), (18, 9)], [False, False, True, False], 84, False, [False, False, False, False], 232, 'West', (16, 11))
Element 9: (3, (16, 11), ['%', '%', '', ''], [(14, 7), (17, 7), (17, 9)], [True, True, False, False], 82, False, [False, False, False, False], 241, 'North', (16, 12))
Element 10: (3, (16, 12), ['', '', '', '%'], [(15, 7), (16, 7), (16, 9)], [False, False, False, True], 80, False, [False, False, False, False], 270, 'West', (15, 12))
Element 11: (3, (15, 12), ['.', '%', '', ''], [(15, 6), (15, 7), (15, 9)], [False, True, False, False], 78, False, [True, False, False, False], 279, 'West', (14, 12))
Element 12: (3, (14, 12), ['.', '%', '', ''], [(16, 6), (14, 7), (15, 10)], [False, True, False, False], 76, False, [True, False, False, False], 298, 'West', (13, 12))
