Element 1: (2, (5, 8), ['.', '%', '.', 'F'], [(15, 13), (3, 13), (14, 7)], [False, True, False, False], 98, False, [True, False, True, False], 19, 'East', (6, 8))
Element 2: (2, (6, 8), ['', '%', '%', '.'], [(16, 13), (4, 13), (15, 7)], [False, True, True, False], 96, False, [False, False, False, True], 1048, 'East', (7, 8))
Element 3: (2, (7, 8), ['', '%', '%', '.'], [(16, 12), (5, 13), (16, 7)], [False, True, True, False], 94, False, [False, False, False, True], 1087, 'East', (8, 8))
Element 4: (2, (8, 8), ['', '%', '%', '.'], [(16, 11), (5, 12), (17, 7)], [False, True, True, False], 92, False, [False, False, False, True], 1126, 'East', (9, 8))
Element 5: (2, (9, 8), ['', '.', '%', 'F'], [(17, 11), (6, 12), (18, 7)], [False, False, True, False], 90, False, [False, True, False, False], 1165, 'East', (10, 8))
Element 6: (2, (10, 8), ['', '.', '%', '%'], [(18, 11), (6, 11), (17, 7)], [False, False, True, True], 88, False, [False, True, False, False], 2184, 'South', (10, 7))
Element 7: (2, (10, 7), ['.', '.', '', '.'], [(17, 11), (7, 11), (17, 6)], [False, False, False, False], 86, False, [True, True, False, True], 2213, 'East', (11, 7))
Element 8: (2, (11, 7), ['', '.', '%', '.'], [(17, 10), (8, 11), (16, 6)], [False, False, True, False], 84, False, [False, True, False, True], 3242, 'East', (12, 7))
Element 9: (2, (12, 7), ['', '.', '.', '.'], [(17, 9), (9, 11), (15, 6)], [False, False, False, False], 82, False, [False, True, True, True], 3281, 'East', (13, 7))
Element 10: (2, (13, 7), ['', '.', '.', ''], [(18, 9), (9, 12), (14, 6)], [False, False, False, False], 80, False, [False, True, True, False], 4310, 'North', (13, 8))
Element 11: (2, (13, 8), ['.', '', '.', '.'], [(17, 9), (10, 12), (13, 6)], [False, False, False, False], 78, False, [True, False, True, True], 4339, 'East', (14, 8))
Element 12: (2, (14, 8), ['', '', '.', '%'], [(16, 9), (11, 12), (13, 5)], [False, False, False, True], 76, False, [False, False, True, False], 4378, 'North', (14, 9))
Element 13: (2, (14, 9), ['.', '', '.', 'G'], [(15, 9), (12, 12), (12, 5)], [False, False, False, False], 74, False, [True, False, True, False], 4417, 'North', (14, 10))
Element 14: (2, (14, 10), ['.', '', '%', 'G'], [(15, 10), (13, 12), (12, 6)], [False, False, True, False], 72, False, [True, False, False, False], 4456, 'West', (13, 10))
Element 15: (2, (13, 10), ['.', '.', '.', 'G'], [(14, 10), (14, 12), (11, 6)], [False, False, False, False], 70, False, [True, True, True, False], 4485, 'North', (13, 11))
Element 16: (2, (13, 11), ['.', '', '', '%'], [(14, 9), (15, 12), (11, 5)], [False, False, False, True], 68, False, [True, False, False, False], 4514, 'West', (12, 11))
Element 17: (2, (12, 11), ['.', '.', '', ''], [(13, 9), (16, 12), (10, 5)], [False, False, False, False], 66, False, [True, True, False, False], 4543, 'South', (12, 10))
Element 18: (2, (12, 10), ['.', 'G', '', ''], [(12, 9), (16, 13), (10, 6)], [False, False, False, False], 64, False, [True, False, False, False], 4572, 'West', (11, 10))
Element 19: (2, (11, 10), ['.', '.', '.', ''], [(12, 8), (15, 13), (9, 6)], [False, False, False, False], 62, False, [True, True, True, False], 4601, 'North', (11, 11))
Element 20: (2, (11, 11), ['.', '', '', ''], [(13, 8), (14, 13), (9, 7)], [False, False, False, False], 60, False, [True, False, False, False], 4620, 'West', (10, 11))
Element 21: (2, (10, 11), ['', '.', '', ''], [(14, 8), (13, 13), (10, 7)], [False, False, False, False], 58, False, [False, True, False, False], 4639, 'South', (10, 10))
Element 22: (2, (10, 10), ['.', '%', '', ''], [(14, 7), (12, 13), (11, 7)], [False, True, False, False], 56, False, [True, False, False, False], 4658, 'West', (9, 10))
Element 23: (2, (9, 10), ['.', '%', '', ''], [(15, 7), (13, 13), (12, 7)], [False, True, False, False], 54, False, [True, False, False, False], 4667, 'West', (8, 10))
Element 24: (2, (8, 10), ['.', '%', '', ''], [(16, 7), (14, 13), (13, 7)], [False, True, False, False], 52, False, [True, False, False, False], 4676, 'West', (7, 10))
Element 25: (2, (7, 10), ['.', '%', '', ''], [(17, 7), (15, 13), (13, 8)], [False, True, False, False], 50, False, [True, False, False, False], 4685, 'West', (6, 10))
Element 26: (2, (6, 10), ['.', '%', '', ''], [(18, 7), (16, 13), (14, 8)], [False, True, False, False], 48, False, [True, False, False, False], 4694, 'West', (5, 10))
