Element 19: (2, (16, 11), ['%', '%', '', 'G'], [(17, 11), (14, 6), (15, 13)], [True, True, False, False], 62, False, [False, False, False, False], 4521, 'North', (16, 12))
Element 20: (2, (16, 12), ['', 'G', 'G', '%'], [(16, 11), (13, 6), (16, 13)], [False, False, False, True], 60, False, [False, False, False, False], 4530, 'West', (15, 12))
Element 21: (2, (15, 12), ['', '%', '', 'G'], [(17, 11), (13, 5), (16, 12)], [False, True, False, False], 58, False, [False, False, False, False], 4539, 'West', (14, 12))
Element 22: (2, (14, 12), ['', '%', '', ''], [(17, 10), (12, 5), (16, 11)], [False, True, False, False], 56, False, [False, False, False, False], 4548, 'East', (15, 12))
Element 23: (2, (15, 12), ['', '%', '', ''], [(17, 9), (12, 6), (17, 11)], [False, True, False, False], 54, False, [False, False, False, False], 4557, 'North', (15, 13))
Element 24: (2, (15, 13), ['', '', '%', ''], [(16, 9), (11, 6), (18, 11)], [False, False, True, False], 52, False, [False, False, False, False], 4566, 'East', (16, 13))
Element 25: (2, (16, 13), ['', '', '%', '%'], [(15, 9), (11, 5), (17, 11)], [False, False, True, True], 50, False, [False, False, False, False], 4575, 'West', (15, 13))
Element 26: (2, (15, 13), ['', '', '%', ''], [(14, 9), (10, 5), (17, 10)], [False, False, True, False], 48, False, [False, False, False, False], 4594, 'West', (14, 13))
Element 27: (2, (14, 13), ['', '', '%', ''], [(14, 8), (10, 6), (17, 9)], [False, False, True, False], 46, False, [False, False, False, False], 4613, 'West', (13, 13))
Element 28: (2, (13, 13), ['', '', '%', ''], [(13, 8), (9, 6), (18, 9)], [False, False, True, False], 44, False, [False, False, False, False], 4632, 'West', (12, 13))
Element 29: (2, (12, 13), ['%', '', '%', ''], [(13, 9), (9, 7), (17, 9)], [True, False, True, False], 42, False, [False, False, False, False], 4651, 'South', (12, 12))
Element 30: (2, (12, 12), ['', '', '', ''], [(12, 9), (9, 6), (16, 9)], [False, False, False, False], 40, False, [False, False, False, False], 4660, 'West', (11, 12))
Element 31: (2, (11, 12), ['', '', '%', ''], [(12, 8), (9, 5), (15, 9)], [False, False, True, False], 38, False, [False, False, False, False], 4679, 'West', (10, 12))
Element 32: (2, (10, 12), ['', '', '%', ''], [(12, 7), (8, 5), (15, 10)], [False, False, True, False], 36, False, [False, False, False, False], 4688, 'West', (9, 12))
Element 33: (2, (9, 12), ['%', '', '%', ''], [(13, 7), (8, 6), (14, 10)], [True, False, True, False], 34, False, [False, False, False, False], 4697, 'East', (10, 12))
Element 34: (2, (10, 12), ['', '', '%', ''], [(14, 7), (7, 6), (14, 9)], [False, False, True, False], 32, False, [False, False, False, False], 4706, 'East', (11, 12))
Element 35: (2, (11, 12), ['', '', '%', ''], [(15, 7), (7, 5), (14, 8)], [False, False, True, False], 30, False, [False, False, False, False], 4715, 'East', (12, 12))
Element 36: (2, (12, 12), ['', '', '', ''], [(16, 7), (6, 5), (14, 7)], [False, False, False, False], 28, False, [False, False, False, False], 4724, 'North', (12, 13))
Element 37: #1#
