Element 1: (2, (11, 2), ['.', 'F', '%', '.'], [(16, 2), (5, 8), (17, 6)], [False, False, True, False], 98, False, [True, False, False, True], 19, 'South', (11, 1))
Element 2: (2, (11, 1), ['.', '%', '', '.'], [(17, 2), (6, 8), (18, 6)], [False, True, False, False], 96, False, [True, False, False, True], 1048, 'East', (12, 1))
Element 3: (2, (12, 1), ['', '%', '.', '.'], [(17, 1), (7, 8), (18, 7)], [False, True, False, False], 94, False, [False, False, True, True], 1087, 'East', (13, 1))
Element 4: (2, (13, 1), ['', '%', '.', '%'], [(18, 1), (8, 8), (18, 8)], [False, True, False, True], 92, False, [False, False, True, False], 1126, 'North', (13, 2))
Element 5: (2, (13, 2), ['.', '', '.', '%'], [(18, 2), (9, 8), (18, 9)], [False, False, False, True], 90, False, [True, False, True, False], 1155, 'North', (13, 3))
Element 6: (2, (13, 3), ['%', '', '.', '%'], [(18, 3), (10, 8), (18, 10)], [True, False, False, True], 88, False, [False, False, True, False], 1194, 'North', (13, 4))
Element 7: (2, (13, 4), ['.', '', '.', '.'], [(18, 2), (11, 8), (17, 10)], [False, False, False, False], 86, False, [True, False, True, True], 1223, 'East', (14, 4))
Element 8: (2, (14, 4), ['', '%', '%', '.'], [(18, 1), (12, 8), (16, 10)], [False, True, True, False], 84, False, [False, False, False, True], 1252, 'East', (15, 4))
Element 9: (2, (15, 4), ['', '.', '%', '.'], [(17, 1), (13, 8), (15, 10)], [False, False, True, False], 82, False, [False, True, False, True], 1281, 'East', (16, 4))
Element 10: (2, (16, 4), ['', '%', '.', '.'], [(16, 1), (14, 8), (15, 9)], [False, True, False, False], 80, False, [False, False, True, True], 1320, 'East', (17, 4))
Element 11: (2, (17, 4), ['', '%', '%', '%'], [(15, 1), (13, 8), (15, 8)], [False, True, True, True], 78, False, [False, False, False, False], 1349, 'West', (16, 4))
Element 12: (2, (16, 4), ['', '%', '.', ''], [(16, 1), (13, 9), (16, 8)], [False, True, False, False], 76, False, [False, False, True, False], 1368, 'North', (16, 5))
Element 13: (2, (16, 5), ['%', '', '.', '%'], [(17, 1), (13, 10), (16, 7)], [True, False, False, True], 74, False, [False, False, True, False], 1397, 'North', (16, 6))
Element 14: (2, (16, 6), ['.', '', '', ''], [(17, 2), (12, 10), (16, 8)], [False, False, False, False], 72, False, [True, False, False, False], 2406, 'West', (15, 6))
Element 15: (2, (15, 6), ['.', '%', '%', ''], [(18, 2), (11, 10), (15, 8)], [False, True, True, False], 70, False, [True, False, False, False], 3415, 'West', (14, 6))
Element 16: (2, (14, 6), ['.', '%', '%', ''], [(17, 2), (10, 10), (14, 8)], [False, True, True, False], 68, False, [True, False, False, False], 3434, 'West', (13, 6))
Element 17: (2, (13, 6), ['%', '.', '.', ''], [(16, 2), (9, 10), (13, 8)], [True, False, False, False], 66, False, [False, True, True, False], 3453, 'North', (13, 7))
Element 18: (2, (13, 7), ['%', '', '', '%'], [(16, 1), (8, 10), (13, 9)], [True, False, False, True], 64, False, [False, False, False, False], 3472, 'North', (13, 8))
Element 19: (2, (13, 8), ['', '', '', ''], [(16, 2), (7, 10), (13, 10)], [False, False, False, False], 62, False, [False, False, False, False], 3481, 'East', (14, 8))
Element 20: (2, (14, 8), ['', '%', '%', ''], [(15, 2), (6, 10), (12, 10)], [False, True, True, False], 60, False, [False, False, False, False], 3490, 'East', (15, 8))
Element 21: (2, (15, 8), ['', '%', '', ''], [(15, 3), (6, 9), (11, 10)], [False, True, False, False], 58, False, [False, False, False, False], 3509, 'East', (16, 8))
Element 22: (2, (16, 8), ['', '', '%', '%'], [(15, 4), (6, 10), (10, 10)], [False, False, True, True], 56, False, [False, False, False, False], 3508, 'South', (16, 7))
Element 23: (2, (16, 7), ['%', '', '', '%'], [(16, 4), (7, 10), (9, 10)], [True, False, False, True], 54, False, [False, False, False, False], 3507, 'North', (16, 8))
Element 24: (2, (16, 8), ['', '', '%', '%'], [(17, 4), (6, 10), (8, 10)], [False, False, True, True], 52, False, [False, False, False, False], 3506, 'West', (15, 8))
Element 25: (2, (15, 8), ['', '%', '', ''], [(16, 4), (7, 10), (7, 10)], [False, True, False, False], 50, False, [False, False, False, False], 3505, 'North', (15, 9))
Element 26: (2, (15, 9), ['%', '', '', '%'], [(16, 5), (8, 10), (6, 10)], [True, False, False, True], 48, False, [False, False, False, False], 3504, 'North', (15, 10))
Element 27: (2, (15, 10), ['%', '', '%', ''], [(16, 6), (9, 10), (6, 9)], [True, False, True, False], 46, False, [False, False, False, False], 3503, 'East', (16, 10))
Element 28: (2, (16, 10), ['', '%', '%', ''], [(17, 6), (10, 10), (6, 8)], [False, True, True, False], 44, False, [False, False, False, False], 3502, 'East', (17, 10))
Element 29: (2, (17, 10), ['', '%', '%', ''], [(18, 6), (11, 10), (6, 7)], [False, True, True, False], 42, False, [False, False, False, False], 3511, 'East', (18, 10))
Element 30: (2, (18, 10), ['', '', '%', '%'], [(18, 5), (11, 10), (6, 6)], [False, False, True, True], 40, False, [False, False, False, False], 3530, 'South', (18, 9))
Element 31: (2, (18, 9), ['%', '', '', '%'], [(18, 6), (11, 10), (6, 5)], [True, False, False, True], 38, False, [False, False, False, False], 3539, 'South', (18, 8))
Element 32: #1#
