Element 38: (1, (18, 6), ['', '', '', '%'], [(16, 1), (18, 3), (16, 6)], [False, False, False, True], 24, False, [False, False, False, False], 2612, 'Stop', (18, 6))
Element 39: (1, (18, 6), ['', '', '', '%'], [(15, 1), (18, 2), (16, 7)], [False, False, False, True], 22, False, [False, False, False, False], 2611, 'North', (18, 7))
Element 40: (1, (18, 7), ['%', '', '', '%'], [(16, 1), (18, 1), (16, 8)], [True, False, False, True], 20, False, [False, False, False, False], 2610, 'North', (18, 8))
Element 41: (1, (18, 8), ['%', '', '', '%'], [(15, 1), (17, 1), (16, 8)], [True, False, False, True], 18, False, [False, False, False, False], 2609, 'North', (18, 9))
Element 42: (1, (18, 9), ['%', '', '', '%'], [(16, 1), (16, 1), (16, 8)], [True, False, False, True], 16, False, [False, False, False, False], 2608, 'North', (18, 10))
Element 43: (1, (18, 10), ['', '', '%', '%'], [(16, 2), (15, 1), (16, 8)], [False, False, True, True], 14, False, [False, False, False, False], 2607, 'West', (17, 10))
Element 44: (1, (17, 10), ['', '%', '%', ''], [(17, 2), (16, 1), (16, 8)], [False, True, True, False], 12, False, [False, False, False, False], 2606, 'West', (16, 10))
Element 45: (1, (16, 10), ['', '%', '%', ''], [(16, 2), (17, 1), (16, 8)], [False, True, True, False], 10, False, [False, False, False, False], 2605, 'West', (15, 10))
Element 46: (1, (15, 10), ['%', '', '%', ''], [(17, 2), (18, 1), (16, 8)], [True, False, True, False], 8, False, [False, False, False, False], 2604, 'South', (15, 9))
Element 47: (1, (15, 9), ['%', 'G', '', '%'], [(16, 2), (18, 2), (15, 8)], [True, False, False, True], 6, False, [False, False, False, False], 2603, 'North', (15, 10))
Element 48: (1, (15, 10), ['%', '', '%', ''], [(16, 1), (17, 2), (14, 8)], [True, False, True, False], 4, False, [False, False, False, False], 2602, 'South', (15, 9))
Element 49: (1, (15, 9), ['%', '', '', '%'], [(16, 2), (17, 1), (13, 8)], [True, False, False, True], 2, False, [False, False, False, False], 2601, 'South', (15, 8))
Element 50: (1, (15, 8), ['', '%', '', ''], [(16, 2), (17, 2), (12, 8)], [False, True, False, False], 0, False, [False, False, False, False], 2600, 'Stop', (15, 8))
Element 51: #0#
