Element 1: (3, (18, 6), ['.', '.', '.', '%'], [(3, 8), (11, 8), (15, 6)], [False, False, False, True], 98, False, [True, True, True, False], 29, 'North', (18, 7))
Element 2: (3, (18, 7), ['%', '', '.', '%'], [(4, 8), (12, 8), (16, 6)], [True, False, False, True], 96, False, [False, False, True, False], 68, 'North', (18, 8))
Element 3: (3, (18, 8), ['%', '', '.', '%'], [(5, 8), (13, 8), (17, 6)], [True, False, False, True], 94, False, [False, False, True, False], 107, 'North', (18, 9))
Element 4: (3, (18, 9), ['%', '', '.', '%'], [(6, 8), (14, 8), (18, 6)], [True, False, False, True], 92, False, [False, False, True, False], 136, 'North', (18, 10))
Element 5: (3, (18, 10), ['.', '', '%', '%'], [(7, 8), (15, 8), (18, 5)], [False, False, True, True], 90, False, [True, False, False, False], 175, 'West', (17, 10))
Element 6: (3, (17, 10), ['.', '%', '%', ''], [(8, 8), (16, 8), (18, 6)], [False, True, True, False], 88, False, [True, False, False, False], 204, 'West', (16, 10))
Element 7: (3, (16, 10), ['.', '%', '%', ''], [(9, 8), (16, 7), (18, 7)], [False, True, True, False], 86, False, [True, False, False, False], 233, 'West', (15, 10))
Element 8: (3, (15, 10), ['%', '.', '%', ''], [(10, 8), (16, 6), (18, 8)], [True, False, True, False], 84, False, [False, True, False, False], 242, 'South', (15, 9))
Element 9: (3, (15, 9), ['%', '', '', '%'], [(11, 8), (16, 5), (18, 9)], [True, False, False, True], 82, False, [False, False, False, False], 261, 'South', (15, 8))
Element 10: (3, (15, 8), ['', '%', '', ''], [(12, 8), (16, 4), (18, 10)], [False, True, False, False], 80, False, [False, False, False, False], 270, 'East', (16, 8))
Element 11: (3, (16, 8), ['', '', '%', '%'], [(13, 8), (17, 4), (17, 10)], [False, False, True, True], 78, False, [False, False, False, False], 279, 'South', (16, 7))
Element 12: (3, (16, 7), ['%', '', '', '%'], [(13, 9), (16, 4), (16, 10)], [True, False, False, True], 76, False, [False, False, False, False], 288, 'South', (16, 6))
Element 13: (3, (16, 6), ['', '', '', ''], [(13, 10), (15, 4), (15, 10)], [False, False, False, False], 74, False, [False, False, False, False], 307, 'East', (17, 6))
Element 14: (3, (17, 6), ['', '%', '%', ''], [(12, 10), (15, 3), (15, 9)], [False, True, True, False], 72, False, [False, False, False, False], 1316, 'West', (16, 6))
Element 15: (3, (16, 6), ['', '', '', ''], [(11, 10), (15, 2), (15, 8)], [False, False, False, False], 70, False, [False, False, False, False], 2325, 'South', (16, 5))
Element 16: (3, (16, 5), ['%', '', '', '%'], [(10, 10), (16, 2), (16, 8)], [True, False, False, True], 68, False, [False, False, False, False], 2344, 'South', (16, 4))
Element 17: (3, (16, 4), ['', '%', '', ''], [(9, 10), (17, 2), (16, 7)], [False, True, False, False], 66, False, [False, False, False, False], 2363, 'East', (17, 4))
Element 18: (3, (17, 4), ['', '%', '%', '%'], [(8, 10), (17, 1), (16, 8)], [False, True, True, True], 64, False, [False, False, False, False], 2382, 'West', (16, 4))
Element 19: (3, (16, 4), ['', '%', '', ''], [(7, 10), (18, 1), (15, 8)], [False, True, False, False], 62, False, [False, False, False, False], 2401, 'West', (15, 4))
Element 20: (3, (15, 4), ['.', '', '%', ''], [(6, 10), (18, 2), (14, 8)], [False, False, True, False], 60, False, [True, False, False, False], 2410, 'West', (14, 4))
Element 21: (3, (14, 4), ['.', '%', '%', ''], [(6, 9), (18, 3), (13, 8)], [False, True, True, False], 58, False, [True, False, False, False], 2439, 'West', (13, 4))
Element 22: (3, (13, 4), ['.', '.', '.', ''], [(6, 10), (18, 2), (13, 7)], [False, False, False, False], 56, False, [True, True, True, False], 2458, 'North', (13, 5))
Element 23: (3, (13, 5), ['%', '', 'G', '%'], [(7, 10), (18, 1), (13, 6)], [True, False, False, True], 54, False, [False, False, False, False], 2477, 'South', (13, 4))
Element 24: (3, (13, 4), ['.', '.', 'G', ''], [(8, 10), (17, 1), (13, 5)], [False, False, False, False], 52, False, [True, True, False, False], 2476, 'South', (13, 3))
Element 25: (3, (13, 3), ['%', '.', 'G', '%'], [(9, 10), (16, 1), (13, 4)], [True, False, False, True], 50, False, [False, True, False, False], 2495, 'South', (13, 2))
Element 26: (3, (13, 2), ['.', '.', '', '%'], [(10, 10), (15, 1), (12, 4)], [False, False, False, True], 48, False, [True, True, False, False], 2524, 'South', (13, 1))
Element 27: (3, (13, 1), ['.', '%', '', '%'], [(11, 10), (16, 1), (11, 4)], [False, True, False, True], 46, False, [True, False, False, False], 2543, 'West', (12, 1))
Element 28: (3, (12, 1), ['F', '%', '.', ''], [(12, 10), (17, 1), (10, 4)], [False, True, False, False], 44, False, [False, False, True, False], 2562, 'West', (11, 1))
Element 29: (3, (11, 1), ['.', '%', '.', ''], [(13, 10), (17, 2), (9, 4)], [False, True, False, False], 42, False, [True, False, True, False], 3571, 'North', (11, 2))
Element 30: (3, (11, 2), ['.', '', '%', '.'], [(13, 9), (18, 2), (8, 4)], [False, False, True, False], 40, False, [True, False, False, True], 3580, 'East', (12, 2))
Element 31: (3, (12, 2), ['', '', '%', ''], [(13, 8), (17, 2), (7, 4)], [False, False, True, False], 38, False, [False, False, False, False], 3599, 'West', (11, 2))
Element 32: #1#
