Element 1: (0, (18, 5), ['%', '%', '.', '%'], [(3, 2), (6, 7), (15, 9)], [True, True, False, True], 98, False, [False, False, True, False], 0, 'North', (18, 6))
Element 2: (0, (18, 6), ['.', '', '.', '%'], [(4, 2), (6, 8), (15, 10)], [False, False, False, True], 96, False, [True, False, True, False], 39, 'North', (18, 7))
Element 3: (0, (18, 7), ['%', '', '.', '%'], [(4, 3), (7, 8), (16, 10)], [True, False, False, True], 94, False, [False, False, True, False], 78, 'North', (18, 8))
Element 4: (0, (18, 8), ['%', '', '.', '%'], [(4, 4), (8, 8), (17, 10)], [True, False, False, True], 92, False, [False, False, True, False], 117, 'North', (18, 9))
Element 5: (0, (18, 9), ['%', '', 'G', '%'], [(5, 4), (9, 8), (18, 10)], [True, False, False, True], 90, False, [False, False, False, False], 156, 'South', (18, 8))
Element 6: (0, (18, 8), ['%', '', 'G', '%'], [(6, 4), (10, 8), (18, 9)], [True, False, False, True], 88, False, [False, False, False, False], 175, 'South', (18, 7))
Element 7: (0, (18, 7), ['%', '', 'G', '%'], [(7, 4), (11, 8), (18, 8)], [True, False, False, True], 86, False, [False, False, False, False], 194, 'South', (18, 6))
Element 8: (0, (18, 6), ['.', '', 'G', '%'], [(7, 5), (12, 8), (18, 7)], [False, False, False, True], 84, False, [True, False, False, False], 1203, 'West', (17, 6))
Element 9: (0, (17, 6), ['.', '%', '%', 'G'], [(6, 5), (13, 8), (18, 6)], [False, True, True, False], 82, False, [True, False, False, False], 1232, 'West', (16, 6))
Element 10: (0, (16, 6), ['.', '.', '.', ''], [(6, 6), (14, 8), (18, 5)], [False, False, False, False], 80, False, [True, True, True, False], 1261, 'North', (16, 7))
Element 11: (0, (16, 7), ['%', '', '.', '%'], [(5, 6), (15, 8), (18, 6)], [True, False, False, True], 78, False, [False, False, True, False], 1290, 'North', (16, 8))
Element 12: (0, (16, 8), ['', '', '%', '%'], [(4, 6), (15, 9), (17, 6)], [False, False, True, True], 76, False, [False, False, False, False], 1309, 'West', (15, 8))
Element 13: (0, (15, 8), ['', '%', '', ''], [(3, 6), (15, 10), (16, 6)], [False, True, False, False], 74, False, [False, False, False, False], 1318, 'North', (15, 9))
Element 14: (0, (15, 9), ['%', '', '', '%'], [(3, 7), (16, 10), (16, 5)], [True, False, False, True], 72, False, [False, False, False, False], 1337, 'North', (15, 10))
Element 15: (0, (15, 10), ['%', '', '%', ''], [(3, 8), (17, 10), (16, 4)], [True, False, True, False], 70, False, [False, False, False, False], 1356, 'East', (16, 10))
Element 16: (0, (16, 10), ['', '%', '%', ''], [(4, 8), (18, 10), (17, 4)], [False, True, True, False], 68, False, [False, False, False, False], 1375, 'East', (17, 10))
Element 17: (0, (17, 10), ['', '%', '%', ''], [(5, 8), (18, 9), (16, 4)], [False, True, True, False], 66, False, [False, False, False, False], 1384, 'East', (18, 10))
Element 18: (0, (18, 10), ['', '', '%', '%'], [(6, 8), (18, 8), (15, 4)], [False, False, True, True], 64, False, [False, False, False, False], 1393, 'West', (17, 10))
Element 19: (0, (17, 10), ['', '%', '%', ''], [(6, 9), (18, 7), (15, 3)], [False, True, True, False], 62, False, [False, False, False, False], 1412, 'West', (16, 10))
Element 20: (0, (16, 10), ['', '%', '%', ''], [(6, 10), (18, 6), (15, 2)], [False, True, True, False], 60, False, [False, False, False, False], 1431, 'West', (15, 10))
Element 21: (0, (15, 10), ['%', '', '%', ''], [(7, 10), (18, 5), (16, 2)], [True, False, True, False], 58, False, [False, False, False, False], 1450, 'South', (15, 9))
Element 22: (0, (15, 9), ['%', '', '', '%'], [(8, 10), (18, 6), (17, 2)], [True, False, False, True], 56, False, [False, False, False, False], 1469, 'South', (15, 8))
Element 23: (0, (15, 8), ['', '%', '', ''], [(9, 10), (17, 6), (17, 1)], [False, True, False, False], 54, False, [False, False, False, False], 1488, 'West', (14, 8))
Element 24: (0, (14, 8), ['', '%', '%', ''], [(10, 10), (16, 6), (18, 1)], [False, True, True, False], 52, False, [False, False, False, False], 1507, 'West', (13, 8))
Element 25: (0, (13, 8), ['', '.', '.', ''], [(11, 10), (15, 6), (18, 2)], [False, False, False, False], 50, False, [False, True, True, False], 2516, 'North', (13, 9))
Element 26: (0, (13, 9), ['%', '', '.', '%'], [(12, 10), (14, 6), (18, 3)], [True, False, False, True], 48, False, [False, False, True, False], 3545, 'North', (13, 10))
Element 27: (0, (13, 10), ['', '', '%', '%'], [(11, 10), (13, 6), (18, 2)], [False, False, True, True], 46, False, [False, False, False, False], 3564, 'West', (12, 10))
Element 28: (0, (12, 10), ['', '%', '%', ''], [(10, 10), (13, 7), (18, 1)], [False, True, True, False], 44, False, [False, False, False, False], 3573, 'West', (11, 10))
