Element 1: (2, (3, 8), ['%', '.', '%', '.'], [(13, 2), (1, 5), (14, 8)], [True, False, True, False], 98, False, [False, True, False, True], 19, 'East', (4, 8))
Element 2: (2, (4, 8), ['', '%', '.', '.'], [(13, 3), (1, 6), (15, 8)], [False, True, False, False], 96, False, [False, False, True, True], 58, 'East', (5, 8))
Element 3: (2, (5, 8), ['', '%', '%', '.'], [(13, 4), (2, 6), (16, 8)], [False, True, True, False], 94, False, [False, False, False, True], 97, 'East', (6, 8))
Element 4: (2, (6, 8), ['', '.', '.', '.'], [(14, 4), (3, 6), (16, 7)], [False, False, False, False], 92, False, [False, True, True, True], 136, 'East', (7, 8))
Element 5: (2, (7, 8), ['', '%', '%', '.'], [(15, 4), (4, 6), (16, 6)], [False, True, True, False], 90, False, [False, False, False, True], 175, 'East', (8, 8))
Element 6: (2, (8, 8), ['', '%', '%', '.'], [(16, 4), (5, 6), (17, 6)], [False, True, True, False], 88, False, [False, False, False, True], 214, 'East', (9, 8))
Element 7: (2, (9, 8), ['', '', '%', '.'], [(17, 4), (6, 6), (18, 6)], [False, False, True, False], 86, False, [False, False, False, True], 253, 'East', (10, 8))
Element 8: (2, (10, 8), ['', '', '%', '.'], [(16, 4), (6, 7), (18, 7)], [False, False, True, False], 84, False, [False, False, False, True], 282, 'East', (11, 8))
Element 9: (2, (11, 8), ['', '%', '%', '.'], [(16, 5), (6, 8), (18, 8)], [False, True, True, False], 82, False, [False, False, False, True], 311, 'East', (12, 8))
Element 10: (2, (12, 8), ['', '%', '%', '.'], [(16, 6), (6, 9), (18, 9)], [False, True, True, False], 80, False, [False, False, False, True], 340, 'East', (13, 8))
Element 11: (2, (13, 8), ['', '.', '.', ''], [(15, 6), (6, 10), (18, 10)], [False, False, False, False], 78, False, [False, True, True, False], 379, 'North', (13, 9))
Element 12: (2, (13, 9), ['%', '', '.', '%'], [(14, 6), (7, 10), (17, 10)], [True, False, False, True], 76, False, [False, False, True, False], 418, 'North', (13, 10))
Element 13: (2, (13, 10), ['F', '', '%', '%'], [(13, 6), (8, 10), (16, 10)], [False, False, True, True], 74, False, [False, False, False, False], 457, 'West', (12, 10))
Element 14: (2, (12, 10), ['F', '%', '%', ''], [(13, 7), (9, 10), (15, 10)], [False, True, True, False], 72, False, [False, False, False, False], 1486, 'West', (11, 10))
Element 15: (2, (11, 10), ['G', '%', '%', ''], [(13, 8), (10, 10), (15, 9)], [False, True, True, False], 70, False, [False, False, False, False], 2505, 'East', (12, 10))
Element 16: (2, (12, 10), ['G', '%', '%', ''], [(14, 8), (11, 10), (15, 10)], [False, True, True, False], 68, False, [False, False, False, False], 2504, 'East', (13, 10))
Element 17: (2, (13, 10), ['G', '', '%', '%'], [(15, 8), (12, 10), (16, 10)], [False, False, True, True], 66, False, [False, False, False, False], 2503, 'South', (13, 9))
Element 18: (2, (13, 9), ['%', '', 'G', '%'], [(16, 8), (13, 10), (17, 10)], [True, False, False, True], 64, False, [False, False, False, False], 2502, 'South', (13, 8))
Element 19: (2, (13, 8), ['', '', 'G', ''], [(16, 7), (13, 9), (18, 10)], [False, False, False, False], 62, False, [False, False, False, False], 2501, 'South', (13, 7))
Element 20: (2, (13, 7), ['%', '', 'G', '%'], [(16, 8), (13, 8), (18, 9)], [True, False, False, True], 60, False, [False, False, False, False], 2500, 'South', (13, 6))
Element 21: (2, (13, 6), ['%', '.', '', ''], [(15, 8), (14, 8), (18, 8)], [True, False, False, False], 58, False, [False, True, False, False], 2499, 'South', (13, 5))
