Element 1: (0, (9, 4), ['', '%', '%', '.'], [(7, 8), (9, 1), (15, 10)], [False, True, True, False], 98, False, [False, False, False, True], 0, 'East', (10, 4))
Element 2: (0, (10, 4), ['', '%', '%', '.'], [(8, 8), (10, 1), (16, 10)], [False, True, True, False], 96, False, [False, False, False, True], 39, 'East', (11, 4))
Element 3: (0, (11, 4), ['', '%', '%', '.'], [(9, 8), (11, 1), (17, 10)], [False, True, True, False], 94, False, [False, False, False, True], 1068, 'East', (12, 4))
Element 4: (0, (12, 4), ['', '%', '%', '.'], [(10, 8), (12, 1), (18, 10)], [False, True, True, False], 92, False, [False, False, False, True], 1107, 'East', (13, 4))
Element 5: (0, (13, 4), ['', '.', '.', '.'], [(11, 8), (13, 1), (18, 9)], [False, False, False, False], 90, False, [False, True, True, True], 1146, 'East', (14, 4))
Element 6: (0, (14, 4), ['', '%', '%', '.'], [(12, 8), (13, 2), (18, 8)], [False, True, True, False], 88, False, [False, False, False, True], 1185, 'East', (15, 4))
Element 7: (0, (15, 4), ['', '.', '%', '.'], [(13, 8), (13, 3), (18, 7)], [False, False, True, False], 86, False, [False, True, False, True], 1224, 'East', (16, 4))
Element 8: (0, (16, 4), ['', '%', '.', '.'], [(14, 8), (13, 4), (18, 6)], [False, True, False, False], 84, False, [False, False, True, True], 1253, 'East', (17, 4))
Element 9: (0, (17, 4), ['', '%', '%', '%'], [(15, 8), (13, 5), (18, 5)], [False, True, True, True], 82, False, [False, False, False, False], 1292, 'West', (16, 4))
Element 10: (0, (16, 4), ['', '%', '.', ''], [(16, 8), (13, 6), (18, 6)], [False, True, False, False], 80, False, [False, False, True, False], 1311, 'North', (16, 5))
Element 11: (0, (16, 5), ['%', '', '.', '%'], [(16, 7), (14, 6), (17, 6)], [True, False, False, True], 78, False, [False, False, True, False], 1350, 'North', (16, 6))
Element 12: (0, (16, 6), ['G', '', '', ''], [(16, 8), (15, 6), (18, 6)], [False, False, False, False], 76, False, [False, False, False, False], 1369, 'East', (17, 6))
Element 13: (0, (17, 6), ['G', '%', '%', ''], [(15, 8), (16, 6), (18, 7)], [False, True, True, False], 74, False, [False, False, False, False], 1368, 'East', (18, 6))
Element 14: (0, (18, 6), ['G', '', '', '%'], [(15, 9), (17, 6), (18, 8)], [False, False, False, True], 72, False, [False, False, False, False], 1377, 'North', (18, 7))
Element 15: (0, (18, 7), ['%', 'G', '', '%'], [(15, 10), (18, 6), (18, 9)], [True, False, False, True], 70, False, [False, False, False, False], 1376, 'North', (18, 8))
Element 16: (0, (18, 8), ['%', 'G', '', '%'], [(16, 10), (18, 7), (18, 10)], [True, False, False, True], 68, False, [False, False, False, False], 1375, 'North', (18, 9))
Element 17: (0, (18, 9), ['%', 'G', 'G', '%'], [(17, 10), (18, 8), (18, 10)], [True, False, False, True], 66, False, [False, False, False, False], 1374, 'Stop', (18, 9))
Element 18: (0, (18, 9), ['%', '', '', '%'], [(16, 10), (18, 7), (17, 10)], [True, False, False, True], 64, False, [False, False, False, False], 1373, 'South', (18, 8))
Element 19: (0, (18, 8), ['%', '', '', '%'], [(15, 10), (18, 6), (16, 10)], [True, False, False, True], 62, False, [False, False, False, False], 1372, 'South', (18, 7))
Element 20: (0, (18, 7), ['%', '', '', '%'], [(15, 9), (18, 5), (15, 10)], [True, False, False, True], 60, False, [False, False, False, False], 1371, 'South', (18, 6))
Element 21: (0, (18, 6), ['', 'G', '', '%'], [(15, 8), (18, 5), (15, 10)], [False, False, False, True], 58, False, [False, False, False, False], 1370, 'Stop', (18, 6))
Element 22: (0, (18, 6), ['', '', '', '%'], [(14, 8), (18, 6), (15, 10)], [False, False, False, True], 56, False, [False, False, False, False], 1369, 'West', (17, 6))
Element 23: (0, (17, 6), ['', '%', '%', ''], [(13, 8), (17, 6), (16, 10)], [False, True, True, False], 54, False, [False, False, False, False], 1368, 'West', (16, 6))
Element 24: (0, (16, 6), ['', '', '', 'G'], [(13, 9), (17, 6), (17, 10)], [False, False, False, False], 52, False, [False, False, False, False], 1377, 'North', (16, 7))
Element 25: (0, (16, 7), ['%', 'G', '', '%'], [(13, 10), (16, 6), (18, 10)], [True, False, False, True], 50, False, [False, False, False, False], 1386, 'North', (16, 8))
Element 26: (0, (16, 8), ['', '', '%', '%'], [(12, 10), (16, 5), (18, 9)], [False, False, True, True], 48, False, [False, False, False, False], 2385, 'West', (15, 8))
Element 27: (0, (15, 8), ['', '%', '', ''], [(11, 10), (16, 4), (18, 8)], [False, True, False, False], 46, False, [False, False, False, False], 3384, 'North', (15, 9))
Element 28: (0, (15, 9), ['%', '', '', '%'], [(10, 10), (17, 4), (18, 7)], [True, False, False, True], 44, False, [False, False, False, False], 3393, 'North', (15, 10))
