Element 1: (1, (10, 8), ['.', '', '%', '.'], [(3, 8), (14, 6), (18, 6)], [False, False, True, False], 98, False, [True, False, False, True], 9, 'East', (11, 8))
Element 2: (1, (11, 8), ['', '%', '%', '.'], [(4, 8), (15, 6), (18, 7)], [False, True, True, False], 96, False, [False, False, False, True], 48, 'East', (12, 8))
Element 3: (1, (12, 8), ['', '%', '%', '.'], [(5, 8), (16, 6), (18, 8)], [False, True, True, False], 94, False, [False, False, False, True], 87, 'East', (13, 8))
Element 4: (1, (13, 8), ['', '.', '.', '.'], [(6, 8), (17, 6), (18, 9)], [False, False, False, False], 92, False, [False, True, True, True], 126, 'East', (14, 8))
Element 5: (1, (14, 8), ['', '%', '%', '.'], [(7, 8), (18, 6), (18, 10)], [False, True, True, False], 90, False, [False, False, False, True], 155, 'East', (15, 8))
Element 6: (1, (15, 8), ['', '%', '.', '.'], [(8, 8), (18, 5), (17, 10)], [False, True, False, False], 88, False, [False, False, True, True], 194, 'East', (16, 8))
Element 7: (1, (16, 8), ['', '.', '%', '%'], [(9, 8), (18, 6), (16, 10)], [False, False, True, True], 86, False, [False, True, False, False], 223, 'South', (16, 7))
Element 8: (1, (16, 7), ['%', '', '', '%'], [(10, 8), (18, 7), (15, 10)], [True, False, False, True], 84, False, [False, False, False, False], 242, 'South', (16, 6))
Element 9: (1, (16, 6), ['', '.', '', ''], [(11, 8), (18, 8), (15, 9)], [False, False, False, False], 82, False, [False, True, False, False], 251, 'South', (16, 5))
Element 10: (1, (16, 5), ['%', '.', '', '%'], [(12, 8), (18, 9), (15, 8)], [True, False, False, True], 80, False, [False, True, False, False], 260, 'South', (16, 4))
Element 11: (1, (16, 4), ['.', '%', '', '.'], [(13, 8), (18, 10), (16, 8)], [False, True, False, False], 78, False, [True, False, False, True], 269, 'East', (17, 4))
Element 12: (1, (17, 4), ['', '%', '%', '%'], [(13, 9), (17, 10), (16, 7)], [False, True, True, True], 76, False, [False, False, False, False], 288, 'West', (16, 4))
Element 13: (1, (16, 4), ['.', '%', '', ''], [(13, 10), (16, 10), (16, 6)], [False, True, False, False], 74, False, [True, False, False, False], 297, 'West', (15, 4))
Element 14: (1, (15, 4), ['.', '.', '%', ''], [(12, 10), (15, 10), (17, 6)], [False, False, True, False], 72, False, [True, True, False, False], 1306, 'South', (15, 3))
Element 15: (1, (15, 3), ['%', '.', '', '%'], [(11, 10), (15, 9), (16, 6)], [True, False, False, True], 70, False, [False, True, False, False], 2315, 'South', (15, 2))
Element 16: (1, (15, 2), ['%', '.', '', '.'], [(10, 10), (15, 8), (16, 5)], [True, False, False, False], 68, False, [False, True, False, True], 2334, 'East', (16, 2))
Element 17: (1, (16, 2), ['', '.', '%', '.'], [(9, 10), (16, 8), (16, 4)], [False, False, True, False], 66, False, [False, True, False, True], 2353, 'East', (17, 2))
Element 18: (1, (17, 2), ['', '.', '%', ''], [(8, 10), (16, 7), (17, 4)], [False, False, True, False], 64, False, [False, True, False, False], 2372, 'South', (17, 1))
Element 19: (1, (17, 1), ['.', '%', '', '.'], [(7, 10), (16, 8), (16, 4)], [False, True, False, False], 62, False, [True, False, False, True], 2391, 'East', (18, 1))
Element 20: (1, (18, 1), ['', '%', '', '%'], [(6, 10), (15, 8), (15, 4)], [False, True, False, True], 60, False, [False, False, False, False], 2410, 'North', (18, 2))
Element 21: (1, (18, 2), ['', '', '.', '%'], [(6, 9), (14, 8), (14, 4)], [False, False, False, True], 58, False, [False, False, True, False], 2429, 'North', (18, 3))
Element 22: (1, (18, 3), ['%', '', '%', '%'], [(6, 10), (13, 8), (13, 4)], [True, False, True, True], 56, False, [False, False, False, False], 2448, 'South', (18, 2))
Element 23: (1, (18, 2), ['', '', '', '%'], [(7, 10), (13, 7), (13, 5)], [False, False, False, True], 54, False, [False, False, False, False], 2467, 'South', (18, 1))
Element 24: (1, (18, 1), ['', '%', '', '%'], [(8, 10), (13, 6), (13, 4)], [False, True, False, True], 52, False, [False, False, False, False], 2476, 'West', (17, 1))
Element 25: (1, (17, 1), ['.', '%', '', ''], [(9, 10), (13, 5), (13, 3)], [False, True, False, False], 50, False, [True, False, False, False], 2485, 'West', (16, 1))
Element 26: (1, (16, 1), ['.', '%', '', ''], [(10, 10), (13, 4), (13, 2)], [False, True, False, False], 48, False, [True, False, False, False], 2504, 'West', (15, 1))
Element 27: (1, (15, 1), ['%', '%', '', ''], [(11, 10), (12, 4), (13, 1)], [True, True, False, False], 46, False, [False, False, False, False], 2533, 'East', (16, 1))
Element 28: (1, (16, 1), ['', '%', '', ''], [(12, 10), (11, 4), (12, 1)], [False, True, False, False], 44, False, [False, False, False, False], 2552, 'East', (17, 1))
Element 29: (1, (17, 1), ['', '%', '', ''], [(13, 10), (10, 4), (11, 1)], [False, True, False, False], 42, False, [False, False, False, False], 3561, 'North', (17, 2))
Element 30: (1, (17, 2), ['', '', '%', ''], [(13, 9), (9, 4), (11, 2)], [False, False, True, False], 40, False, [False, False, False, False], 3580, 'East', (18, 2))
Element 31: (1, (18, 2), ['', '', '', '%'], [(13, 8), (8, 4), (12, 2)], [False, False, False, True], 38, False, [False, False, False, False], 3589, 'West', (17, 2))
Element 32: (1, (17, 2), ['', '', '%', ''], [(13, 7), (7, 4), (11, 2)], [False, False, True, False], 36, False, [False, False, False, False], 3598, 'West', (16, 2))
Element 33: #1#
