Element 39: (1, (6, 6), ['.', '.', '', '%'], [(5, 8), (14, 8), (17, 1)], [False, False, False, True], 22, False, [True, True, False, False], 2491, 'South', (6, 5))
Element 40: (1, (6, 5), ['%', '.', '', 'F'], [(4, 8), (13, 8), (17, 2)], [True, False, False, False], 20, False, [False, True, False, False], 2510, 'East', (7, 5))
Element 41: (1, (7, 5), ['', '.', '%', '%'], [(4, 9), (13, 9), (18, 2)], [False, False, True, True], 18, False, [False, True, False, False], 3519, 'South', (7, 4))
Element 42: (1, (7, 4), ['.', '%', '', ''], [(4, 10), (13, 10), (17, 2)], [False, True, False, False], 16, False, [True, False, False, False], 3538, 'West', (6, 4))
Element 43: (1, (6, 4), ['.', '.', '', ''], [(3, 10), (12, 10), (16, 2)], [False, False, False, False], 14, False, [True, True, False, False], 3557, 'South', (6, 3))
Element 44: (1, (6, 3), ['%', '.', '', '%'], [(2, 10), (11, 10), (16, 1)], [True, False, False, True], 12, False, [False, True, False, False], 3576, 'South', (6, 2))
Element 45: (1, (6, 2), ['%', '.', '', '.'], [(1, 10), (10, 10), (16, 2)], [True, False, False, False], 10, False, [False, True, False, True], 3595, 'East', (7, 2))
Element 46: (1, (7, 2), ['', '.', '%', '.'], [(1, 9), (9, 10), (15, 2)], [False, False, True, False], 8, False, [False, True, False, True], 3614, 'East', (8, 2))
Element 47: (1, (8, 2), ['', '.', '%', '.'], [(1, 8), (8, 10), (15, 1)], [False, False, True, False], 6, False, [False, True, False, True], 3633, 'East', (9, 2))
Element 48: (1, (9, 2), ['', '.', '%', '.'], [(1, 7), (7, 10), (15, 2)], [False, False, True, False], 4, False, [False, True, False, True], 3652, 'East', (10, 2))
Element 49: (1, (10, 2), ['', '.', '%', '.'], [(1, 6), (6, 10), (15, 3)], [False, False, True, False], 2, False, [False, True, False, True], 3671, 'East', (11, 2))
Element 50: (1, (11, 2), ['', 'F', '%', '.'], [(1, 6), (6, 9), (15, 4)], [False, False, True, False], 0, False, [False, False, False, True], 3680, 'Stop', (11, 2))
Element 51: #0#
