Element 26: (0, (15, 8), ['', '%', '', ''], [(9, 6), (18, 7), (15, 2)], [False, True, False, False], 48, False, [False, False, False, False], 2395, 'West', (14, 8))
Element 27: (0, (14, 8), ['', '%', '%', ''], [(8, 6), (18, 6), (16, 2)], [False, True, True, False], 46, False, [False, False, False, False], 2414, 'West', (13, 8))
Element 28: (0, (13, 8), ['', '', '', ''], [(9, 6), (18, 5), (17, 2)], [False, False, False, False], 44, False, [False, False, False, False], 2423, 'North', (13, 9))
Element 29: (0, (13, 9), ['%', '', '', '%'], [(10, 6), (18, 6), (17, 1)], [True, False, False, True], 42, False, [False, False, False, False], 2432, 'North', (13, 10))
Element 30: (0, (13, 10), ['', '', '%', '%'], [(10, 7), (18, 7), (18, 1)], [False, False, True, True], 40, False, [False, False, False, False], 2441, 'West', (12, 10))
Element 31: (0, (12, 10), ['', '%', '%', ''], [(9, 7), (18, 8), (18, 2)], [False, True, True, False], 38, False, [False, False, False, False], 2440, 'West', (11, 10))
Element 32: (0, (11, 10), ['', '%', '%', ''], [(9, 6), (18, 9), (18, 3)], [False, True, True, False], 36, False, [False, False, False, False], 2449, 'West', (10, 10))
Element 33: (0, (10, 10), ['', '%', '%', ''], [(9, 7), (18, 10), (18, 2)], [False, True, True, False], 34, False, [False, False, False, False], 2448, 'West', (9, 10))
Element 34: (0, (9, 10), ['', '%', '%', ''], [(9, 8), (17, 10), (18, 1)], [False, True, True, False], 32, False, [False, False, False, False], 2447, 'West', (8, 10))
Element 35: (0, (8, 10), ['', '%', '%', ''], [(8, 8), (16, 10), (17, 1)], [False, True, True, False], 30, False, [False, False, False, False], 2446, 'West', (7, 10))
Element 36: (0, (7, 10), ['', '%', '%', ''], [(7, 8), (15, 10), (16, 1)], [False, True, True, False], 28, False, [False, False, False, False], 2455, 'West', (6, 10))
Element 37: (0, (6, 10), ['%', '', '%', ''], [(6, 8), (15, 9), (15, 1)], [True, False, True, False], 26, False, [False, False, False, False], 2464, 'South', (6, 9))
Element 38: (0, (6, 9), ['%', '', '', '%'], [(6, 7), (15, 8), (16, 1)], [True, False, False, True], 24, False, [False, False, False, False], 2473, 'South', (6, 8))
Element 39: (0, (6, 8), ['.', '', '', ''], [(6, 6), (14, 8), (17, 1)], [False, False, False, False], 22, False, [True, False, False, False], 2482, 'West', (5, 8))
Element 40: (0, (5, 8), ['.', '%', '%', ''], [(6, 5), (13, 8), (17, 2)], [False, True, True, False], 20, False, [True, False, False, False], 2501, 'West', (4, 8))
Element 41: (0, (4, 8), ['.', '%', '.', ''], [(7, 5), (13, 9), (18, 2)], [False, True, False, False], 18, False, [True, False, True, False], 3510, 'North', (4, 9))
Element 42: (0, (4, 9), ['%', '', '.', '%'], [(7, 4), (13, 10), (17, 2)], [True, False, False, True], 16, False, [False, False, True, False], 3529, 'North', (4, 10))
Element 43: (0, (4, 10), ['.', '', '%', '%'], [(6, 4), (12, 10), (16, 2)], [False, False, True, True], 14, False, [True, False, False, False], 3548, 'West', (3, 10))
Element 44: (0, (3, 10), ['.', '%', '%', ''], [(6, 3), (11, 10), (16, 1)], [False, True, True, False], 12, False, [True, False, False, False], 3567, 'West', (2, 10))
Element 45: (0, (2, 10), ['.', '%', '%', ''], [(6, 2), (10, 10), (16, 2)], [False, True, True, False], 10, False, [True, False, False, False], 3586, 'West', (1, 10))
Element 46: (0, (1, 10), ['%', '.', '%', ''], [(7, 2), (9, 10), (15, 2)], [True, False, True, False], 8, False, [False, True, False, False], 3605, 'South', (1, 9))
Element 47: (0, (1, 9), ['%', '.', '', '%'], [(8, 2), (8, 10), (15, 1)], [True, False, False, True], 6, False, [False, True, False, False], 3624, 'South', (1, 8))
Element 48: (0, (1, 8), ['%', '.', '', '%'], [(9, 2), (7, 10), (15, 2)], [True, False, False, True], 4, False, [False, True, False, False], 3643, 'South', (1, 7))
Element 49: (0, (1, 7), ['%', '.', '', '%'], [(10, 2), (6, 10), (15, 3)], [True, False, False, True], 2, False, [False, True, False, False], 3662, 'South', (1, 6))
Element 50: (0, (1, 6), ['%', '.', '', '.'], [(11, 2), (6, 9), (15, 4)], [True, False, False, False], 0, False, [False, True, False, True], 3681, 'Stop', (1, 6))
Element 51: #0#
