Element 1: (2, (15, 1), ['%', '%', '.', '.'], [(10, 8), (7, 8), (15, 8)], [True, True, False, False], 98, False, [False, False, True, True], 19, 'East', (16, 1))
Element 2: (2, (16, 1), ['', '%', '.', '.'], [(11, 8), (6, 8), (16, 8)], [False, True, False, False], 96, False, [False, False, True, True], 58, 'East', (17, 1))
Element 3: (2, (17, 1), ['', '%', '.', '.'], [(12, 8), (6, 9), (16, 7)], [False, True, False, False], 94, False, [False, False, True, True], 97, 'East', (18, 1))
Element 4: (2, (18, 1), ['', '%', '', '%'], [(13, 8), (6, 10), (16, 6)], [False, True, False, True], 92, False, [False, False, False, False], 136, 'North', (18, 2))
Element 5: (2, (18, 2), ['.', '', '.', '%'], [(14, 8), (7, 10), (17, 6)], [False, False, False, True], 90, False, [True, False, True, False], 165, 'North', (18, 3))
Element 6: (2, (18, 3), ['%', '', '%', '%'], [(15, 8), (8, 10), (18, 6)], [True, False, True, True], 88, False, [False, False, False, False], 194, 'South', (18, 2))
Element 7: (2, (18, 2), ['.', '', '', '%'], [(15, 9), (9, 10), (18, 7)], [False, False, False, True], 86, False, [True, False, False, False], 223, 'West', (17, 2))
Element 8: (2, (17, 2), ['.', '', '%', ''], [(15, 10), (10, 10), (18, 8)], [False, False, True, False], 84, False, [True, False, False, False], 262, 'West', (16, 2))
Element 9: (2, (16, 2), ['.', '', '%', ''], [(16, 10), (11, 10), (18, 9)], [False, False, True, False], 82, False, [True, False, False, False], 1291, 'West', (15, 2))
Element 10: (2, (15, 2), ['%', '', '.', ''], [(17, 10), (12, 10), (18, 10)], [True, False, False, False], 80, False, [False, False, True, False], 2320, 'North', (15, 3))
Element 11: (2, (15, 3), ['%', '', '.', '%'], [(18, 10), (13, 10), (18, 9)], [True, False, False, True], 78, False, [False, False, True, False], 2339, 'North', (15, 4))
Element 12: (2, (15, 4), ['.', '', '%', '.'], [(18, 9), (13, 9), (18, 8)], [False, False, True, False], 76, False, [True, False, False, True], 2358, 'East', (16, 4))
