Element 1: (3, (18, 6), ['.', '.', '.', '%'], [(9, 8), (7, 2), (10, 1)], [False, False, False, True], 98, False, [True, True, True, False], 29, 'North', (18, 7))
Element 2: (3, (18, 7), ['%', '', '.', '%'], [(10, 8), (8, 2), (11, 1)], [True, False, False, True], 96, False, [False, False, True, False], 1058, 'North', (18, 8))
Element 3: (3, (18, 8), ['%', '', '.', '%'], [(11, 8), (9, 2), (12, 1)], [True, False, False, True], 94, False, [False, False, True, False], 1097, 'North', (18, 9))
Element 4: (3, (18, 9), ['%', '', '.', '%'], [(12, 8), (10, 2), (13, 1)], [True, False, False, True], 92, False, [False, False, True, False], 1136, 'North', (18, 10))
Element 5: (3, (18, 10), ['.', '', '%', '%'], [(13, 8), (11, 2), (13, 2)], [False, False, True, True], 90, False, [True, False, False, False], 1175, 'West', (17, 10))
Element 6: (3, (17, 10), ['.', '%', '%', ''], [(14, 8), (12, 2), (13, 3)], [False, True, True, False], 88, False, [True, False, False, False], 1214, 'West', (16, 10))
Element 7: (3, (16, 10), ['.', '%', '%', ''], [(15, 8), (13, 2), (13, 4)], [False, True, True, False], 86, False, [True, False, False, False], 1243, 'West', (15, 10))
Element 8: (3, (15, 10), ['%', '.', '%', ''], [(16, 8), (13, 3), (14, 4)], [True, False, True, False], 84, False, [False, True, False, False], 1272, 'South', (15, 9))
Element 9: (3, (15, 9), ['%', '', '', '%'], [(16, 7), (13, 4), (15, 4)], [True, False, False, True], 82, False, [False, False, False, False], 1301, 'South', (15, 8))
Element 10: (3, (15, 8), ['', '%', '', ''], [(16, 6), (13, 5), (16, 4)], [False, True, False, False], 80, False, [False, False, False, False], 1330, 'East', (16, 8))
Element 11: (3, (16, 8), ['', '', '%', '%'], [(17, 6), (13, 6), (17, 4)], [False, False, True, True], 78, False, [False, False, False, False], 1359, 'South', (16, 7))
Element 12: (3, (16, 7), ['%', '', '', '%'], [(18, 6), (14, 6), (16, 4)], [True, False, False, True], 76, False, [False, False, False, False], 1368, 'South', (16, 6))
Element 13: (3, (16, 6), ['G', 'G', '', ''], [(18, 5), (15, 6), (16, 5)], [False, False, False, False], 74, False, [False, False, False, False], 1397, 'East', (17, 6))
