Element 1: (3, (17, 6), ['', '%', '%', '.'], [(12, 8), (9, 8), (16, 7)], [False, True, True, False], 98, False, [False, False, False, True], 29, 'East', (18, 6))
Element 2: (3, (18, 6), ['', '.', '.', '%'], [(13, 8), (8, 8), (16, 8)], [False, False, False, True], 96, False, [False, True, True, False], 68, 'North', (18, 7))
Element 3: (3, (18, 7), ['%', '', '.', '%'], [(14, 8), (7, 8), (15, 8)], [True, False, False, True], 94, False, [False, False, True, False], 107, 'North', (18, 8))
Element 4: (3, (18, 8), ['%', '', '.', '%'], [(13, 8), (6, 8), (15, 9)], [True, False, False, True], 92, False, [False, False, True, False], 136, 'North', (18, 9))
Element 5: (3, (18, 9), ['%', '', '.', '%'], [(13, 9), (6, 9), (15, 10)], [True, False, False, True], 90, False, [False, False, True, False], 175, 'North', (18, 10))
Element 6: (3, (18, 10), ['.', '', '%', '%'], [(13, 10), (6, 10), (16, 10)], [False, False, True, True], 88, False, [True, False, False, False], 214, 'West', (17, 10))
Element 7: (3, (17, 10), ['', '%', '%', ''], [(12, 10), (7, 10), (15, 10)], [False, True, True, False], 86, False, [False, False, False, False], 1233, 'West', (16, 10))
Element 8: (3, (16, 10), ['', '%', '%', ''], [(11, 10), (8, 10), (15, 9)], [False, True, True, False], 84, False, [False, False, False, False], 2242, 'West', (15, 10))
Element 9: (3, (15, 10), ['%', '', '%', ''], [(10, 10), (9, 10), (15, 8)], [True, False, True, False], 82, False, [False, False, False, False], 2261, 'South', (15, 9))
Element 10: (3, (15, 9), ['%', '', '', '%'], [(11, 10), (10, 10), (14, 8)], [True, False, False, True], 80, False, [False, False, False, False], 2260, 'South', (15, 8))
Element 11: (3, (15, 8), ['', '%', '', ''], [(12, 10), (11, 10), (13, 8)], [False, True, False, False], 78, False, [False, False, False, False], 2259, 'East', (16, 8))
Element 12: (3, (16, 8), ['', '', '%', '%'], [(13, 10), (12, 10), (13, 7)], [False, False, True, True], 76, False, [False, False, False, False], 2268, 'South', (16, 7))
Element 13: (3, (16, 7), ['%', '', '', '%'], [(13, 9), (13, 10), (13, 6)], [True, False, False, True], 74, False, [False, False, False, False], 2277, 'South', (16, 6))
Element 14: (3, (16, 6), ['.', '.', '', ''], [(13, 8), (13, 9), (14, 6)], [False, False, False, False], 72, False, [True, True, False, False], 2286, 'South', (16, 5))
Element 15: (3, (16, 5), ['%', '.', '', '%'], [(13, 7), (13, 8), (15, 6)], [True, False, False, True], 70, False, [False, True, False, False], 2305, 'South', (16, 4))
Element 16: (3, (16, 4), ['.', '%', '', '.'], [(13, 6), (14, 8), (14, 6)], [False, True, False, False], 68, False, [True, False, False, True], 2314, 'East', (17, 4))
Element 17: (3, (17, 4), ['', '%', '%', '%'], [(13, 5), (15, 8), (13, 6)], [False, True, True, True], 66, False, [False, False, False, False], 2333, 'West', (16, 4))
Element 18: (3, (16, 4), ['.', '%', '', ''], [(13, 4), (16, 8), (13, 5)], [False, True, False, False], 64, False, [True, False, False, False], 2342, 'West', (15, 4))
Element 19: (3, (15, 4), ['G', '.', '%', ''], [(14, 4), (16, 7), (13, 4)], [False, False, True, False], 62, False, [False, True, False, False], 2361, 'South', (15, 3))
Element 20: (3, (15, 3), ['%', '.', 'G', '%'], [(15, 4), (16, 6), (13, 3)], [True, False, False, True], 60, False, [False, True, False, False], 2380, 'South', (15, 2))
Element 21: (3, (15, 2), ['%', '.', '', '.'], [(16, 4), (17, 6), (13, 2)], [True, False, False, False], 58, False, [False, True, False, True], 2399, 'East', (16, 2))
Element 22: (3, (16, 2), ['', '.', '%', '.'], [(17, 4), (18, 6), (13, 1)], [False, False, True, False], 56, False, [False, True, False, True], 2418, 'East', (17, 2))
Element 23: (3, (17, 2), ['', '.', '%', ''], [(16, 4), (18, 5), (12, 1)], [False, False, True, False], 54, False, [False, True, False, False], 2447, 'South', (17, 1))
Element 24: (3, (17, 1), ['.', '%', '', '.'], [(16, 5), (18, 6), (11, 1)], [False, True, False, False], 52, False, [True, False, False, True], 3456, 'East', (18, 1))
Element 25: (3, (18, 1), ['', '%', '', '%'], [(16, 6), (18, 7), (11, 2)], [False, True, False, True], 50, False, [False, False, False, False], 3475, 'North', (18, 2))
Element 26: (3, (18, 2), ['', '', '.', '%'], [(17, 6), (18, 8), (12, 2)], [False, False, False, True], 48, False, [False, False, True, False], 3484, 'North', (18, 3))
Element 27: (3, (18, 3), ['%', '', '%', '%'], [(18, 6), (18, 9), (11, 2)], [True, False, True, True], 46, False, [False, False, False, False], 3493, 'South', (18, 2))
Element 28: (3, (18, 2), ['', '', '', '%'], [(18, 7), (18, 10), (10, 2)], [False, False, False, True], 44, False, [False, False, False, False], 3502, 'South', (18, 1))
Element 29: (3, (18, 1), ['', '%', '', '%'], [(18, 8), (17, 10), (10, 1)], [False, True, False, True], 42, False, [False, False, False, False], 3511, 'West', (17, 1))
Element 30: (3, (17, 1), ['.', '%', '', ''], [(18, 9), (16, 10), (9, 1)], [False, True, False, False], 40, False, [True, False, False, False], 3520, 'West', (16, 1))
Element 31: (3, (16, 1), ['.', '%', '', ''], [(18, 10), (15, 10), (9, 2)], [False, True, False, False], 38, False, [True, False, False, False], 3539, 'West', (15, 1))
Element 32: (3, (15, 1), ['%', '%', '', ''], [(17, 10), (15, 9), (8, 2)], [True, True, False, False], 36, False, [False, False, False, False], 3558, 'East', (16, 1))
Element 33: (3, (16, 1), ['', '%', '', ''], [(16, 10), (15, 10), (8, 1)], [False, True, False, False], 34, False, [False, False, False, False], 3567, 'East', (17, 1))
Element 34: (3, (17, 1), ['', '%', '', ''], [(17, 10), (16, 10), (7, 1)], [False, True, False, False], 32, False, [False, False, False, False], 3576, 'North', (17, 2))
Element 35: (3, (17, 2), ['', '', '%', ''], [(18, 10), (17, 10), (7, 2)], [False, False, True, False], 30, False, [False, False, False, False], 3585, 'East', (18, 2))
Element 36: (3, (18, 2), ['', '', '', '%'], [(18, 9), (18, 10), (6, 2)], [False, False, False, True], 28, False, [False, False, False, False], 3594, 'West', (17, 2))
Element 37: (3, (17, 2), ['', '', '%', ''], [(18, 8), (18, 9), (6, 3)], [False, False, True, False], 26, False, [False, False, False, False], 3603, 'West', (16, 2))
Element 38: (3, (16, 2), ['', '', '%', ''], [(18, 7), (18, 8), (6, 4)], [False, False, True, False], 24, False, [False, False, False, False], 3612, 'South', (16, 1))
Element 39: (3, (16, 1), ['', '%', '', ''], [(18, 6), (18, 7), (7, 4)], [False, True, False, False], 22, False, [False, False, False, False], 3621, 'North', (16, 2))
Element 40: #1#
