Element 1: (1, (1, 6), ['%', '.', '.', '.'], [(18, 10), (10, 1), (15, 2)], [True, False, False, False], 98, False, [False, True, True, True], 9, 'East', (2, 6))
Element 2: (1, (2, 6), ['', '%', '%', '.'], [(18, 9), (11, 1), (16, 2)], [False, True, True, False], 96, False, [False, False, False, True], 1038, 'East', (3, 6))
Element 3: (1, (3, 6), ['', '.', '.', '.'], [(18, 8), (12, 1), (17, 2)], [False, False, False, False], 94, False, [False, True, True, True], 1077, 'East', (4, 6))
Element 4: (1, (4, 6), ['', '%', '%', '.'], [(18, 7), (13, 1), (17, 1)], [False, True, True, False], 92, False, [False, False, False, True], 1116, 'East', (5, 6))
Element 5: (1, (5, 6), ['', '%', '%', '.'], [(18, 6), (13, 2), (18, 1)], [False, True, True, False], 90, False, [False, False, False, True], 1155, 'East', (6, 6))
Element 6: (1, (6, 6), ['', '.', '.', '%'], [(18, 5), (13, 3), (18, 2)], [False, False, False, True], 88, False, [False, True, True, False], 1184, 'North', (6, 7))
Element 7: (1, (6, 7), ['%', '', '.', '%'], [(18, 6), (13, 4), (18, 3)], [True, False, False, True], 86, False, [False, False, True, False], 1213, 'North', (6, 8))
Element 8: (1, (6, 8), ['.', '', '.', '.'], [(17, 6), (14, 4), (18, 2)], [False, False, False, False], 84, False, [True, False, True, True], 1242, 'East', (7, 8))
Element 9: (1, (7, 8), ['', '%', '%', '.'], [(16, 6), (15, 4), (18, 1)], [False, True, True, False], 82, False, [False, False, False, True], 1271, 'East', (8, 8))
Element 10: (1, (8, 8), ['', '%', '%', '.'], [(16, 7), (16, 4), (17, 1)], [False, True, True, False], 80, False, [False, False, False, True], 1300, 'East', (9, 8))
Element 11: (1, (9, 8), ['', '', '%', '.'], [(16, 8), (17, 4), (16, 1)], [False, False, True, False], 78, False, [False, False, False, True], 1339, 'East', (10, 8))
Element 12: (1, (10, 8), ['', '', '%', '.'], [(15, 8), (16, 4), (15, 1)], [False, False, True, False], 76, False, [False, False, False, True], 1368, 'East', (11, 8))
Element 13: (1, (11, 8), ['', '%', '%', '.'], [(15, 9), (16, 5), (16, 1)], [False, True, True, False], 74, False, [False, False, False, True], 1397, 'East', (12, 8))
Element 14: (1, (12, 8), ['', '%', '%', '.'], [(15, 10), (16, 6), (17, 1)], [False, True, True, False], 72, False, [False, False, False, True], 1416, 'East', (13, 8))
Element 15: (1, (13, 8), ['', '.', '.', '.'], [(16, 10), (15, 6), (17, 2)], [False, False, False, False], 70, False, [False, True, True, True], 1445, 'East', (14, 8))
Element 16: (1, (14, 8), ['', '%', '%', ''], [(15, 10), (14, 6), (18, 2)], [False, True, True, False], 68, False, [False, False, False, False], 1464, 'East', (15, 8))
Element 17: (1, (15, 8), ['', '%', 'G', ''], [(15, 9), (13, 6), (17, 2)], [False, True, False, False], 66, False, [False, False, False, False], 1473, 'East', (16, 8))
Element 18: (1, (16, 8), ['G', '', '%', '%'], [(15, 8), (13, 7), (16, 2)], [False, False, True, True], 64, False, [False, False, False, False], 1482, 'South', (16, 7))
Element 19: (1, (16, 7), ['%', '', '', '%'], [(14, 8), (13, 8), (16, 1)], [True, False, False, True], 62, False, [False, False, False, False], 1481, 'South', (16, 6))
Element 20: (1, (16, 6), ['', '', '', ''], [(13, 8), (13, 9), (16, 2)], [False, False, False, False], 60, False, [False, False, False, False], 1490, 'East', (17, 6))
Element 21: (1, (17, 6), ['', '%', '%', ''], [(13, 9), (13, 10), (15, 2)], [False, True, True, False], 58, False, [False, False, False, False], 1499, 'East', (18, 6))
Element 22: (1, (18, 6), ['', '', '', '%'], [(13, 10), (12, 10), (15, 3)], [False, False, False, True], 56, False, [False, False, False, False], 2508, 'North', (18, 7))
Element 23: (1, (18, 7), ['%', '', '', '%'], [(12, 10), (11, 10), (15, 4)], [True, False, False, True], 54, False, [False, False, False, False], 3507, 'North', (18, 8))
Element 24: (1, (18, 8), ['%', '', '', '%'], [(11, 10), (10, 10), (16, 4)], [True, False, False, True], 52, False, [False, False, False, False], 3516, 'North', (18, 9))
