Element 1: (2, (2, 6), ['', '%', '%', '.'], [(2, 2), (1, 7), (15, 4)], [False, True, True, False], 98, False, [False, False, False, True], 19, 'East', (3, 6))
Element 2: (2, (3, 6), ['', '.', '.', '.'], [(3, 2), (1, 8), (16, 4)], [False, False, False, False], 96, False, [False, True, True, True], 58, 'East', (4, 6))
Element 3: (2, (4, 6), ['', '%', '%', '.'], [(4, 2), (1, 9), (17, 4)], [False, True, True, False], 94, False, [False, False, False, True], 97, 'East', (5, 6))
Element 4: (2, (5, 6), ['', '%', '%', '.'], [(4, 3), (1, 10), (16, 4)], [False, True, True, False], 92, False, [False, False, False, True], 126, 'East', (6, 6))
Element 5: (2, (6, 6), ['', '.', '.', '%'], [(4, 4), (2, 10), (16, 5)], [False, False, False, True], 90, False, [False, True, True, False], 165, 'North', (6, 7))
Element 6: (2, (6, 7), ['%', '', '.', '%'], [(5, 4), (3, 10), (16, 6)], [True, False, False, True], 88, False, [False, False, True, False], 204, 'North', (6, 8))
Element 7: (2, (6, 8), ['.', '', '.', '.'], [(6, 4), (4, 10), (17, 6)], [False, False, False, False], 86, False, [True, False, True, True], 243, 'East', (7, 8))
Element 8: (2, (7, 8), ['', '%', '%', '.'], [(7, 4), (4, 9), (18, 6)], [False, True, True, False], 84, False, [False, False, False, True], 282, 'East', (8, 8))
Element 9: (2, (8, 8), ['', '%', '%', '.'], [(7, 5), (4, 8), (18, 7)], [False, True, True, False], 82, False, [False, False, False, True], 1311, 'East', (9, 8))
Element 10: (2, (9, 8), ['', '', '%', '.'], [(6, 5), (5, 8), (18, 8)], [False, False, True, False], 80, False, [False, False, False, True], 1350, 'East', (10, 8))
Element 11: (2, (10, 8), ['', '', '%', '.'], [(6, 6), (6, 8), (18, 9)], [False, False, True, False], 78, False, [False, False, False, True], 1369, 'East', (11, 8))
Element 12: (2, (11, 8), ['', '%', '%', '.'], [(6, 7), (6, 9), (18, 10)], [False, True, True, False], 76, False, [False, False, False, True], 1398, 'East', (12, 8))
Element 13: (2, (12, 8), ['', '%', '%', '.'], [(6, 8), (6, 10), (17, 10)], [False, True, True, False], 74, False, [False, False, False, True], 1427, 'East', (13, 8))
Element 14: (2, (13, 8), ['', '.', '.', '.'], [(7, 8), (7, 10), (16, 10)], [False, False, False, False], 72, False, [False, True, True, True], 1456, 'East', (14, 8))
Element 15: (2, (14, 8), ['', '%', '%', '.'], [(8, 8), (8, 10), (15, 10)], [False, True, True, False], 70, False, [False, False, False, True], 1485, 'East', (15, 8))
Element 16: (2, (15, 8), ['', '%', 'G', '.'], [(9, 8), (9, 10), (15, 9)], [False, True, False, False], 68, False, [False, False, False, True], 1514, 'East', (16, 8))
Element 17: (2, (16, 8), ['G', '.', '%', '%'], [(10, 8), (10, 10), (15, 8)], [False, False, True, True], 66, False, [False, True, False, False], 1533, 'South', (16, 7))
Element 18: (2, (16, 7), ['%', '', 'G', '%'], [(11, 8), (11, 10), (16, 8)], [True, False, False, True], 64, False, [False, False, False, False], 2542, 'South', (16, 6))
Element 19: (2, (16, 6), ['.', '', 'G', ''], [(12, 8), (12, 10), (16, 7)], [False, False, False, False], 62, False, [True, False, False, False], 3541, 'West', (15, 6))
Element 20: (2, (15, 6), ['.', '%', '%', ''], [(13, 8), (13, 10), (16, 8)], [False, True, True, False], 60, False, [True, False, False, False], 3560, 'West', (14, 6))
Element 21: (2, (14, 6), ['.', '%', '%', ''], [(13, 9), (12, 10), (15, 8)], [False, True, True, False], 58, False, [True, False, False, False], 3579, 'West', (13, 6))
