Element 39: (3, (18, 7), ['%', '', '', '%'], [(3, 8), (16, 1), (11, 8)], [True, False, False, True], 22, False, [False, False, False, False], 3551, 'North', (18, 8))
Element 40: (3, (18, 8), ['%', '', '', '%'], [(3, 7), (16, 2), (12, 8)], [True, False, False, True], 20, False, [False, False, False, False], 3570, 'North', (18, 9))
Element 41: (3, (18, 9), ['%', '', '', '%'], [(3, 6), (16, 1), (11, 8)], [True, False, False, True], 18, False, [False, False, False, False], 3579, 'North', (18, 10))
Element 42: (3, (18, 10), ['', '', '%', '%'], [(4, 6), (15, 1), (10, 8)], [False, False, True, True], 16, False, [False, False, False, False], 3588, 'West', (17, 10))
Element 43: (3, (17, 10), ['', '%', '%', ''], [(5, 6), (15, 2), (10, 7)], [False, True, True, False], 14, False, [False, False, False, False], 3597, 'West', (16, 10))
Element 44: (3, (16, 10), ['', '%', '%', ''], [(6, 6), (15, 3), (10, 6)], [False, True, True, False], 12, False, [False, False, False, False], 3596, 'West', (15, 10))
Element 45: (3, (15, 10), ['%', '', '%', ''], [(6, 7), (15, 4), (11, 6)], [True, False, True, False], 10, False, [False, False, False, False], 3605, 'South', (15, 9))
Element 46: (3, (15, 9), ['%', '', '', '%'], [(6, 6), (16, 4), (10, 6)], [True, False, False, True], 8, False, [False, False, False, False], 3604, 'South', (15, 8))
Element 47: (3, (15, 8), ['', '%', '', ''], [(6, 5), (16, 5), (9, 6)], [False, True, False, False], 6, False, [False, False, False, False], 3603, 'East', (16, 8))
Element 48: (3, (16, 8), ['', '', '%', '%'], [(6, 4), (16, 6), (8, 6)], [False, False, True, True], 4, False, [False, False, False, False], 3622, 'South', (16, 7))
Element 49: (3, (16, 7), ['%', '', '', '%'], [(5, 4), (15, 6), (9, 6)], [True, False, False, True], 2, False, [False, False, False, False], 3631, 'North', (16, 8))
Element 50: (3, (16, 8), ['', '', '%', '%'], [(5, 4), (15, 6), (9, 6)], [False, False, True, True], 0, False, [False, False, False, False], 3630, 'Stop', (16, 8))
Element 51: #0#
