Element 1: (3, (13, 1), ['.', '%', '.', '%'], [(18, 2), (3, 5), (5, 4)], [False, True, False, True], 98, False, [True, False, True, False], 19, 'North', (13, 2))
Element 2: (3, (13, 2), ['.', '', '.', '%'], [(18, 1), (3, 6), (6, 4)], [False, False, False, True], 96, False, [True, False, True, False], 58, 'North', (13, 3))
Element 3: (3, (13, 3), ['%', '', '.', '%'], [(17, 1), (4, 6), (7, 4)], [True, False, False, True], 94, False, [False, False, True, False], 97, 'North', (13, 4))
Element 4: (3, (13, 4), ['.', '', '.', '.'], [(17, 2), (5, 6), (7, 5)], [False, False, False, False], 92, False, [True, False, True, True], 1126, 'East', (14, 4))
Element 5: (3, (14, 4), ['', '%', '%', '.'], [(16, 2), (6, 6), (6, 5)], [False, True, True, False], 90, False, [False, False, False, True], 1165, 'East', (15, 4))
Element 6: (3, (15, 4), ['', '.', '%', '.'], [(16, 1), (6, 7), (6, 6)], [False, False, True, False], 88, False, [False, True, False, True], 1194, 'East', (16, 4))
Element 7: (3, (16, 4), ['', '%', '.', '.'], [(15, 1), (6, 8), (6, 7)], [False, True, False, False], 86, False, [False, False, True, True], 1223, 'East', (17, 4))
Element 8: (3, (17, 4), ['', '%', '%', '%'], [(15, 2), (7, 8), (6, 8)], [False, True, True, True], 84, False, [False, False, False, False], 1252, 'West', (16, 4))
Element 9: (3, (16, 4), ['', '%', '.', ''], [(15, 3), (8, 8), (6, 9)], [False, True, False, False], 82, False, [False, False, True, False], 1281, 'North', (16, 5))
Element 10: (3, (16, 5), ['%', '', '.', '%'], [(15, 4), (9, 8), (6, 10)], [True, False, False, True], 80, False, [False, False, True, False], 1310, 'North', (16, 6))
Element 11: (3, (16, 6), ['.', '', '.', '.'], [(16, 4), (10, 8), (7, 10)], [False, False, False, False], 78, False, [True, False, True, True], 1339, 'East', (17, 6))
Element 12: (3, (17, 6), ['', '%', '%', '.'], [(17, 4), (11, 8), (8, 10)], [False, True, True, False], 76, False, [False, False, False, True], 1368, 'East', (18, 6))
Element 13: (3, (18, 6), ['', '.', '.', '%'], [(16, 4), (12, 8), (9, 10)], [False, False, False, True], 74, False, [False, True, True, False], 1397, 'North', (18, 7))
Element 14: (3, (18, 7), ['%', '', '.', '%'], [(16, 5), (13, 8), (10, 10)], [True, False, False, True], 72, False, [False, False, True, False], 1426, 'North', (18, 8))
Element 15: (3, (18, 8), ['%', '', '.', '%'], [(16, 6), (14, 8), (11, 10)], [True, False, False, True], 70, False, [False, False, True, False], 2445, 'North', (18, 9))
Element 16: (3, (18, 9), ['%', '', '.', '%'], [(16, 7), (15, 8), (12, 10)], [True, False, False, True], 68, False, [False, False, True, False], 3474, 'North', (18, 10))
