Element 38: (3, (8, 10), ['', '%', '%', ''], [(18, 1), (18, 6), (16, 10)], [False, True, True, False], 24, False, [False, False, False, False], 3672, 'West', (7, 10))
Element 39: (3, (7, 10), ['', '%', '%', ''], [(17, 1), (17, 6), (16, 10)], [False, True, True, False], 22, False, [False, False, False, False], 3671, 'West', (6, 10))
Element 40: (3, (6, 10), ['%', '', '%', ''], [(16, 1), (16, 6), (15, 10)], [True, False, True, False], 20, False, [False, False, False, False], 3680, 'South', (6, 9))
Element 41: (3, (6, 9), ['%', '', '', '%'], [(15, 1), (16, 7), (15, 9)], [True, False, False, True], 18, False, [False, False, False, False], 3689, 'South', (6, 8))
Element 42: (3, (6, 8), ['', '', '', ''], [(16, 1), (16, 8), (15, 8)], [False, False, False, False], 16, False, [False, False, False, False], 3688, 'East', (7, 8))
Element 43: (3, (7, 8), ['', '%', '%', ''], [(17, 1), (16, 7), (15, 8)], [False, True, True, False], 14, False, [False, False, False, False], 3687, 'East', (8, 8))
Element 44: (3, (8, 8), ['', '%', '%', ''], [(17, 2), (16, 6), (15, 9)], [False, True, True, False], 12, False, [False, False, False, False], 3686, 'East', (9, 8))
Element 45: (3, (9, 8), ['', '', '%', ''], [(18, 2), (16, 5), (15, 8)], [False, False, True, False], 10, False, [False, False, False, False], 3685, 'East', (10, 8))
Element 46: (3, (10, 8), ['', '', '%', ''], [(17, 2), (16, 4), (14, 8)], [False, False, True, False], 8, False, [False, False, False, False], 3684, 'East', (11, 8))
Element 47: (3, (11, 8), ['', '%', '%', ''], [(16, 2), (17, 4), (13, 8)], [False, True, True, False], 6, False, [False, False, False, False], 3683, 'East', (12, 8))
Element 48: (3, (12, 8), ['', '%', '%', ''], [(16, 1), (16, 4), (13, 9)], [False, True, True, False], 4, False, [False, False, False, False], 3682, 'West', (11, 8))
Element 49: (3, (11, 8), ['', '%', '%', ''], [(16, 2), (15, 4), (13, 10)], [False, True, True, False], 2, False, [False, False, False, False], 3681, 'West', (10, 8))
Element 50: (3, (10, 8), ['', '', '%', ''], [(16, 2), (15, 4), (13, 10)], [False, False, True, False], 0, False, [False, False, False, False], 3680, 'Stop', (10, 8))
Element 51: #0#
