Element 1: (3, (15, 4), ['.', '.', '%', '.'], [(11, 1), (10, 1), (13, 2)], [False, False, True, False], 98, False, [True, True, False, True], 1019, 'East', (16, 4))
Element 2: (3, (16, 4), ['', '%', '.', '.'], [(12, 1), (10, 2), (13, 3)], [False, True, False, False], 96, False, [False, False, True, True], 1058, 'East', (17, 4))
Element 3: (3, (17, 4), ['', '%', '%', '%'], [(13, 1), (9, 2), (13, 4)], [False, True, True, True], 94, False, [False, False, False, False], 1097, 'West', (16, 4))
Element 4: (3, (16, 4), ['', '%', '.', ''], [(13, 2), (8, 2), (14, 4)], [False, True, False, False], 92, False, [False, False, True, False], 1116, 'North', (16, 5))
Element 5: (3, (16, 5), ['%', '', '.', '%'], [(13, 3), (8, 1), (15, 4)], [True, False, False, True], 90, False, [False, False, True, False], 1135, 'North', (16, 6))
Element 6: (3, (16, 6), ['.', '', '.', '.'], [(13, 4), (7, 1), (15, 3)], [False, False, False, False], 88, False, [True, False, True, True], 1164, 'East', (17, 6))
Element 7: (3, (17, 6), ['', '%', '%', '.'], [(13, 5), (7, 2), (15, 2)], [False, True, True, False], 86, False, [False, False, False, True], 1203, 'East', (18, 6))
Element 8: (3, (18, 6), ['', '.', '.', '%'], [(13, 6), (6, 2), (16, 2)], [False, False, False, True], 84, False, [False, True, True, False], 1242, 'North', (18, 7))
Element 9: (3, (18, 7), ['%', '', '.', '%'], [(14, 6), (6, 3), (17, 2)], [True, False, False, True], 82, False, [False, False, True, False], 1281, 'North', (18, 8))
Element 10: (3, (18, 8), ['%', '', '.', '%'], [(15, 6), (6, 4), (17, 1)], [True, False, False, True], 80, False, [False, False, True, False], 1320, 'North', (18, 9))
Element 11: (3, (18, 9), ['%', '', '.', '%'], [(16, 6), (7, 4), (18, 1)], [True, False, False, True], 78, False, [False, False, True, False], 1349, 'North', (18, 10))
Element 12: (3, (18, 10), ['.', '', '%', '%'], [(16, 7), (7, 5), (18, 2)], [False, False, True, True], 76, False, [True, False, False, False], 2368, 'West', (17, 10))
Element 13: (3, (17, 10), ['.', '%', '%', ''], [(16, 8), (6, 5), (18, 3)], [False, True, True, False], 74, False, [True, False, False, False], 2407, 'West', (16, 10))
