Element 1: (3, (10, 8), ['.', '', '%', '.'], [(13, 2), (1, 4), (1, 6)], [False, False, True, False], 98, False, [True, False, False, True], 29, 'East', (11, 8))
Element 2: (3, (11, 8), ['', '%', '%', '.'], [(13, 3), (1, 5), (2, 6)], [False, True, True, False], 96, False, [False, False, False, True], 58, 'East', (12, 8))
Element 3: (3, (12, 8), ['', '%', '%', '.'], [(13, 4), (1, 6), (3, 6)], [False, True, True, False], 94, False, [False, False, False, True], 87, 'East', (13, 8))
Element 4: (3, (13, 8), ['', '.', '.', '.'], [(14, 4), (1, 7), (4, 6)], [False, False, False, False], 92, False, [False, True, True, True], 126, 'East', (14, 8))
Element 5: (3, (14, 8), ['', '%', '%', '.'], [(15, 4), (1, 8), (5, 6)], [False, True, True, False], 90, False, [False, False, False, True], 165, 'East', (15, 8))
Element 6: (3, (15, 8), ['', '%', '.', '.'], [(16, 4), (1, 9), (6, 6)], [False, True, False, False], 88, False, [False, False, True, True], 204, 'East', (16, 8))
Element 7: (3, (16, 8), ['', '.', '%', '%'], [(17, 4), (1, 10), (6, 7)], [False, False, True, True], 86, False, [False, True, False, False], 243, 'South', (16, 7))
Element 8: (3, (16, 7), ['%', '.', '', '%'], [(16, 4), (2, 10), (6, 8)], [True, False, False, True], 84, False, [False, True, False, False], 272, 'South', (16, 6))
Element 9: (3, (16, 6), ['.', 'G', '', '.'], [(16, 5), (3, 10), (7, 8)], [False, False, False, False], 82, False, [True, False, False, True], 311, 'East', (17, 6))
Element 10: (3, (17, 6), ['G', '%', '%', '.'], [(16, 6), (4, 10), (8, 8)], [False, True, True, False], 80, False, [False, False, False, True], 340, 'East', (18, 6))
Element 11: (3, (18, 6), ['', '.', '.', '%'], [(15, 6), (4, 9), (9, 8)], [False, False, False, True], 78, False, [False, True, True, False], 379, 'North', (18, 7))
Element 12: (3, (18, 7), ['%', '', '.', '%'], [(14, 6), (4, 8), (10, 8)], [True, False, False, True], 76, False, [False, False, True, False], 408, 'North', (18, 8))
Element 13: (3, (18, 8), ['%', '', '.', '%'], [(13, 6), (5, 8), (11, 8)], [True, False, False, True], 74, False, [False, False, True, False], 437, 'North', (18, 9))
Element 14: (3, (18, 9), ['%', '', '.', '%'], [(13, 7), (6, 8), (12, 8)], [True, False, False, True], 72, False, [False, False, True, False], 456, 'North', (18, 10))
Element 15: (3, (18, 10), ['.', '', '%', '%'], [(13, 8), (6, 9), (11, 8)], [False, False, True, True], 70, False, [True, False, False, False], 475, 'West', (17, 10))
Element 16: (3, (17, 10), ['.', '%', '%', ''], [(13, 9), (6, 10), (10, 8)], [False, True, True, False], 68, False, [True, False, False, False], 504, 'West', (16, 10))
