Element 1: (3, (11, 8), ['', '%', '%', '.'], [(9, 8), (1, 5), (4, 3)], [False, True, True, False], 98, False, [False, False, False, True], 29, 'East', (12, 8))
Element 2: (3, (12, 8), ['', '%', '%', '.'], [(8, 8), (1, 6), (4, 4)], [False, True, True, False], 96, False, [False, False, False, True], 68, 'East', (13, 8))
Element 3: (3, (13, 8), ['', '.', '.', '.'], [(7, 8), (2, 6), (5, 4)], [False, False, False, False], 94, False, [False, True, True, True], 107, 'East', (14, 8))
Element 4: (3, (14, 8), ['', '%', '%', '.'], [(6, 8), (3, 6), (6, 4)], [False, True, True, False], 92, False, [False, False, False, True], 146, 'East', (15, 8))
Element 5: (3, (15, 8), ['', '%', '.', '.'], [(6, 9), (4, 6), (7, 4)], [False, True, False, False], 90, False, [False, False, True, True], 185, 'East', (16, 8))
Element 6: (3, (16, 8), ['', '.', '%', '%'], [(6, 10), (5, 6), (7, 5)], [False, False, True, True], 88, False, [False, True, False, False], 1214, 'South', (16, 7))
Element 7: (3, (16, 7), ['%', '.', '', '%'], [(7, 10), (6, 6), (6, 5)], [True, False, False, True], 86, False, [False, True, False, False], 1253, 'South', (16, 6))
Element 8: (3, (16, 6), ['.', '.', '', '.'], [(8, 10), (6, 7), (6, 6)], [False, False, False, False], 84, False, [True, True, False, True], 1282, 'East', (17, 6))
Element 9: (3, (17, 6), ['', '%', '%', '.'], [(9, 10), (6, 8), (6, 7)], [False, True, True, False], 82, False, [False, False, False, True], 1301, 'East', (18, 6))
Element 10: (3, (18, 6), ['', '.', '.', '%'], [(10, 10), (5, 8), (6, 8)], [False, False, False, True], 80, False, [False, True, True, False], 1330, 'North', (18, 7))
Element 11: (3, (18, 7), ['%', '', '.', '%'], [(11, 10), (4, 8), (7, 8)], [True, False, False, True], 78, False, [False, False, True, False], 2349, 'North', (18, 8))
Element 12: (3, (18, 8), ['%', '', '.', '%'], [(12, 10), (4, 9), (8, 8)], [True, False, False, True], 76, False, [False, False, True, False], 3368, 'North', (18, 9))
Element 13: (3, (18, 9), ['%', '', '.', '%'], [(13, 10), (4, 10), (9, 8)], [True, False, False, True], 74, False, [False, False, True, False], 3397, 'North', (18, 10))
Element 14: (3, (18, 10), ['.', '', '%', '%'], [(13, 9), (3, 10), (10, 8)], [False, False, True, True], 72, False, [True, False, False, False], 3426, 'West', (17, 10))
Element 15: (3, (17, 10), ['.', '%', '%', ''], [(13, 8), (2, 10), (11, 8)], [False, True, True, False], 70, False, [True, False, False, False], 3445, 'West', (16, 10))
Element 16: (3, (16, 10), ['.', '%', '%', ''], [(13, 7), (1, 10), (12, 8)], [False, True, True, False], 68, False, [True, False, False, False], 3474, 'West', (15, 10))
Element 17: (3, (15, 10), ['%', '.', '%', ''], [(13, 6), (1, 9), (13, 8)], [True, False, True, False], 66, False, [False, True, False, False], 3503, 'South', (15, 9))
Element 18: (3, (15, 9), ['%', '', '', '%'], [(14, 6), (1, 8), (14, 8)], [True, False, False, True], 64, False, [False, False, False, False], 3532, 'North', (15, 10))
Element 19: (3, (15, 10), ['%', '', '%', ''], [(15, 6), (1, 7), (15, 8)], [True, False, True, False], 62, False, [False, False, False, False], 3551, 'East', (16, 10))
Element 20: (3, (16, 10), ['', '%', '%', ''], [(16, 6), (1, 8), (16, 8)], [False, True, True, False], 60, False, [False, False, False, False], 3550, 'East', (17, 10))
Element 21: (3, (17, 10), ['', '%', '%', ''], [(16, 5), (1, 9), (16, 7)], [False, True, True, False], 58, False, [False, False, False, False], 3559, 'East', (18, 10))
Element 22: (3, (18, 10), ['', '', '%', '%'], [(16, 4), (1, 10), (16, 6)], [False, False, True, True], 56, False, [False, False, False, False], 3568, 'South', (18, 9))
Element 23: (3, (18, 9), ['%', '', '', '%'], [(17, 4), (2, 10), (17, 6)], [True, False, False, True], 54, False, [False, False, False, False], 3577, 'South', (18, 8))
Element 24: (3, (18, 8), ['%', '', '', '%'], [(16, 4), (3, 10), (18, 6)], [True, False, False, True], 52, False, [False, False, False, False], 3576, 'South', (18, 7))
Element 25: (3, (18, 7), ['%', '', '', '%'], [(15, 4), (4, 10), (18, 5)], [True, False, False, True], 50, False, [False, False, False, False], 3595, 'South', (18, 6))
