Element 1: (1, (11, 2), ['.', 'F', '%', '.'], [(9, 10), (12, 8), (13, 3)], [False, False, True, False], 98, False, [True, False, False, True], 9, 'South', (11, 1))
Element 2: (1, (11, 1), ['.', '%', '', '.'], [(10, 10), (13, 8), (13, 4)], [False, True, False, False], 96, False, [True, False, False, True], 1038, 'East', (12, 1))
Element 3: (1, (12, 1), ['', '%', '.', '.'], [(11, 10), (14, 8), (14, 4)], [False, True, False, False], 94, False, [False, False, True, True], 2067, 'East', (13, 1))
Element 4: (1, (13, 1), ['', '%', '.', '%'], [(12, 10), (15, 8), (15, 4)], [False, True, False, True], 92, False, [False, False, True, False], 3096, 'North', (13, 2))
Element 5: (1, (13, 2), ['.', '', '', '%'], [(13, 10), (16, 8), (16, 4)], [False, False, False, True], 90, False, [True, False, False, False], 3135, 'West', (12, 2))
Element 6: (1, (12, 2), ['', '', '%', ''], [(13, 9), (16, 7), (17, 4)], [False, False, True, False], 88, False, [False, False, False, False], 3174, 'East', (13, 2))
Element 7: (1, (13, 2), ['', '', '', '%'], [(13, 8), (16, 6), (16, 4)], [False, False, False, True], 86, False, [False, False, False, False], 3183, 'North', (13, 3))
Element 8: (1, (13, 3), ['%', '', '', '%'], [(13, 7), (17, 6), (16, 5)], [True, False, False, True], 84, False, [False, False, False, False], 3212, 'North', (13, 4))
Element 9: (1, (13, 4), ['.', '', '.', ''], [(13, 6), (18, 6), (16, 6)], [False, False, False, False], 82, False, [True, False, True, False], 3231, 'North', (13, 5))
Element 10: (1, (13, 5), ['%', '', '', '%'], [(14, 6), (18, 7), (15, 6)], [True, False, False, True], 80, False, [False, False, False, False], 3270, 'North', (13, 6))
Element 11: (1, (13, 6), ['%', '', '', ''], [(15, 6), (18, 8), (16, 6)], [True, False, False, False], 78, False, [False, False, False, False], 3279, 'East', (14, 6))
Element 12: (1, (14, 6), ['', '%', '%', ''], [(16, 6), (18, 9), (17, 6)], [False, True, True, False], 76, False, [False, False, False, False], 3288, 'East', (15, 6))
Element 13: (1, (15, 6), ['', '%', '%', ''], [(17, 6), (18, 10), (18, 6)], [False, True, True, False], 74, False, [False, False, False, False], 3297, 'East', (16, 6))
Element 14: (1, (16, 6), ['', '', '', ''], [(18, 6), (17, 10), (18, 5)], [False, False, False, False], 72, False, [False, False, False, False], 3316, 'East', (17, 6))
Element 15: (1, (17, 6), ['', '%', '%', ''], [(18, 7), (16, 10), (18, 5)], [False, True, True, False], 70, False, [False, False, False, False], 3325, 'East', (18, 6))
Element 16: (1, (18, 6), ['', 'G', '', '%'], [(18, 8), (15, 10), (18, 5)], [False, False, False, True], 68, False, [False, False, False, False], 3334, 'North', (18, 7))
Element 17: (1, (18, 7), ['%', 'G', '', '%'], [(18, 9), (15, 9), (18, 6)], [True, False, False, True], 66, False, [False, False, False, False], 3343, 'North', (18, 8))
Element 18: (1, (18, 8), ['%', '', '', '%'], [(18, 10), (15, 10), (17, 6)], [True, False, False, True], 64, False, [False, False, False, False], 3342, 'North', (18, 9))
Element 19: (1, (18, 9), ['%', '', '', '%'], [(17, 10), (16, 10), (16, 6)], [True, False, False, True], 62, False, [False, False, False, False], 3341, 'North', (18, 10))
Element 20: (1, (18, 10), ['', '', '%', '%'], [(16, 10), (15, 10), (16, 7)], [False, False, True, True], 60, False, [False, False, False, False], 3340, 'West', (17, 10))
Element 21: (1, (17, 10), ['G', '%', '%', ''], [(15, 10), (16, 10), (16, 8)], [False, True, True, False], 58, False, [False, False, False, False], 3339, 'East', (18, 10))
Element 22: (1, (18, 10), ['', '', '%', '%'], [(15, 9), (16, 10), (15, 8)], [False, False, True, True], 56, False, [False, False, False, False], 3338, 'South', (18, 9))
Element 23: (1, (18, 9), ['%', '', '', '%'], [(15, 8), (16, 10), (14, 8)], [True, False, False, True], 54, False, [False, False, False, False], 3337, 'South', (18, 8))
Element 24: (1, (18, 8), ['%', '', '', '%'], [(16, 8), (16, 10), (13, 8)], [True, False, False, True], 52, False, [False, False, False, False], 3336, 'South', (18, 7))
