Element 1: (2, (4, 8), ['.', '%', '.', '.'], [(16, 4), (3, 2), (18, 1)], [False, True, False, False], 98, False, [True, False, True, True], 19, 'East', (5, 8))
Element 2: (2, (5, 8), ['', '%', '%', '.'], [(17, 4), (4, 2), (17, 1)], [False, True, True, False], 96, False, [False, False, False, True], 58, 'East', (6, 8))
Element 3: (2, (6, 8), ['', '.', '.', '.'], [(16, 4), (4, 3), (17, 2)], [False, False, False, False], 94, False, [False, True, True, True], 87, 'East', (7, 8))
Element 4: (2, (7, 8), ['', '%', '%', '.'], [(16, 5), (4, 4), (16, 2)], [False, True, True, False], 92, False, [False, False, False, True], 126, 'East', (8, 8))
Element 5: (2, (8, 8), ['', '%', '%', '.'], [(16, 6), (5, 4), (16, 1)], [False, True, True, False], 90, False, [False, False, False, True], 165, 'East', (9, 8))
Element 6: (2, (9, 8), ['', '', '%', '.'], [(17, 6), (6, 4), (15, 1)], [False, False, True, False], 88, False, [False, False, False, True], 204, 'East', (10, 8))
Element 7: (2, (10, 8), ['', '', '%', '.'], [(18, 6), (7, 4), (15, 2)], [False, False, True, False], 86, False, [False, False, False, True], 243, 'East', (11, 8))
Element 8: (2, (11, 8), ['', '%', '%', '.'], [(18, 7), (7, 5), (15, 3)], [False, True, True, False], 84, False, [False, False, False, True], 1272, 'East', (12, 8))
Element 9: (2, (12, 8), ['', '%', '%', '.'], [(18, 8), (6, 5), (15, 4)], [False, True, True, False], 82, False, [False, False, False, True], 1301, 'East', (13, 8))
Element 10: (2, (13, 8), ['', '.', '.', '.'], [(18, 9), (6, 6), (14, 4)], [False, False, False, False], 80, False, [False, True, True, True], 1340, 'East', (14, 8))
Element 11: (2, (14, 8), ['', '%', '%', '.'], [(18, 10), (6, 7), (13, 4)], [False, True, True, False], 78, False, [False, False, False, True], 1379, 'East', (15, 8))
Element 12: (2, (15, 8), ['', '%', '.', '.'], [(17, 10), (6, 8), (13, 5)], [False, True, False, False], 76, False, [False, False, True, True], 1408, 'East', (16, 8))
Element 13: (2, (16, 8), ['', '.', '%', '%'], [(16, 10), (6, 9), (13, 6)], [False, False, True, True], 74, False, [False, True, False, False], 1447, 'South', (16, 7))
Element 14: (2, (16, 7), ['%', '', '', '%'], [(15, 10), (6, 10), (14, 6)], [True, False, False, True], 72, False, [False, False, False, False], 1486, 'South', (16, 6))
Element 15: (2, (16, 6), ['G', '', '', ''], [(15, 9), (7, 10), (15, 6)], [False, False, False, False], 70, False, [False, False, False, False], 1515, 'East', (17, 6))
Element 16: (2, (17, 6), ['G', '%', '%', ''], [(15, 8), (8, 10), (16, 6)], [False, True, True, False], 68, False, [False, False, False, False], 1524, 'East', (18, 6))
Element 17: (2, (18, 6), ['G', '.', '', '%'], [(16, 8), (9, 10), (17, 6)], [False, False, False, True], 66, False, [False, True, False, False], 1533, 'South', (18, 5))
Element 18: (2, (18, 5), ['%', '%', 'G', '%'], [(16, 7), (10, 10), (18, 6)], [True, True, False, True], 64, False, [False, False, False, False], 1552, 'Stop', (18, 5))
Element 19: (2, (18, 5), ['%', '%', '', '%'], [(16, 8), (11, 10), (18, 7)], [True, True, False, True], 62, False, [False, False, False, False], 2551, 'North', (18, 6))
Element 20: (2, (18, 6), ['', '', '', '%'], [(15, 8), (12, 10), (18, 8)], [False, False, False, True], 60, False, [False, False, False, False], 3550, 'Stop', (18, 6))
Element 21: (2, (18, 6), ['', '', '', '%'], [(14, 8), (13, 10), (18, 9)], [False, False, False, True], 58, False, [False, False, False, False], 3559, 'West', (17, 6))
Element 22: (2, (17, 6), ['', '%', '%', ''], [(13, 8), (13, 9), (18, 10)], [False, True, True, False], 56, False, [False, False, False, False], 3568, 'West', (16, 6))
Element 23: (2, (16, 6), ['', '', '', ''], [(13, 7), (13, 8), (17, 10)], [False, False, False, False], 54, False, [False, False, False, False], 3577, 'South', (16, 5))
Element 24: (2, (16, 5), ['%', '', '', '%'], [(13, 6), (14, 8), (16, 10)], [True, False, False, True], 52, False, [False, False, False, False], 3576, 'South', (16, 4))
Element 25: (2, (16, 4), ['', '%', '', ''], [(14, 6), (15, 8), (15, 10)], [False, True, False, False], 50, False, [False, False, False, False], 3575, 'East', (17, 4))
Element 26: (2, (17, 4), ['', '%', '%', '%'], [(15, 6), (16, 8), (15, 9)], [False, True, True, True], 48, False, [False, False, False, False], 3574, 'West', (16, 4))
Element 27: (2, (16, 4), ['', '%', '', ''], [(14, 6), (16, 7), (15, 8)], [False, True, False, False], 46, False, [False, False, False, False], 3573, 'West', (15, 4))
Element 28: (2, (15, 4), ['', '', '%', ''], [(13, 6), (16, 6), (16, 8)], [False, False, True, False], 44, False, [False, False, False, False], 3572, 'South', (15, 3))
Element 29: (2, (15, 3), ['%', '', '', '%'], [(13, 5), (17, 6), (16, 7)], [True, False, False, True], 42, False, [False, False, False, False], 3571, 'South', (15, 2))
Element 30: (2, (15, 2), ['%', '', '', ''], [(13, 4), (18, 6), (16, 8)], [True, False, False, False], 40, False, [False, False, False, False], 3570, 'East', (16, 2))
Element 31: (2, (16, 2), ['', '', '%', ''], [(13, 3), (18, 7), (15, 8)], [False, False, True, False], 38, False, [False, False, False, False], 3579, 'East', (17, 2))
Element 32: (2, (17, 2), ['', '', '%', ''], [(13, 2), (18, 8), (14, 8)], [False, False, True, False], 36, False, [False, False, False, False], 3588, 'East', (18, 2))
Element 33: (2, (18, 2), ['', '', '.', '%'], [(13, 1), (18, 9), (13, 8)], [False, False, False, True], 34, False, [False, False, True, False], 3597, 'North', (18, 3))
Element 34: (2, (18, 3), ['%', '', '%', '%'], [(12, 1), (18, 10), (13, 9)], [True, False, True, True], 32, False, [False, False, False, False], 3616, 'South', (18, 2))
Element 35: #1#
