Element 36: (1, (12, 10), ['', '%', '%', ''], [(18, 2), (9, 6), (13, 9)], [False, True, True, False], 28, False, [False, False, False, False], 3534, 'West', (11, 10))
Element 37: (1, (11, 10), ['', '%', '%', ''], [(18, 1), (10, 6), (13, 10)], [False, True, True, False], 26, False, [False, False, False, False], 3533, 'West', (10, 10))
Element 38: (1, (10, 10), ['', '%', '%', ''], [(17, 1), (10, 7), (12, 10)], [False, True, True, False], 24, False, [False, False, False, False], 3532, 'West', (9, 10))
Element 39: (1, (9, 10), ['', '%', '%', ''], [(16, 1), (9, 7), (11, 10)], [False, True, True, False], 22, False, [False, False, False, False], 3541, 'West', (8, 10))
Element 40: (1, (8, 10), ['', '%', '%', ''], [(15, 1), (10, 7), (10, 10)], [False, True, True, False], 20, False, [False, False, False, False], 3550, 'West', (7, 10))
Element 41: (1, (7, 10), ['', '%', '%', ''], [(16, 1), (10, 8), (9, 10)], [False, True, True, False], 18, False, [False, False, False, False], 3549, 'West', (6, 10))
Element 42: (1, (6, 10), ['%', '', '%', ''], [(17, 1), (9, 8), (8, 10)], [True, False, True, False], 16, False, [False, False, False, False], 3548, 'South', (6, 9))
Element 43: (1, (6, 9), ['%', '', '', '%'], [(17, 2), (9, 7), (7, 10)], [True, False, False, True], 14, False, [False, False, False, False], 3547, 'South', (6, 8))
Element 44: (1, (6, 8), ['.', '.', '', ''], [(18, 2), (9, 8), (6, 10)], [False, False, False, False], 12, False, [True, True, False, False], 3546, 'South', (6, 7))
Element 45: (1, (6, 7), ['%', '.', '', '%'], [(17, 2), (8, 8), (6, 9)], [True, False, False, True], 10, False, [False, True, False, False], 3555, 'South', (6, 6))
Element 46: (1, (6, 6), ['.', '.', '', '%'], [(16, 2), (7, 8), (6, 8)], [False, False, False, True], 8, False, [True, True, False, False], 3564, 'South', (6, 5))
Element 47: (1, (6, 5), ['%', '.', '', 'F'], [(16, 1), (8, 8), (5, 8)], [True, False, False, False], 6, False, [False, True, False, False], 3583, 'East', (7, 5))
Element 48: #1#
