Element 1: (1, (3, 4), ['%', '%', '.', '.'], [(7, 5), (6, 7), (15, 1)], [True, True, False, False], 98, False, [False, False, True, True], 999, 'East', (4, 4))
Element 2: (1, (4, 4), ['', '.', '%', '.'], [(7, 4), (6, 8), (16, 1)], [False, False, True, False], 96, False, [False, True, False, True], 1038, 'East', (5, 4))
Element 3: (1, (5, 4), ['', '%', '%', 'G'], [(6, 4), (7, 8), (17, 1)], [False, True, True, False], 94, False, [False, False, False, False], 1077, 'West', (4, 4))
Element 4: (1, (4, 4), ['', '.', '%', ''], [(6, 3), (8, 8), (18, 1)], [False, False, True, False], 92, False, [False, True, False, False], 1106, 'South', (4, 3))
Element 5: (1, (4, 3), ['%', '.', '', '%'], [(6, 2), (9, 8), (18, 2)], [True, False, False, True], 90, False, [False, True, False, False], 1135, 'South', (4, 2))
Element 6: (1, (4, 2), ['.', '.', '', '%'], [(7, 2), (10, 8), (18, 3)], [False, False, False, True], 88, False, [True, True, False, False], 1174, 'South', (4, 1))
Element 7: (1, (4, 1), ['.', '%', '', '%'], [(8, 2), (11, 8), (18, 2)], [False, True, False, True], 86, False, [True, False, False, False], 1203, 'West', (3, 1))
Element 8: (1, (3, 1), ['.', '%', '.', ''], [(9, 2), (12, 8), (17, 2)], [False, True, False, False], 84, False, [True, False, True, False], 1242, 'North', (3, 2))
Element 9: (1, (3, 2), ['.', '', '%', ''], [(10, 2), (13, 8), (16, 2)], [False, False, True, False], 82, False, [True, False, False, False], 1281, 'West', (2, 2))
Element 10: (1, (2, 2), ['.', '.', '%', ''], [(11, 2), (14, 8), (15, 2)], [False, False, True, False], 80, False, [True, True, False, False], 1320, 'South', (2, 1))
Element 11: (1, (2, 1), ['', '%', '', ''], [(11, 1), (15, 8), (15, 3)], [False, True, False, False], 78, False, [False, False, False, False], 2349, 'West', (1, 1))
Element 12: (1, (1, 1), ['%', '%', '.', ''], [(12, 1), (16, 8), (15, 4)], [True, True, False, False], 76, False, [False, False, True, False], 2378, 'North', (1, 2))
Element 13: (1, (1, 2), ['%', '', '.', ''], [(13, 1), (16, 7), (16, 4)], [True, False, False, False], 74, False, [False, False, True, False], 2417, 'North', (1, 3))
Element 14: (1, (1, 3), ['%', '', '.', '%'], [(13, 2), (16, 6), (17, 4)], [True, False, False, True], 72, False, [False, False, True, False], 2456, 'North', (1, 4))
Element 15: (1, (1, 4), ['%', '', '.', '%'], [(13, 3), (17, 6), (16, 4)], [True, False, False, True], 70, False, [False, False, True, False], 2485, 'North', (1, 5))
Element 16: (1, (1, 5), ['%', '', '.', '%'], [(13, 4), (18, 6), (16, 5)], [True, False, False, True], 68, False, [False, False, True, False], 2524, 'North', (1, 6))
Element 17: (1, (1, 6), ['%', '', '.', '.'], [(14, 4), (18, 7), (16, 6)], [True, False, False, False], 66, False, [False, False, True, True], 2553, 'East', (2, 6))
Element 18: (1, (2, 6), ['', '%', '%', '.'], [(15, 4), (18, 8), (15, 6)], [False, True, True, False], 64, False, [False, False, False, True], 2582, 'East', (3, 6))
Element 19: (1, (3, 6), ['', '.', '.', '.'], [(16, 4), (18, 9), (14, 6)], [False, False, False, False], 62, False, [False, True, True, True], 2611, 'East', (4, 6))
Element 20: (1, (4, 6), ['', '%', '%', '.'], [(17, 4), (18, 10), (13, 6)], [False, True, True, False], 60, False, [False, False, False, True], 2640, 'East', (5, 6))
Element 21: (1, (5, 6), ['', '%', '%', '.'], [(16, 4), (17, 10), (13, 7)], [False, True, True, False], 58, False, [False, False, False, True], 2669, 'East', (6, 6))
Element 22: (1, (6, 6), ['', '', '', '%'], [(16, 5), (16, 10), (13, 8)], [False, False, False, True], 56, False, [False, False, False, False], 2688, 'North', (6, 7))
Element 23: (1, (6, 7), ['%', '', '', '%'], [(16, 6), (15, 10), (13, 9)], [True, False, False, True], 54, False, [False, False, False, False], 2707, 'North', (6, 8))
Element 24: (1, (6, 8), ['.', '', '.', ''], [(17, 6), (15, 9), (13, 10)], [False, False, False, False], 52, False, [True, False, True, False], 2726, 'North', (6, 9))
Element 25: (1, (6, 9), ['%', '', '.', '%'], [(18, 6), (15, 10), (12, 10)], [True, False, False, True], 50, False, [False, False, True, False], 3735, 'North', (6, 10))
Element 26: #1#
