Element 1: (1, (3, 10), ['.', '%', '%', '.'], [(17, 1), (6, 8), (15, 9)], [False, True, True, False], 98, False, [True, False, False, True], 9, 'East', (4, 10))
Element 2: (1, (4, 10), ['', '.', '%', '%'], [(18, 1), (7, 8), (15, 10)], [False, False, True, True], 96, False, [False, True, False, False], 48, 'South', (4, 9))
Element 3: (1, (4, 9), ['%', '.', '', '%'], [(18, 2), (8, 8), (16, 10)], [True, False, False, True], 94, False, [False, True, False, False], 77, 'South', (4, 8))
Element 4: (1, (4, 8), ['.', '%', '', '.'], [(18, 3), (9, 8), (17, 10)], [False, True, False, False], 92, False, [True, False, False, True], 116, 'East', (5, 8))
Element 5: (1, (5, 8), ['', '%', '%', ''], [(18, 2), (10, 8), (18, 10)], [False, True, True, False], 90, False, [False, False, False, False], 145, 'East', (6, 8))
Element 6: (1, (6, 8), ['', '.', '.', ''], [(17, 2), (11, 8), (18, 9)], [False, False, False, False], 88, False, [False, True, True, False], 174, 'North', (6, 9))
Element 7: (1, (6, 9), ['%', '', '.', '%'], [(16, 2), (12, 8), (18, 8)], [True, False, False, True], 86, False, [False, False, True, False], 213, 'North', (6, 10))
Element 8: (1, (6, 10), ['%', '', '%', '.'], [(15, 2), (13, 8), (18, 7)], [True, False, True, False], 84, False, [False, False, False, True], 252, 'East', (7, 10))
Element 9: (1, (7, 10), ['', '%', '%', '.'], [(15, 3), (14, 8), (18, 6)], [False, True, True, False], 82, False, [False, False, False, True], 291, 'East', (8, 10))
Element 10: (1, (8, 10), ['', '%', '%', '.'], [(15, 4), (15, 8), (18, 5)], [False, True, True, False], 80, False, [False, False, False, True], 330, 'East', (9, 10))
Element 11: (1, (9, 10), ['', '%', '%', '.'], [(16, 4), (16, 8), (18, 6)], [False, True, True, False], 78, False, [False, False, False, True], 359, 'East', (10, 10))
Element 12: (1, (10, 10), ['', '%', '%', 'F'], [(17, 4), (16, 7), (17, 6)], [False, True, True, False], 76, False, [False, False, False, False], 398, 'East', (11, 10))
Element 13: (1, (11, 10), ['', '%', '%', 'F'], [(16, 4), (16, 6), (18, 6)], [False, True, True, False], 74, False, [False, False, False, False], 1407, 'East', (12, 10))
