Element 1: (0, (17, 4), ['.', '%', '%', '%'], [(3, 4), (6, 1), (13, 8)], [False, True, True, True], 98, False, [True, False, False, False], 0, 'West', (16, 4))
Element 2: (0, (16, 4), ['.', '%', '.', ''], [(4, 4), (7, 1), (14, 8)], [False, True, False, False], 96, False, [True, False, True, False], 39, 'North', (16, 5))
Element 3: (0, (16, 5), ['%', '', '.', '%'], [(5, 4), (8, 1), (15, 8)], [True, False, False, True], 94, False, [False, False, True, False], 78, 'North', (16, 6))
Element 4: (0, (16, 6), ['.', '', '.', '.'], [(6, 4), (9, 1), (16, 8)], [False, False, False, False], 92, False, [True, False, True, True], 117, 'East', (17, 6))
Element 5: (0, (17, 6), ['', '%', '%', '.'], [(7, 4), (10, 1), (16, 7)], [False, True, True, False], 90, False, [False, False, False, True], 156, 'East', (18, 6))
Element 6: (0, (18, 6), ['', '.', '.', '%'], [(7, 5), (11, 1), (16, 6)], [False, False, False, True], 88, False, [False, True, True, False], 2165, 'North', (18, 7))
Element 7: (0, (18, 7), ['%', '', '.', '%'], [(6, 5), (12, 1), (15, 6)], [True, False, False, True], 86, False, [False, False, True, False], 2204, 'North', (18, 8))
Element 8: (0, (18, 8), ['%', '', '.', '%'], [(6, 6), (13, 1), (14, 6)], [True, False, False, True], 84, False, [False, False, True, False], 2243, 'North', (18, 9))
Element 9: (0, (18, 9), ['%', '', '.', '%'], [(6, 7), (13, 2), (13, 6)], [True, False, False, True], 82, False, [False, False, True, False], 2282, 'North', (18, 10))
Element 10: (0, (18, 10), ['.', '', '%', '%'], [(6, 8), (13, 3), (13, 7)], [False, False, True, True], 80, False, [True, False, False, False], 2321, 'West', (17, 10))
Element 11: (0, (17, 10), ['.', '%', '%', ''], [(7, 8), (13, 4), (13, 6)], [False, True, True, False], 78, False, [True, False, False, False], 2350, 'West', (16, 10))
Element 12: (0, (16, 10), ['.', '%', '%', ''], [(8, 8), (14, 4), (13, 5)], [False, True, True, False], 76, False, [True, False, False, False], 2389, 'West', (15, 10))
Element 13: (0, (15, 10), ['%', '.', '%', ''], [(9, 8), (15, 4), (13, 4)], [True, False, True, False], 74, False, [False, True, False, False], 2418, 'South', (15, 9))
Element 14: (0, (15, 9), ['%', '', '', '%'], [(10, 8), (15, 3), (12, 4)], [True, False, False, True], 72, False, [False, False, False, False], 2457, 'South', (15, 8))
Element 15: (0, (15, 8), ['', '%', '', ''], [(11, 8), (15, 2), (11, 4)], [False, True, False, False], 70, False, [False, False, False, False], 2486, 'East', (16, 8))
Element 16: (0, (16, 8), ['', '', '%', '%'], [(12, 8), (16, 2), (10, 4)], [False, False, True, True], 68, False, [False, False, False, False], 2515, 'South', (16, 7))
Element 17: (0, (16, 7), ['%', '', '', '%'], [(13, 8), (17, 2), (9, 4)], [True, False, False, True], 66, False, [False, False, False, False], 2534, 'North', (16, 8))
Element 18: (0, (16, 8), ['', '', '%', '%'], [(13, 9), (17, 1), (8, 4)], [False, False, True, True], 64, False, [False, False, False, False], 2553, 'West', (15, 8))
Element 19: (0, (15, 8), ['', '%', '', ''], [(13, 10), (18, 1), (7, 4)], [False, True, False, False], 62, False, [False, False, False, False], 2572, 'West', (14, 8))
Element 20: (0, (14, 8), ['', '%', '%', ''], [(12, 10), (18, 2), (7, 5)], [False, True, True, False], 60, False, [False, False, False, False], 3571, 'West', (13, 8))
Element 21: #1#
