Element 14: (3, (15, 4), ['.', '', '%', ''], [(16, 5), (18, 7), (17, 1)], [False, False, True, False], 72, False, [True, False, False, False], 2206, 'West', (14, 4))
Element 15: (3, (14, 4), ['.', '%', '%', ''], [(16, 6), (18, 8), (18, 1)], [False, True, True, False], 70, False, [True, False, False, False], 2225, 'West', (13, 4))
Element 16: (3, (13, 4), ['.', '.', '.', ''], [(15, 6), (18, 9), (18, 2)], [False, False, False, False], 68, False, [True, True, True, False], 2254, 'North', (13, 5))
Element 17: (3, (13, 5), ['%', '', '.', '%'], [(14, 6), (18, 10), (18, 3)], [True, False, False, True], 66, False, [False, False, True, False], 2283, 'North', (13, 6))
Element 18: (3, (13, 6), ['%', '', '.', ''], [(15, 6), (17, 10), (18, 2)], [True, False, False, False], 64, False, [False, False, True, False], 2302, 'North', (13, 7))
Element 19: (3, (13, 7), ['%', '', '', '%'], [(16, 6), (16, 10), (17, 2)], [True, False, False, True], 62, False, [False, False, False, False], 2321, 'North', (13, 8))
Element 20: (3, (13, 8), ['.', '', '', ''], [(17, 6), (15, 10), (16, 2)], [False, False, False, False], 60, False, [True, False, False, False], 2330, 'West', (12, 8))
Element 21: (3, (12, 8), ['.', '%', '%', ''], [(18, 6), (15, 9), (15, 2)], [False, True, True, False], 58, False, [True, False, False, False], 2349, 'West', (11, 8))
Element 22: (3, (11, 8), ['.', '%', '%', ''], [(18, 5), (15, 10), (15, 3)], [False, True, True, False], 56, False, [True, False, False, False], 2368, 'West', (10, 8))
Element 23: (3, (10, 8), ['.', '', '%', ''], [(18, 6), (16, 10), (15, 4)], [False, False, True, False], 54, False, [True, False, False, False], 2377, 'West', (9, 8))
Element 24: (3, (9, 8), ['.', '', '%', ''], [(18, 7), (17, 10), (16, 4)], [False, False, True, False], 52, False, [True, False, False, False], 2386, 'West', (8, 8))
Element 25: (3, (8, 8), ['.', '%', '%', ''], [(18, 8), (18, 10), (17, 4)], [False, True, True, False], 50, False, [True, False, False, False], 2395, 'West', (7, 8))
Element 26: (3, (7, 8), ['.', '%', '%', ''], [(18, 9), (17, 10), (16, 4)], [False, True, True, False], 48, False, [True, False, False, False], 2404, 'West', (6, 8))
Element 27: (3, (6, 8), ['.', '.', '.', ''], [(18, 10), (17, 10), (16, 5)], [False, False, False, False], 46, False, [True, True, True, False], 2413, 'North', (6, 9))
Element 28: (3, (6, 9), ['%', '', '.', '%'], [(18, 9), (17, 10), (16, 6)], [True, False, False, True], 44, False, [False, False, True, False], 2422, 'North', (6, 10))
Element 29: (3, (6, 10), ['%', '', '%', '.'], [(18, 8), (17, 10), (17, 6)], [True, False, True, False], 42, False, [False, False, False, True], 2431, 'East', (7, 10))
Element 30: (3, (7, 10), ['', '%', '%', '.'], [(18, 7), (17, 10), (18, 6)], [False, True, True, False], 40, False, [False, False, False, True], 2440, 'East', (8, 10))
Element 31: (3, (8, 10), ['', '%', '%', ''], [(18, 8), (16, 10), (18, 7)], [False, True, True, False], 38, False, [False, False, False, False], 2449, 'East', (9, 10))
Element 32: (3, (9, 10), ['', '%', '%', ''], [(18, 7), (16, 10), (18, 8)], [False, True, True, False], 36, False, [False, False, False, False], 2448, 'East', (10, 10))
Element 33: (3, (10, 10), ['', '%', '%', ''], [(18, 6), (16, 10), (18, 9)], [False, True, True, False], 34, False, [False, False, False, False], 2447, 'East', (11, 10))
Element 34: (3, (11, 10), ['', '%', '%', ''], [(18, 7), (16, 10), (18, 10)], [False, True, True, False], 32, False, [False, False, False, False], 2446, 'East', (12, 10))
Element 35: (3, (12, 10), ['', '%', '%', ''], [(18, 6), (16, 10), (17, 10)], [False, True, True, False], 30, False, [False, False, False, False], 2445, 'East', (13, 10))
Element 36: (3, (13, 10), ['', '', '%', '%'], [(18, 5), (16, 10), (18, 10)], [False, False, True, True], 28, False, [False, False, False, False], 2444, 'South', (13, 9))
Element 37: (3, (13, 9), ['%', '', '', '%'], [(18, 5), (16, 10), (18, 9)], [True, False, False, True], 26, False, [False, False, False, False], 2443, 'North', (13, 10))
Element 38: (3, (13, 10), ['', '', '%', '%'], [(18, 5), (16, 10), (18, 8)], [False, False, True, True], 24, False, [False, False, False, False], 2442, 'West', (12, 10))
Element 39: (3, (12, 10), ['', '%', '%', ''], [(18, 5), (16, 10), (18, 7)], [False, True, True, False], 22, False, [False, False, False, False], 2441, 'West', (11, 10))
Element 40: (3, (11, 10), ['', '%', '%', ''], [(18, 5), (16, 10), (18, 6)], [False, True, True, False], 20, False, [False, False, False, False], 2440, 'West', (10, 10))
Element 41: (3, (10, 10), ['', '%', '%', ''], [(18, 5), (16, 10), (17, 6)], [False, True, True, False], 18, False, [False, False, False, False], 2439, 'West', (9, 10))
Element 42: (3, (9, 10), ['', '%', '%', ''], [(18, 5), (16, 10), (18, 6)], [False, True, True, False], 16, False, [False, False, False, False], 2438, 'West', (8, 10))
Element 43: (3, (8, 10), ['', '%', '%', ''], [(18, 5), (16, 10), (17, 6)], [False, True, True, False], 14, False, [False, False, False, False], 2437, 'West', (7, 10))
Element 44: (3, (7, 10), ['', '%', '%', ''], [(18, 5), (16, 10), (16, 6)], [False, True, True, False], 12, False, [False, False, False, False], 2436, 'West', (6, 10))
Element 45: (3, (6, 10), ['%', '', '%', ''], [(18, 5), (16, 10), (16, 7)], [True, False, True, False], 10, False, [False, False, False, False], 2435, 'South', (6, 9))
Element 46: (3, (6, 9), ['%', '', '', '%'], [(18, 5), (16, 10), (16, 8)], [True, False, False, True], 8, False, [False, False, False, False], 2434, 'South', (6, 8))
Element 47: (3, (6, 8), ['.', '.', '', ''], [(18, 5), (16, 10), (15, 8)], [False, False, False, False], 6, False, [True, True, False, False], 2433, 'South', (6, 7))
Element 48: (3, (6, 7), ['%', '.', '', '%'], [(18, 5), (16, 10), (15, 9)], [True, False, False, True], 4, False, [False, True, False, False], 2442, 'South', (6, 6))
Element 49: (3, (6, 6), ['.', '.', '', '%'], [(18, 5), (16, 10), (15, 10)], [False, False, False, True], 2, False, [True, True, False, False], 2451, 'South', (6, 5))
Element 50: (3, (6, 5), ['%', '.', '', 'F'], [(18, 5), (16, 10), (15, 10)], [True, False, False, False], 0, False, [False, True, False, False], 2460, 'Stop', (6, 5))
Element 51: #0#
