Element 1: (0, (6, 4), ['.', '.', '.', '.'], [(4, 3), (10, 4), (12, 8)], [False, False, False, False], 98, False, [True, True, True, True], 0, 'East', (7, 4))
Element 2: (0, (7, 4), ['', '%', 'F', ''], [(4, 4), (11, 4), (13, 8)], [False, True, False, False], 96, False, [False, False, False, False], 39, 'North', (7, 5))
Element 3: (0, (7, 5), ['.', '', '%', '%'], [(5, 4), (12, 4), (14, 8)], [False, False, True, True], 94, False, [True, False, False, False], 1068, 'West', (6, 5))
Element 4: (0, (6, 5), ['%', 'G', '.', ''], [(6, 4), (13, 4), (15, 8)], [True, False, False, False], 92, False, [False, False, True, False], 1097, 'North', (6, 6))
Element 5: (0, (6, 6), ['.', '', '.', '%'], [(6, 3), (14, 4), (16, 8)], [False, False, False, True], 90, False, [True, False, True, False], 1136, 'North', (6, 7))
Element 6: (0, (6, 7), ['%', '', '.', '%'], [(6, 2), (15, 4), (16, 7)], [True, False, False, True], 88, False, [False, False, True, False], 1175, 'North', (6, 8))
Element 7: (0, (6, 8), ['.', '', '.', '.'], [(7, 2), (16, 4), (16, 6)], [False, False, False, False], 86, False, [True, False, True, True], 1214, 'East', (7, 8))
Element 8: (0, (7, 8), ['', '%', '%', '.'], [(8, 2), (17, 4), (17, 6)], [False, True, True, False], 84, False, [False, False, False, True], 1253, 'East', (8, 8))
Element 9: (0, (8, 8), ['', '%', '%', '.'], [(9, 2), (16, 4), (18, 6)], [False, True, True, False], 82, False, [False, False, False, True], 1282, 'East', (9, 8))
Element 10: (0, (9, 8), ['', '', '%', '.'], [(10, 2), (16, 5), (18, 7)], [False, False, True, False], 80, False, [False, False, False, True], 1321, 'East', (10, 8))
Element 11: (0, (10, 8), ['', '', '%', '.'], [(11, 2), (16, 6), (18, 8)], [False, False, True, False], 78, False, [False, False, False, True], 1350, 'East', (11, 8))
Element 12: (0, (11, 8), ['', '%', '%', ''], [(11, 1), (15, 6), (18, 9)], [False, True, True, False], 76, False, [False, False, False, False], 2379, 'East', (12, 8))
Element 13: (0, (12, 8), ['', '%', '%', ''], [(12, 1), (14, 6), (18, 10)], [False, True, True, False], 74, False, [False, False, False, False], 2408, 'East', (13, 8))
Element 14: (0, (13, 8), ['', '.', '.', ''], [(13, 1), (13, 6), (17, 10)], [False, False, False, False], 72, False, [False, True, True, False], 2437, 'North', (13, 9))
Element 15: (0, (13, 9), ['%', '', '.', '%'], [(13, 2), (13, 7), (16, 10)], [True, False, False, True], 70, False, [False, False, True, False], 2476, 'North', (13, 10))
Element 16: (0, (13, 10), ['F', '', '%', '%'], [(13, 3), (13, 8), (15, 10)], [False, False, True, True], 68, False, [False, False, False, False], 2505, 'West', (12, 10))
Element 17: (0, (12, 10), ['F', '%', '%', ''], [(13, 4), (14, 8), (15, 9)], [False, True, True, False], 66, False, [False, False, False, False], 3514, 'West', (11, 10))
Element 18: #1#
