Element 1: (0, (10, 8), ['.', '', '%', '.'], [(6, 9), (13, 5), (15, 6)], [False, False, True, False], 98, False, [True, False, False, True], 0, 'East', (11, 8))
Element 2: (0, (11, 8), ['', '%', '%', '.'], [(6, 10), (13, 6), (16, 6)], [False, True, True, False], 96, False, [False, False, False, True], 39, 'East', (12, 8))
Element 3: (0, (12, 8), ['', '%', '%', '.'], [(7, 10), (14, 6), (17, 6)], [False, True, True, False], 94, False, [False, False, False, True], 78, 'East', (13, 8))
Element 4: (0, (13, 8), ['', '.', '.', '.'], [(8, 10), (15, 6), (18, 6)], [False, False, False, False], 92, False, [False, True, True, True], 107, 'East', (14, 8))
Element 5: (0, (14, 8), ['', '%', '%', '.'], [(9, 10), (16, 6), (18, 7)], [False, True, True, False], 90, False, [False, False, False, True], 136, 'East', (15, 8))
Element 6: (0, (15, 8), ['', '%', '.', '.'], [(10, 10), (16, 7), (18, 8)], [False, True, False, False], 88, False, [False, False, True, True], 175, 'East', (16, 8))
Element 7: (0, (16, 8), ['', '', '%', '%'], [(11, 10), (16, 6), (18, 9)], [False, False, True, True], 86, False, [False, False, False, False], 1194, 'South', (16, 7))
Element 8: (0, (16, 7), ['%', '', '', '%'], [(12, 10), (16, 5), (18, 10)], [True, False, False, True], 84, False, [False, False, False, False], 2213, 'South', (16, 6))
Element 9: (0, (16, 6), ['', '', '', ''], [(13, 10), (16, 4), (17, 10)], [False, False, False, False], 82, False, [False, False, False, False], 2242, 'East', (17, 6))
Element 10: (0, (17, 6), ['', '%', '%', ''], [(13, 9), (17, 4), (16, 10)], [False, True, True, False], 80, False, [False, False, False, False], 2271, 'East', (18, 6))
Element 11: (0, (18, 6), ['', '.', '', '%'], [(13, 8), (16, 4), (15, 10)], [False, False, False, True], 78, False, [False, True, False, False], 2280, 'South', (18, 5))
Element 12: (0, (18, 5), ['%', '%', '', '%'], [(13, 7), (15, 4), (15, 9)], [True, True, False, True], 76, False, [False, False, False, False], 2319, 'North', (18, 6))
Element 13: (0, (18, 6), ['', '', '', '%'], [(13, 6), (15, 3), (15, 8)], [False, False, False, True], 74, False, [False, False, False, False], 2328, 'North', (18, 7))
Element 14: (0, (18, 7), ['%', '', '', '%'], [(14, 6), (15, 2), (16, 8)], [True, False, False, True], 72, False, [False, False, False, False], 2337, 'North', (18, 8))
Element 15: (0, (18, 8), ['%', '', '', '%'], [(15, 6), (16, 2), (16, 7)], [True, False, False, True], 70, False, [False, False, False, False], 2346, 'North', (18, 9))
Element 16: (0, (18, 9), ['%', '', '', '%'], [(16, 6), (17, 2), (16, 8)], [True, False, False, True], 68, False, [False, False, False, False], 2355, 'North', (18, 10))
Element 17: (0, (18, 10), ['', '', '%', '%'], [(17, 6), (17, 1), (15, 8)], [False, False, True, True], 66, False, [False, False, False, False], 2364, 'West', (17, 10))
Element 18: (0, (17, 10), ['', '%', '%', ''], [(18, 6), (18, 1), (14, 8)], [False, True, True, False], 64, False, [False, False, False, False], 2373, 'West', (16, 10))
Element 19: (0, (16, 10), ['', '%', '%', ''], [(18, 7), (18, 2), (13, 8)], [False, True, True, False], 62, False, [False, False, False, False], 2372, 'West', (15, 10))
Element 20: (0, (15, 10), ['%', '', '%', ''], [(18, 8), (18, 3), (13, 9)], [True, False, True, False], 60, False, [False, False, False, False], 2381, 'South', (15, 9))
Element 21: (0, (15, 9), ['%', '', '', '%'], [(18, 9), (18, 2), (13, 10)], [True, False, False, True], 58, False, [False, False, False, False], 2380, 'North', (15, 10))
Element 22: (0, (15, 10), ['%', '', '%', ''], [(18, 10), (18, 1), (12, 10)], [True, False, True, False], 56, False, [False, False, False, False], 2379, 'East', (16, 10))
Element 23: (0, (16, 10), ['', '%', '%', 'G'], [(17, 10), (17, 1), (11, 10)], [False, True, True, False], 54, False, [False, False, False, False], 2378, 'West', (15, 10))
Element 24: (0, (15, 10), ['%', '', '%', 'G'], [(16, 10), (16, 1), (10, 10)], [True, False, True, False], 52, False, [False, False, False, False], 2387, 'East', (16, 10))
Element 25: (0, (16, 10), ['G', '%', '%', ''], [(15, 10), (15, 1), (9, 10)], [False, True, True, False], 50, False, [False, False, False, False], 2396, 'Stop', (16, 10))
Element 26: (0, (16, 10), ['', '%', '%', ''], [(15, 9), (16, 1), (8, 10)], [False, True, True, False], 48, False, [False, False, False, False], 2395, 'Stop', (16, 10))
Element 27: (0, (16, 10), ['', '%', '%', ''], [(15, 8), (17, 1), (7, 10)], [False, True, True, False], 46, False, [False, False, False, False], 2394, 'Stop', (16, 10))
Element 28: (0, (16, 10), ['', '%', '%', ''], [(16, 8), (17, 2), (6, 10)], [False, True, True, False], 44, False, [False, False, False, False], 2393, 'Stop', (16, 10))
Element 29: (0, (16, 10), ['', '%', '%', ''], [(16, 7), (18, 2), (6, 9)], [False, True, True, False], 42, False, [False, False, False, False], 2392, 'Stop', (16, 10))
Element 30: (0, (16, 10), ['', '%', '%', ''], [(16, 8), (17, 2), (6, 8)], [False, True, True, False], 40, False, [False, False, False, False], 2401, 'Stop', (16, 10))
Element 31: (0, (16, 10), ['', '%', '%', ''], [(15, 8), (16, 2), (7, 8)], [False, True, True, False], 38, False, [False, False, False, False], 2410, 'Stop', (16, 10))
Element 32: (0, (16, 10), ['', '%', '%', ''], [(14, 8), (16, 1), (8, 8)], [False, True, True, False], 36, False, [False, False, False, False], 2419, 'Stop', (16, 10))
Element 33: (0, (16, 10), ['', '%', '%', ''], [(15, 8), (16, 2), (9, 8)], [False, True, True, False], 34, False, [False, False, False, False], 2428, 'Stop', (16, 10))
Element 34: (0, (16, 10), ['', '%', '%', ''], [(15, 9), (15, 2), (10, 8)], [False, True, True, False], 32, False, [False, False, False, False], 2427, 'Stop', (16, 10))
Element 35: (0, (16, 10), ['G', '%', '%', ''], [(15, 10), (15, 1), (11, 8)], [False, True, True, False], 30, False, [False, False, False, False], 2426, 'Stop', (16, 10))
Element 36: (0, (16, 10), ['', '%', '%', ''], [(15, 9), (15, 2), (12, 8)], [False, True, True, False], 28, False, [False, False, False, False], 2425, 'Stop', (16, 10))
Element 37: (0, (16, 10), ['G', '%', '%', ''], [(15, 10), (15, 3), (11, 8)], [False, True, True, False], 26, False, [False, False, False, False], 2424, 'Stop', (16, 10))
Element 38: (0, (16, 10), ['', '%', '%', ''], [(16, 10), (15, 4), (10, 8)], [False, True, True, False], 24, False, [False, False, False, False], 2423, 'Stop', (16, 10))
Element 39: (0, (16, 10), ['', '%', '%', ''], [(16, 10), (14, 4), (10, 7)], [False, True, True, False], 22, False, [False, False, False, False], 2432, 'Stop', (16, 10))
Element 40: (0, (16, 10), ['', '%', '%', ''], [(16, 10), (13, 4), (10, 6)], [False, True, True, False], 20, False, [False, False, False, False], 2441, 'Stop', (16, 10))
Element 41: (0, (16, 10), ['', '%', '%', ''], [(16, 10), (13, 3), (11, 6)], [False, True, True, False], 18, False, [False, False, False, False], 2460, 'Stop', (16, 10))
Element 42: (0, (16, 10), ['', '%', '%', ''], [(16, 10), (13, 2), (10, 6)], [False, True, True, False], 16, False, [False, False, False, False], 2469, 'Stop', (16, 10))
Element 43: (0, (16, 10), ['', '%', '%', ''], [(16, 10), (13, 1), (9, 6)], [False, True, True, False], 14, False, [False, False, False, False], 2478, 'Stop', (16, 10))
Element 44: (0, (16, 10), ['', '%', '%', ''], [(16, 10), (12, 1), (8, 6)], [False, True, True, False], 12, False, [False, False, False, False], 2497, 'Stop', (16, 10))
Element 45: (0, (16, 10), ['', '%', '%', ''], [(16, 10), (11, 1), (9, 6)], [False, True, True, False], 10, False, [False, False, False, False], 3496, 'Stop', (16, 10))
Element 46: (0, (16, 10), ['', '%', '%', ''], [(16, 10), (11, 2), (9, 7)], [False, True, True, False], 8, False, [False, False, False, False], 3505, 'Stop', (16, 10))
